,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2020
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,15933,11672,185,11487,1433,29038,,3750,375,13837,15255,5283,,6700,96
,CANADA,129632,70983,10281,60702,10439,211054,,88584,14262,18995,20366,8012,,9320,655
,FRANCE,183237,57323,1085,56238,19149,259709,,208050,3972,208697,218403,74390,,84097,1032
,GERMANY,145116,217360,1648,215712,28388,390864,,69572,3761,163615,169774,59542,,65702,954
,ITALY,48842,7401,1167,6234,19481,75724,,8969,714,163066,169280,40951,,47164,209
,JAPAN,166487,300347,34654,265693,8423,475257,,62130,5948,85953,92978,36782,,43780,1105
,LUXEMBOURG,68113,19892,2748,17144,6257,94262,,26106,3352,24243,26298,10085,,12142,581
,NETHERLANDS,48991,10866,78,10788,10148,70005,,33452,4061,113186,120827,40063,,47702,776
,SWEDEN,21571,1122,1,1121,1329,24022,,14623,378,25129,26031,9790,,10693,120
,SWITZERLAND,69537,34202,7022,27180,3897,107636,,14517,5624,57309,58871,21059,,22621,1320
,UNITED KINGDOM,142783,410446,72369,338077,65327,618556,,153352,11940,273777,319916,106505,,115293,1207
,Total,1040242,1141614,131238,1010376,174271,2356127,,683105,54387,1147807,1237999,412462,,465214,8055
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,29241,95871,2183,93688,7688,132800,,32906,2668,26751,26990,14250,,14490,358
,AUSTRIA,8328,72,0,72,595,8995,,1696,128,5780,6890,2230,,3339,12
,CYPRUS,2525,0,0,0,171,2696,,167,113,4,9,0,,5,21
,DENMARK,10290,479,1,478,2393,13162,,7570,144,14857,15956,5550,,6650,180
,FINLAND,9784,92,0,92,883,10759,,2816,277,12378,13086,4662,,5370,77
,GREECE,2048,300,0,300,2615,4963,,14,279,6575,7538,2707,,3669,12
,IRELAND,79637,18192,1712,16480,4344,102173,,20982,2682,6992,7734,3243,,3983,371
,ISRAEL,5958,2114,135,1979,883,8955,,1624,418,2102,2248,1246,,1391,108
,NEW ZEALAND,2944,2242,49,2193,568,5754,,1125,53,372,413,227,,267,36
,NORWAY,16733,70,0,70,828,17631,,4447,169,9511,10186,3274,,3949,95
,PORTUGAL,3201,6,0,6,407,3614,,938,120,6632,5599,3663,,2627,14
,SLOVAKIA,1623,303,5,298,72,1998,,68,48,95,146,60,,111,0
,SPAIN,37110,1970,200,1770,3991,43071,,8960,1525,62462,64564,21908,,23987,408
