,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2020
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,15658,284,10971,11373,27315,909,1204,27605
,CANADA,120721,11561,96799,61497,193779,9510,16368,200615
,FRANCE,174142,990,153062,56059,231191,3670,13060,240560
,GERMANY,112654,1667,83349,215645,329966,14872,47439,362476
,ITALY,46898,1152,35764,6320,54370,523,2398,56243
,JAPAN,147539,34928,153734,265746,448213,3783,22410,466834
,LUXEMBOURG,78358,2777,52813,17138,98273,14858,4585,88005
,NETHERLANDS,52161,81,30556,10642,62884,10623,7559,59857
,SWEDEN,22678,8,17814,1116,23802,2785,1676,22693
,SWITZERLAND,28200,6317,27832,28338,62855,4347,45221,103739
,UNITED KINGDOM,159665,75691,162461,338622,573978,56050,35592,553229
,Total,958674,135456,825155,1012496,2106626,121930,197512,2181856
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,27764,2866,19102,96901,127531,6005,3587,125112
,AUSTRIA,8833,0,4424,83,8916,1148,635,8400
,CYPRUS,2232,0,1908,0,2232,267,564,2525
,DENMARK,8553,1,7265,482,9036,752,2485,10769
,FINLAND,8625,0,5617,92,8717,137,1290,9876
,GREECE,2042,0,1351,341,2383,149,113,2348
,IRELAND,89251,2038,63440,16586,107875,13958,3908,97829
,ISRAEL,5810,177,4182,1994,7981,563,652,8072
,NEW ZEALAND,3275,49,2792,2282,5606,656,238,5186
,NORWAY,15814,0,13281,71,15885,513,1433,16803
,PORTUGAL,3274,1,2615,19,3294,209,118,3207
,SLOVAKIA,1630,5,1508,312,1947,28,6,1926
,SPAIN,34938,196,23153,1796,36930,788,2936,39080
,OTHER NON G-10 DEV.,18464,0,6931,0,18464,456,368,18379
,Total,230505,5333,157569,120959,356797,25629,18333,349512
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,216,357,361,357,930,74,0,857
,CZECH REPUBLIC,1384,367,1619,3033,4784,290,64,4558
,HUNGARY,1088,269,1100,1329,2686,305,28,2411
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,3089,1160,3486,12384,16633,1301,898,16233
,ROMANIA,685,452,950,1874,3011,276,23,2758
,RUSSIA,4701,1094,4485,6984,12779,667,356,12466
,TURKEY,9013,717,7411,1987,11717,869,435,11279
,OTHER E. EUROPE,2545,31,2453,653,3229,112,121,3235
,Total,22721,4447,21865,28601,55769,3894,1925,53797
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,1046,0,1025,0,1046,121,34,960
,ARGENTINA,2450,966,2478,4115,7531,807,207,6909
,BRAZIL,44603,2698,39005,39720,87021,6374,10181,90782
,CHILE,6390,4,5148,3044,9438,685,315,9064
,COLOMBIA,4458,13,3107,3472,7943,1144,497,7286
,COSTA RICA,548,178,564,610,1336,231,112,1211
,DOMINICAN REPUBLIC,1091,41,812,339,1471,333,48,1027
,ECUADOR,927,536,1060,22,1485,557,75,989
,EL SALVADOR,445,236,609,0,681,149,70,599
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,1449,104,1304,446,1999,310,238,1925
,HONDURAS,780,56,720,168,1004,99,38,941
,MEXICO,27543,6261,18553,74239,108043,7939,4260,104344
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,3000,512,2367,1851,5363,651,415,5122
,URUGUAY,1193,269,1102,338,1800,289,91,1600
,VENEZUELA,1574,1,935,2,1577,687,135,1019
,OTHER LAT. AM. & CAR.,53189,959,39197,913,55061,13010,1693,43733
,Total,150686,12834,117986,129279,292799,33386,18409,277511
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,83683,12181,90864,34540,130404,4658,13271,138956
,INDIA,18483,2376,17691,46623,67482,3247,3150,67370
,INDONESIA,7797,1812,8384,5059,14668,1716,900,13853
,"KOREA, SOUTH",46761,3786,47944,49126,99673,2209,8826,106521
,KUWAIT,13340,9,12988,222,13571,106,258,13691
,MALAYSIA,5001,1751,5509,11671,18423,938,727,18350
,PAKISTAN,224,18,232,849,1091,134,5,960
,PHILIPPINES,3437,944,4158,5024,9405,300,730,9835
,QATAR,8708,0,5834,50,8758,147,307,8920
,SAUDI ARABIA,23393,287,16558,1628,25308,2148,1355,24515
,TAIWAN,45472,4084,48233,21330,70886,951,3954,73891
,THAILAND,3487,100,3186,10202,13789,437,184,13534
,UNITED ARAB EMIRATES,17628,2975,15210,3778,24381,2503,1275,23151
,WEST BANK AND GAZA,3,0,3,0,3,0,0,3
,OTHER ASIA AND PACIFIC,10814,2039,8965,2979,15832,4176,1200,12855
,Total,288231,32362,285759,193081,513674,23670,36142,526405
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,3,179,182,1070,1252,307,0,944
,EGYPT,7958,61,7387,1649,9668,453,68,9285
,GHANA,2154,0,2056,0,2154,141,1,2012
,KENYA,259,255,421,658,1172,69,2,1104
,MOROCCO,359,31,363,571,961,22,2,942
,NIGERIA,8862,151,8362,2082,11095,579,83,10595
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,6033,373,4752,6355,12761,914,1595,13441
,SOUTH SUDAN,1,0,1,0,1,0,0,1
,OTHER AFRICA,5990,700,4463,1346,8036,2220,446,6259
,Total,31619,1750,27987,13731,47100,4705,2197,44583
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,13797,19,12078,99,13915,8974,337,5276
,BAHRAIN,1483,2,891,365,1850,257,9,1602
,BERMUDA,23035,74,16029,9,23118,3901,4199,23420
,CAYMAN ISLANDS,565661,1743,413105,46,567450,95086,23519,495885
,HONG KONG,32666,16566,43051,42353,91585,13021,6150,84486
,LEBANON,335,25,110,147,507,65,10,452
,MAURITIUS,1994,220,1571,58,2272,361,5,1921
,PANAMA,6315,780,3586,6,7101,2588,662,5167
,SINGAPORE,49276,15849,58716,45297,110422,6274,5112,109215
,OTHER BANKING CENTERS,28353,1424,18533,291,30068,3273,3045,29899
,Total,722915,36702,567670,88671,848288,133800,43048,757323
,,,,,,,,,
,International & Regional Organizations,,,,,,,,
,AFRICAN,1293,0,646,0,1293,0,0,1293
,ASIAN,7219,0,2272,0,7219,0,11,7230
,CARIBBEAN,0,0,0,0,0,0,0,0
,EUROPEAN,23211,0,8021,0,23211,0,480,23691
,INTERNATIONAL,15466,0,7569,0,15466,0,504,15971
,LATIN AMERICAN,6236,0,1050,0,6236,0,4,6240
,MIDDLE EASTERN,38,0,38,0,38,0,0,38
,Total,53463,0,19596,0,53463,0,999,54463
,,,,,,,,,
,UNITED STATES,202507,235162,233911,15360234,15797903,602887,631609,15833684
,,,,,,,,,
,Grand Total,2661321,464046,2257498,16947052,20072419,949901,950174,20079134
