,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2020
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,2349,3551,5900,15690,22347,,2709,6042,593,724,0,357,,724
,CANADA,9911,32573,42484,51572,23780,,30202,17303,1563,53314,743,19134,,53078
,FRANCE,2101,9836,11937,85386,56112,,13512,39272,3201,103798,44,66368,,103764
,GERMANY,23193,88835,112028,118969,181393,,26850,33808,4554,57849,0,18930,,57849
,ITALY,1377,11635,13012,58433,-4028,,3522,35373,5171,3071,0,1049,,3071
,JAPAN,6879,61115,67994,101897,240423,,33946,99208,14111,138108,136,84768,,138096
,LUXEMBOURG,80713,49920,130633,113641,-89535,,3157,10361,251,15802,11,1531,,15769
,NETHERLANDS,30871,14594,45465,73339,-35542,,10056,16680,902,1146,0,211,,1141
,SWEDEN,23,613,636,19109,518,,3231,5378,533,2059,0,1541,,2059
,SWITZERLAND,12688,3614,16302,47089,22997,,940,7614,278,3767,3,462,,3767
,UNITED KINGDOM,1141478,274159,1415637,349938,194676,,25865,69404,7444,87902,151,42733,,87890
,Total,1311583,550445,1862028,1035063,613141,,153990,340443,38601,467540,1088,237084,,467208
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,10655,62773,73428,84743,39093,,17450,32271,1057,8612,0,4601,,8610
,AUSTRIA,82,319,401,6908,-302,,3131,3698,514,416,0,299,,416
,CYPRUS,0,0,0,3118,-1,,0,705,34,302,0,67,,302
,DENMARK,8,332,340,9939,239,,338,3210,117,3003,0,312,,3003
,FINLAND,0,104,104,7448,54,,2881,3360,156,128,0,13,,128
,GREECE,33,1258,1291,4888,-941,,0,846,214,788,0,173,,788
,IRELAND,21909,28225,50134,148679,21375,,9019,18017,496,20148,148,3308,,19774
,ISRAEL,965,2286,3251,6848,-1000,,907,3160,136,143,1,118,,141
,NEW ZEALAND,28,1157,1185,5358,1098,,521,1149,169,557,1,474,,557
,NORWAY,0,368,368,10580,-239,,2237,2710,358,7365,0,670,,7365
,PORTUGAL,5,182,187,2740,-169,,0,2420,396,103,0,11,,103
,SLOVAKIA,270,407,677,776,-229,,49,35,6,1366,0,88,,1366
,SPAIN,438,2641,3079,28212,-218,,4253,16001,1577,1364,0,490,,1364
,OTHER NON G-10 DEV.,1,1,2,11693,6,,14,217,4,5565,0,2827,,5565
,Total,34394,100053,134447,331930,58766,,40800,87799,5234,49860,150,13451,,49482
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,329,353,682,716,35,,54,4,2,0,0,0,,0
,CZECH REPUBLIC,1184,1622,2806,3537,734,,393,509,107,2505,0,2360,,2505
,HUNGARY,646,1058,1704,2902,351,,929,715,92,68,0,68,,68
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,2973,9710,12683,13038,2929,,6447,1346,72,304,0,291,,304
,ROMANIA,480,1885,2365,2646,4,,1506,477,134,39,0,38,,39
,RUSSIA,2594,5833,8427,15298,92,,1545,3791,416,2052,0,2038,,2052
,TURKEY,793,1035,1828,4352,888,,129,2920,139,1686,0,1686,,1686
,OTHER E. EUROPE,333,572,905,8458,-223,,238,1249,109,938,0,31,,938
,Total,9332,22068,31400,50947,4810,,11241,11011,1071,7592,0,6512,,7592
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,2,0,2,951,0,,0,0,0,851,0,426,,851
,ARGENTINA,855,2740,3595,3207,1973,,73,531,36,1496,10,1496,,1485
,BRAZIL,119,17151,17270,19140,21002,,4943,39475,1304,14429,19,13896,,14409
,CHILE,15,203,218,1313,2826,,191,898,106,689,0,5,,688
,COLOMBIA,31,2489,2520,2789,903,,1215,1275,73,416,1,259,,415
,COSTA RICA,250,438,688,738,289,,183,96,9,0,0,0,,0
,DOMINICAN REPUBLIC,125,216,341,454,66,,168,112,29,0,0,0,,0
,ECUADOR,540,0,540,481,117,,57,52,30,0,0,0,,0
,EL SALVADOR,162,0,162,190,141,,131,36,9,40,0,40,,40
,FRENCH GUIANA,0,0,0,0,0,,0,0,0,0,0,0,,0
,GUATEMALA,126,352,478,429,83,,227,32,3,0,0,0,,0
,HONDURAS,61,131,192,188,36,,99,64,0,0,0,0,,0
,MEXICO,6632,59642,66274,69150,19232,,19665,12711,868,2430,15,1885,,2383
,MONTSERRAT,0,0,0,0,0,,0,0,0,0,0,0,,0
,PERU,681,1180,1861,1969,546,,714,575,119,49,0,49,,49
,URUGUAY,2115,204,2319,706,6600,,17,635,9,0,0,0,,0
,VENEZUELA,1,2,3,73,8,,0,12,0,0,0,0,,0
,OTHER LAT. AM. & CAR.,1148,760,1908,40368,682,,377,6050,99,3439,7,1431,,3426
,Total,12863,85508,98371,142146,54504,,28060,62554,2694,23839,52,19487,,23746
,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,
,CHINA-MAINLAND,7172,30249,37421,59191,9751,,7985,70130,581,3305,0,444,,3304
,INDIA,2600,31950,34550,33416,19513,,12756,16745,473,4318,0,4318,,4318
,INDONESIA,1776,3841,5617,8329,2344,,2136,5065,81,204,0,204,,204
,"KOREA, SOUTH",5329,28769,34098,47001,22040,,11198,22557,38,20213,4,7455,,20213
,KUWAIT,17,179,196,6436,72,,92,515,4,11010,0,524,,11010
,MALAYSIA,3742,7082,10824,15507,3048,,1846,2205,24,2235,0,1467,,2235
,PAKISTAN,60,829,889,889,-14,,481,219,2,4,0,4,,4
,PHILIPPINES,2809,3787,6596,8419,1967,,1017,971,7,1948,0,1764,,1948
,QATAR,44,47,91,3047,-41,,56,1109,41,2175,0,416,,2175
,SAUDI ARABIA,201,347,548,26999,1260,,330,3575,145,7863,0,166,,7863
,TAIWAN,15858,12996,28854,47689,4055,,1508,26915,211,13917,0,2043,,13910
,THAILAND,1844,6802,8646,12529,2088,,3432,2821,49,633,0,380,,633
,UNITED ARAB EMIRATES,10480,3098,13578,16602,1951,,626,1239,32,6773,1,2977,,6773
,WEST BANK AND GAZA,0,0,0,116,0,,0,0,0,0,0,0,,0
,OTHER ASIA AND PACIFIC,4349,2835,7184,19686,-1425,,1031,2085,44,302,0,1,,302
,Total,56281,132811,189092,305856,66609,,44494,156151,1732,74900,5,22163,,74892
,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,
,ALGERIA,143,877,1020,925,244,,331,15,0,0,0,0,,0
,EGYPT,229,1071,1300,1339,443,,782,6185,34,1576,0,68,,1576
,GHANA,0,0,0,436,0,,0,312,48,1079,0,0,,1079
,KENYA,320,445,765,966,164,,420,78,5,0,0,0,,0
,MOROCCO,234,500,734,698,-126,,286,137,45,157,0,157,,157
,NIGERIA,507,1473,1980,4586,237,,389,1191,28,7101,0,143,,7101
,SAINT HELENA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SOUTH AFRICA,588,4163,4751,12966,2617,,2146,5402,209,574,0,461,,574
,SOUTH SUDAN,0,0,0,20,0,,0,0,0,0,0,0,,0
,OTHER AFRICA,1277,1586,2863,7984,-49,,415,1027,102,120,0,14,,120
,Total,3298,10115,13413,29920,3530,,4769,14347,471,10607,0,843,,10607
,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,
,BAHAMAS,10627,135,10762,5615,-8253,,77,24,2,1048,0,100,,1048
,BAHRAIN,578,237,815,1140,-412,,176,193,16,537,0,409,,537
,BERMUDA,841,3,844,15810,2444,,505,5479,464,1524,2,139,,1521
,CAYMAN ISLANDS,29177,57,29234,206598,-5983,,73982,52720,1815,172499,135,42704,,172327
,HONG KONG,73379,37278,110657,85984,-3631,,8226,15163,75,4544,12,496,,4529
,LEBANON,162,80,242,1378,-55,,0,229,5,0,0,0,,0
,MAURITIUS,111,56,167,1479,5061,,0,306,3,331,0,108,,331
,PANAMA,951,14,965,1769,-156,,465,918,90,59,0,0,,59
,SINGAPORE,68199,25105,93304,72397,33370,,15593,6514,115,28240,27,10639,,28240
,OTHER BANKING CENTERS,39215,3736,42951,26146,-30978,,706,4631,118,2321,0,251,,2321
,Total,223240,66701,289941,418316,-8593,,99730,86177,2703,211103,176,54846,,210913
,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,
,AFRICAN,0,0,0,356,0,,857,188,6,0,0,0,,0
,ASIAN,0,0,0,179,0,,6435,494,37,0,0,0,,0
,CARIBBEAN,0,0,0,0,0,,0,0,0,0,0,0,,0
,EUROPEAN,0,0,0,7094,0,,17563,4520,1189,898,15,21,,898
