,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2020
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,1826,389,588,2803,1831,170,6622,10906,309,17837,6389,0,4175,240,59,4474,,4250,111
,CANADA,43968,11540,5508,61016,38552,2000,15711,14023,643,30377,15472,615,43855,15988,1697,61540,,44677,789
,FRANCE,30136,886,9561,40583,24702,55,29173,40215,3647,73035,26554,0,102708,6038,3291,112037,,103522,244
,GERMANY,38269,1028,7347,46644,12564,259,39778,202614,7937,250329,29717,0,37468,7869,6467,51804,,44479,445
,ITALY,7347,351,1802,9500,6750,71,26437,902,16353,43692,26176,0,6412,1873,926,9211,,5817,809
,JAPAN,66236,36357,2127,104720,52967,32981,71194,143101,2404,216699,71018,40,12520,94878,3287,110685,,11353,693
,LUXEMBOURG,2147,655,96,2898,3401,364,475,13451,37,13963,474,1,51448,4174,4618,60240,,53491,1976
,NETHERLANDS,6610,55,6213,12878,4327,4,6818,9001,372,16191,6104,27,13646,332,1426,15404,,14446,6
,SWEDEN,7811,15,587,8413,8912,1,3446,983,11,4440,3397,0,4667,9,588,5264,,4879,6
,SWITZERLAND,44215,281,1590,46086,8527,85,6202,27423,118,33743,1172,11,6809,3663,801,11273,,6225,4070
,UNITED KINGDOM,57492,26016,15770,99278,79103,28848,8642,198338,17350,224330,6142,7818,47724,127290,24335,199349,,46323,25548
,Total,306057,77573,51189,434819,241636,64838,214498,660957,49181,924636,192615,8512,331432,262354,47495,641281,,339462,34697
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,9783,8567,4816,23166,9352,424,4074,42067,304,46445,4063,2,9343,19769,1388,30500,,9631,1025
,AUSTRIA,891,2,157,1050,879,0,5594,1,314,5909,5461,0,406,2,82,490,,380,0
,CYPRUS,160,0,12,172,160,0,60,0,0,60,60,0,1603,0,151,1754,,1311,0
,DENMARK,3694,2,523,4219,2575,0,901,465,211,1577,348,0,2624,0,1357,3981,,2680,0
,FINLAND,1676,24,548,2248,1022,0,3606,11,170,3787,3278,0,1267,0,34,1301,,1346,0
,GREECE,884,0,847,1731,885,0,488,7,1749,2244,488,0,123,66,0,189,,165,0
,IRELAND,1319,607,32,1958,5412,471,2252,12307,112,14671,2178,0,62876,3299,3185,69360,,67680,1107
,ISRAEL,843,64,220,1127,848,10,1553,1859,169,3581,1594,5,377,35,95,507,,512,0
