,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2020
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,3241,69,3310,44,93,137,477,3924,3103,85,3188,0,,3,3
,CANADA,22987,3111,26098,21950,7482,29432,2591,58121,19236,2784,22020,8118,,39,8157
,FRANCE,20748,472,21220,8540,1644,10184,2650,34054,18916,448,19364,682,,9,691
,GERMANY,28867,734,29601,5083,766,5849,6637,42087,24634,1260,25894,859,,104,963
,ITALY,8364,282,8646,2707,1568,4275,400,13321,7905,250,8155,230,,42,272
,JAPAN,16020,517,16537,23352,2659,26011,605,43153,11787,414,12201,1214,,0,1214
,LUXEMBOURG,14026,17,14043,1612,0,1612,1506,17161,20963,29,20992,436,,0,436
,NETHERLANDS,21787,130,21917,1303,175,1478,2137,25532,27123,161,27284,44,,0,44
,SWEDEN,5221,426,5647,13,102,115,143,5905,5069,421,5490,1,,0,1
,SWITZERLAND,11596,715,12311,472,2363,2835,1388,16534,11765,511,12276,703,,1448,2151
,UNITED KINGDOM,24124,4801,28925,49270,9532,58802,7873,95600,23145,4952,28097,12670,,807,13477
,Total,176981,11274,188255,114346,26384,140730,26407,355392,173646,11315,184961,24957,,2452,27409
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,5780,261,6041,14577,10891,25468,1180,32689,4454,264,4718,1415,,0,1415
,AUSTRIA,1384,53,1437,36,31,67,42,1546,2044,69,2113,0,,0,0
,CYPRUS,649,53,702,0,0,0,8,710,660,41,701,0,,0,0
,DENMARK,2986,85,3071,12,0,12,302,3385,2918,32,2950,1,,0,1
,FINLAND,3231,4,3235,7,50,57,131,3423,2975,4,2979,0,,0,0
,GREECE,492,61,553,227,0,227,19,799,444,60,504,0,,0,0
,IRELAND,13043,147,13190,1979,0,1979,1014,16183,13840,141,13981,460,,0,460
,ISRAEL,2954,231,3185,156,0,156,399,3740,2574,282,2856,162,,0,162
,NEW ZEALAND,742,38,780,363,113,476,77,1333,763,39,802,49,,0,49
,NORWAY,3047,61,3108,10,0,10,310,3428,3080,60,3140,0,,0,0
,PORTUGAL,1242,68,1310,2,0,2,208,1520,1390,70,1460,1,,0,1
,SLOVAKIA,214,2,216,181,0,181,34,431,223,2,225,5,,0,5
,SPAIN,12273,763,13036,830,165,995,704,14735,11437,863,12300,155,,1,156
,OTHER NON G-10 DEV.,307,263,570,0,0,0,10,580,309,216,525,0,,0,0
,Total,48344,2090,50434,18380,11250,29630,4438,84502,47111,2143,49254,2248,,1,2249
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,153,6,159,51,0,51,13,223,193,6,199,38,,0,38
,CZECH REPUBLIC,140,13,153,509,0,509,131,793,230,3,233,366,,0,366
,HUNGARY,124,13,137,295,0,295,93,525,235,13,248,246,,0,246
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
