,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2020
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,1056,10952,167,10785,15,12023,,814,2,17,9,17,,9,73
,CANADA,64343,20445,3278,17167,1559,86347,,40993,3871,835,1415,40,,558,22
,FRANCE,19139,1378,38,1340,1145,21662,,826,601,31,351,18,,337,278
,GERMANY,45525,19317,54,19263,272,65114,,1848,295,23,79,23,,79,23
,ITALY,2516,1607,1,1606,0,4123,,926,91,338,338,28,,28,17
,JAPAN,39687,25367,5693,19674,159,65213,,8936,112,73,6402,63,,6379,37
,LUXEMBOURG,12928,5986,320,5666,235,19149,,3121,117,0,0,0,,0,0
,NETHERLANDS,7359,1381,19,1362,240,8980,,2579,72,11,27,11,,27,27
,SWEDEN,4819,134,0,134,13,4966,,1817,50,0,0,0,,0,5
,SWITZERLAND,45212,317,0,317,436,45965,,344,201,41,38,11,,8,4
,UNITED KINGDOM,71076,69279,13740,55539,2169,142524,,51893,1701,178,39791,110,,2412,205
,Total,313660,156163,23310,132853,6243,476066,,114097,7113,1547,48450,321,,9837,691
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,7157,13069,7,13062,99,20325,,7439,202,187,180,187,,180,81
,AUSTRIA,1222,71,0,71,6,1299,,13,12,2,0,2,,0,0
,CYPRUS,71,0,0,0,0,71,,6,0,0,0,0,,0,6
,DENMARK,1022,2,0,2,3,1027,,23,0,0,0,0,,0,0
,FINLAND,1507,57,0,57,2,1566,,11,1,0,0,0,,0,1
,GREECE,15,0,0,0,0,15,,0,0,0,0,0,,0,0
,IRELAND,8641,8755,44,8711,236,17632,,2836,23,102,139,4,,39,0
,ISRAEL,1530,2,0,2,2,1534,,339,70,42,75,0,,33,55
,NEW ZEALAND,310,290,0,290,34,634,,453,0,0,1,0,,0,11
,NORWAY,2924,31,0,31,0,2955,,78,1,2,0,2,,0,0
,PORTUGAL,187,0,0,0,1,188,,12,2,0,0,0,,0,1
,SLOVAKIA,5,0,0,0,0,5,,10,0,0,0,0,,0,0
,SPAIN,5488,517,10,507,356,6361,,301,153,79,106,29,,32,67
,OTHER NON G-10 DEV.,165,0,0,0,21,186,,0,6,0,0,0,,0,0
,Total,30244,22794,61,22733,760,53798,,11521,470,414,501,224,,284,222
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
