,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2020
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,1127,167,712,10785,12079,363,298,12008
,CANADA,60378,3347,43980,16858,80583,2401,6572,84788
,FRANCE,13484,0,6756,1059,14543,728,6708,20517
,GERMANY,18693,54,9610,19265,38012,1982,28886,64842
,ITALY,2195,1,838,1623,3819,30,335,4123
,JAPAN,32908,5606,33959,19660,58174,1785,8667,65054
,LUXEMBOURG,12306,369,10264,5626,18301,1078,1692,18914
,NETHERLANDS,7566,23,1525,1182,8771,1459,1430,8740
,SWEDEN,4613,7,2286,128,4748,155,360,4953
,SWITZERLAND,6363,8,5755,309,6680,141,38991,45529
,UNITED KINGDOM,93672,14176,83957,55522,163370,37103,14101,140355
,Total,253305,23758,199642,132017,409080,47225,108040,469823
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,6674,10,3159,13595,20279,1207,1154,20226
,AUSTRIA,1204,0,78,81,1285,37,45,1293
,CYPRUS,6,0,6,0,6,0,65,71
,DENMARK,1432,0,1075,2,1434,492,83,1024
,FINLAND,1089,0,275,57,1146,18,436,1564
,GREECE,42,0,39,0,42,37,10,15
,IRELAND,14011,110,11559,8644,22765,6792,1423,17396
,ISRAEL,1298,0,648,2,1300,129,359,1532
,NEW ZEALAND,599,0,330,303,902,338,37,600
,NORWAY,2694,0,1154,31,2725,263,494,2955
,PORTUGAL,336,1,153,0,337,158,8,187
,SLOVAKIA,8,0,5,0,8,5,2,5
,SPAIN,4564,11,3066,505,5080,157,1082,6005
,OTHER NON G-10 DEV.,185,0,47,0,185,58,37,165
,Total,34142,132,21594,23220,57494,9691,5235,53038
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,20,0,18,0,20,16,0,4
,CZECH REPUBLIC,103,0,102,0,103,64,28,67
,HUNGARY,100,0,60,2,102,68,4,38
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,292,0,281,75,367,52,104,419
,ROMANIA,62,0,60,0,62,52,2,12
,RUSSIA,367,0,236,22,389,68,60,379
,TURKEY,250,0,126,0,250,73,26,201
,OTHER E. EUROPE,63,4,59,0,67,41,14,40
,Total,1257,4,942,99,1360,434,238,1160
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,224,0,218,0,224,97,34,161
,ARGENTINA,547,307,334,469,1323,320,154,1138
,BRAZIL,4995,112,3521,477,5584,818,1528,6255
,CHILE,1938,2,1517,15,1955,350,71,1674
,COLOMBIA,709,0,399,0,709,216,122,607
,COSTA RICA,190,0,146,0,190,132,50,103
,DOMINICAN REPUBLIC,347,0,122,0,347,124,9,73
,ECUADOR,369,0,187,22,391,211,71,235
,EL SALVADOR,99,0,82,0,99,38,2,59
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,237,0,184,0,237,107,13,142
,HONDURAS,104,0,66,0,104,51,2,52
,MEXICO,5332,26,2449,3079,8437,2134,1002,7284
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,528,0,162,0,528,68,24,483
,URUGUAY,217,3,87,0,220,146,7,80
,VENEZUELA,756,0,362,0,756,411,120,458
,OTHER LAT. AM. & CAR.,2918,412,1574,0,3330,1754,374,1945
,Total,19510,862,11410,4062,24434,6977,3583,20749
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,7598,427,5583,1306,9331,597,4022,12756
,INDIA,590,16,494,1724,2330,450,86,1966
,INDONESIA,376,1,317,10,387,240,105,252
,"KOREA, SOUTH",5057,65,4885,335,5457,779,1327,6006
,KUWAIT,487,8,437,0,495,73,59,450
,MALAYSIA,982,0,919,43,1025,0,275,1300
,PAKISTAN,17,0,15,0,17,14,5,8
,PHILIPPINES,187,61,195,50,298,87,18,227
,QATAR,972,0,818,0,972,25,40,987
,SAUDI ARABIA,2932,11,2567,53,2996,264,12,2744
,TAIWAN,1542,32,1300,257,1831,120,475,2184
,THAILAND,126,0,64,77,203,28,2,178
,UNITED ARAB EMIRATES,1735,27,1428,2,1764,590,187,1361
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0
,OTHER ASIA AND PACIFIC,1524,0,224,13,1537,997,312,852
,Total,24125,648,19246,3870,28643,4264,6925,31271
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,0,0,0,0,0,0,0,0
,EGYPT,60,0,57,0,60,38,0,22
,GHANA,9,0,8,0,9,2,1,8
,KENYA,10,0,9,0,10,3,0,7
,MOROCCO,8,0,7,0,8,1,0,7
,NIGERIA,436,0,430,0,436,94,0,342
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,191,0,175,0,191,29,38,200
,SOUTH SUDAN,0,0,0,0,0,0,0,0
,OTHER AFRICA,497,14,120,0,511,155,180,536
,Total,1211,14,806,0,1225,322,219,1122
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,6479,0,6173,0,6479,6159,59,378
,BAHRAIN,122,0,55,0,122,54,0,68
,BERMUDA,5515,67,2510,7,5589,544,288,5335
,CAYMAN ISLANDS,55459,550,37961,4,56013,21075,3077,38016
,HONG KONG,4204,1282,4883,1822,7308,1461,884,6730
,LEBANON,30,0,19,0,30,6,0,25
,MAURITIUS,287,0,166,0,287,30,0,257
,PANAMA,1233,1,586,0,1234,978,53,300
,SINGAPORE,6820,149,5376,1667,8636,876,435,8193
,OTHER BANKING CENTERS,3111,169,1688,72,3352,696,748,3404
,Total,83260,2218,59417,3572,89050,31879,5544,62706
,,,,,,,,,
,International & Regional Organizations,,,,,,,,
,AFRICAN,713,0,215,0,713,0,0,713
,ASIAN,4455,0,1190,0,4455,0,0,4455
,CARIBBEAN,0,0,0,0,0,0,0,0
,EUROPEAN,10006,0,2334,0,10006,0,0,10006
,INTERNATIONAL,6738,0,3092,0,6738,0,0,6738
,LATIN AMERICAN,3399,0,342,0,3399,0,1,3400
,MIDDLE EASTERN,0,0,0,0,0,0,0,0
,Total,25311,0,7173,0,25311,0,1,25312
,,,,,,,,,
,UNITED STATES,55075,203981,94121,6769569,7028625,186919,158164,7006761
,,,,,,,,,
,Grand Total,497196,231617,414351,6936409,7665222,287711,287949,7671942
