,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2020
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,2136,2993,5129,746,22351,,336,61,3,6,0,0,,6
,CANADA,2002,4604,6606,6284,3850,,21819,1523,283,22769,743,5532,,22533
,FRANCE,1,246,247,440,903,,5180,308,54,3742,36,3648,,3708
,GERMANY,860,5672,6532,5723,14179,,10051,215,6,22604,0,1165,,22604
,ITALY,0,641,641,2685,922,,2029,94,2,0,0,0,,0
,JAPAN,22,4846,4868,5498,19721,,9892,7057,81,10230,0,94,,10218
,LUXEMBOURG,11455,7385,18840,18270,-10792,,265,532,9,7150,0,33,,7117
,NETHERLANDS,1722,2793,4515,6902,-1933,,4727,292,42,33,0,5,,28
,SWEDEN,1,46,47,1615,57,,2430,35,26,0,0,0,,0
,SWITZERLAND,0,31,31,897,312,,505,340,90,1238,3,10,,1238
,UNITED KINGDOM,77232,52268,129500,56172,-27278,,10183,1763,238,32910,146,4457,,32898
,Total,95431,81525,176956,105232,22292,,67417,12220,834,100682,928,14944,,100350
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,6065,9140,15205,13813,1380,,5145,166,44,260,0,3,,258
,AUSTRIA,0,52,52,192,27,,1080,2,0,0,0,0,,0
,CYPRUS,0,0,0,56,0,,0,0,0,0,0,0,,0
,DENMARK,3,4,7,2324,6,,338,30,7,0,0,0,,0
,FINLAND,0,3,3,526,45,,962,23,17,10,0,0,,10
,GREECE,0,0,0,121,1,,0,6,0,0,0,0,,0
,IRELAND,8343,10907,19250,38644,-11482,,420,201,10,3271,148,197,,2897
,ISRAEL,25,2,27,196,-2,,380,75,1,2,1,2,,0
,NEW ZEALAND,2,29,31,1515,262,,125,21,0,0,0,0,,0
,NORWAY,0,116,116,1806,-26,,2215,25,3,37,0,12,,37
,PORTUGAL,0,0,0,153,0,,0,4,0,0,0,0,,0
,SLOVAKIA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SPAIN,77,348,425,646,471,,2526,50,25,187,0,0,,187
,OTHER NON G-10 DEV.,0,0,0,162,0,,14,0,0,0,0,0,,0
,Total,14515,20601,35116,60154,-9318,,13205,603,107,3767,149,214,,3389
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,0,0,0,23,0,,0,0,0,0,0,0,,0
,CZECH REPUBLIC,1,0,1,21,0,,0,0,0,0,0,0,,0
,HUNGARY,23,0,23,3,179,,0,0,0,0,0,0,,0
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,0,143,143,140,34,,20,0,0,0,0,0,,0
,ROMANIA,0,0,0,2,0,,6,0,0,0,0,0,,0
,RUSSIA,0,5,5,387,39,,5,42,41,0,0,0,,0
,TURKEY,0,0,0,237,0,,18,1,0,0,0,0,,0
,OTHER E. EUROPE,0,0,0,385,0,,8,2,0,1,0,0,,1
,Total,24,148,172,1198,252,,57,45,41,1,0,0,,1
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,2,0,2,540,0,,0,0,0,105,0,0,,105
,ARGENTINA,295,259,554,611,624,,2,50,1,11,10,11,,0
,BRAZIL,0,322,322,346,29,,324,1358,1,20,19,20,,0
,CHILE,2,4,6,48,115,,191,13,0,652,0,1,,651
,COLOMBIA,0,0,0,4,2,,34,9,1,1,1,1,,0
,COSTA RICA,0,0,0,1,0,,0,0,0,0,0,0,,0
,DOMINICAN REPUBLIC,0,0,0,0,24,,0,1,0,0,0,0,,0
,ECUADOR,0,0,0,3,27,,0,1,1,0,0,0,,0
,EL SALVADOR,0,0,0,0,0,,0,0,0,0,0,0,,0
,FRENCH GUIANA,0,0,0,0,0,,0,0,0,0,0,0,,0
,GUATEMALA,0,0,0,0,0,,0,0,0,0,0,0,,0
,HONDURAS,0,0,0,0,0,,0,0,0,0,0,0,,0
,MEXICO,119,599,718,647,3195,,621,60,27,468,15,139,,421
,MONTSERRAT,0,0,0,0,0,,0,0,0,0,0,0,,0
,PERU,0,0,0,72,1,,91,7,0,0,0,0,,0
,URUGUAY,5,0,5,110,0,,17,1,1,0,0,0,,0
,VENEZUELA,0,0,0,1,4,,0,2,0,0,0,0,,0
,OTHER LAT. AM. & CAR.,612,1,613,1197,-176,,40,95,4,13,7,13,,0
,Total,1035,1185,2220,3580,3845,,1320,1597,36,1270,52,185,,1177
,,,,,,,,,,,,,,,
