,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2020
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,318,385,0,703,307,167,237,10501,15,10753,100,0,133,0,0,133,,235,0
,CANADA,23659,6266,735,30660,20895,1491,10925,1281,109,12315,10777,597,17919,1127,63,19109,,18156,30
,FRANCE,12795,10,793,13598,7898,0,3203,121,14,3338,2376,0,1521,289,334,2144,,1394,0
,GERMANY,32089,107,243,32439,6637,9,8644,18098,13,26755,7703,0,1409,154,1,1564,,881,3
,ITALY,375,171,0,546,101,1,2037,285,0,2322,2037,0,10,0,0,10,,5,0
,JAPAN,15633,5705,96,21434,9927,5606,15607,14831,0,30438,15607,0,6482,295,58,6835,,6380,0
,LUXEMBOURG,337,392,1,730,367,289,374,5478,0,5852,370,0,9525,102,113,9740,,8984,68
,NETHERLANDS,1623,8,30,1661,1692,4,1454,981,0,2435,1115,2,867,250,5,1122,,776,4
,SWEDEN,1858,11,12,1881,1516,1,1915,12,0,1927,2031,0,397,6,0,403,,401,6
,SWITZERLAND,38512,107,202,38821,4922,2,5095,0,0,5095,170,0,454,210,202,866,,314,6
,UNITED KINGDOM,43542,6521,763,50826,67901,10101,2917,33960,2,36879,722,10,14926,17431,1191,33548,,15040,3025
,Total,170741,19683,2875,193299,122163,17671,52408,85548,153,138109,43008,609,53643,19864,1967,75474,,52566,3142
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,4370,2692,29,7091,4047,5,261,5324,20,5605,251,0,598,106,15,719,,652,5
,AUSTRIA,196,2,0,198,196,0,845,1,0,846,845,0,36,1,6,43,,2,0
,CYPRUS,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,,0,0
,DENMARK,589,0,3,592,1053,0,165,0,0,165,113,0,137,0,0,137,,138,0
,FINLAND,509,3,2,514,263,0,686,0,0,686,502,0,276,0,0,276,,274,0
,GREECE,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,0
,IRELAND,431,75,1,507,4339,5,253,8464,0,8717,253,0,5354,214,150,5718,,7133,105
,ISRAEL,342,1,2,345,340,0,379,1,0,380,377,0,41,0,0,41,,40,0
,NEW ZEALAND,102,17,0,119,328,0,7,6,0,13,0,0,7,0,34,41,,6,0
,NORWAY,955,0,0,955,1030,0,883,2,0,885,559,0,818,20,0,838,,821,0
