,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2020
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,359,9,368,23,43,66,0,434,471,14,485,0,,0,0
,CANADA,9289,2551,11840,5135,6636,11771,652,24263,8036,2514,10550,1190,,39,1229
,FRANCE,1521,99,1620,418,540,958,4,2582,1732,84,1816,0,,0,0
,GERMANY,2761,622,3383,507,451,958,15,4356,2850,622,3472,42,,0,42
,ITALY,53,41,94,406,745,1151,0,1245,26,26,52,0,,0,0
,JAPAN,1679,286,1965,1878,2658,4536,5,6506,716,278,994,0,,0,0
,LUXEMBOURG,2682,10,2692,14,0,14,121,2827,2564,21,2585,12,,0,12
,NETHERLANDS,3407,8,3415,56,86,142,205,3762,3974,9,3983,13,,0,13
,SWEDEN,284,365,649,3,102,105,1,755,305,360,665,0,,0,0
,SWITZERLAND,988,163,1151,0,0,0,32,1183,729,228,957,0,,0,0
,UNITED KINGDOM,8662,1029,9691,5099,6268,11367,214,21272,8978,1031,10009,1040,,0,1040
,Total,31685,5183,36868,13539,17529,31068,1249,69185,30381,5187,35568,2297,,39,2336
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,1835,93,1928,3081,1866,4947,35,6910,1629,95,1724,0,,0,0
,AUSTRIA,137,8,145,36,31,67,0,212,142,19,161,0,,0,0
,CYPRUS,65,1,66,0,0,0,0,66,0,1,1,0,,0,0
,DENMARK,121,10,131,2,0,2,0,133,118,10,128,0,,0,0
,FINLAND,33,3,36,4,50,54,0,90,47,3,50,0,,0,0
,GREECE,9,2,11,0,0,0,0,11,34,4,38,0,,0,0
,IRELAND,2562,41,2603,2,0,2,84,2689,2244,42,2286,0,,0,0
,ISRAEL,615,153,768,0,0,0,0,768,393,148,541,0,,0,0
,NEW ZEALAND,179,15,194,154,113,267,0,461,249,16,265,0,,0,0
,NORWAY,220,48,268,9,0,9,0,277,242,42,284,0,,0,0
,PORTUGAL,11,23,34,0,0,0,0,34,164,24,188,1,,0,1
,SLOVAKIA,0,1,1,0,0,0,0,1,5,1,6,0,,0,0
,SPAIN,302,360,662,109,105,214,3,879,333,419,752,10,,1,11
,OTHER NON G-10 DEV.,75,48,123,0,0,0,1,124,61,48,109,0,,0,0
,Total,6164,806,6970,3397,2165,5562,123,12655,5661,872,6533,11,,1,12
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,2,2,4,0,0,0,0,4,17,2,19,0,,0,0
,CZECH REPUBLIC,18,11,29,0,0,0,0,29,10,1,11,0,,0,0
,HUNGARY,0,8,8,1,0,1,42,51,42,8,50,0,,0,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,49,4,53,41,0,41,0,94,56,4,60,0,,0,0
,ROMANIA,0,5,5,0,0,0,0,5,33,3,36,0,,0,0
,RUSSIA,90,14,104,14,0,14,0,118,153,16,169,0,,0,0
,TURKEY,22,67,89,0,0,0,2,91,90,55,145,0,,0,0
,OTHER E. EUROPE,2,7,9,0,0,0,0,9,29,7,36,0,,0,0
,Total,183,118,301,56,0,56,44,401,430,96,526,0,,0,0
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,1,0,1,0,0,0,0,1,7,0,7,0,,0,0
,ARGENTINA,129,221,350,455,132,587,8,945,270,167,437,274,,9,283
,BRAZIL,1078,958,2036,1,0,1,23,2060,931,919,1850,28,,0,28
,CHILE,255,40,295,10,0,10,48,353,554,55,609,0,,0,0
,COLOMBIA,130,203,333,0,0,0,0,333,297,120,417,0,,0,0
,COSTA RICA,43,13,56,0,0,0,0,56,113,20,133,0,,0,0
,DOMINICAN REPUBLIC,11,44,55,0,0,0,0,55,103,73,176,0,,0,0
,ECUADOR,45,129,174,0,0,0,0,174,210,107,317,0,,0,0
,EL SALVADOR,1,11,12,0,0,0,0,12,28,26,54,0,,0,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,21,40,61,0,0,0,0,61,90,65,155,0,,0,0
,HONDURAS,7,23,30,0,0,0,0,30,35,41,76,0,,0,0
,MEXICO,2097,924,3021,583,1455,2038,181,5240,2967,1337,4304,26,,0,26
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,230,70,300,0,0,0,0,300,269,83,352,0,,0,0
,URUGUAY,16,22,38,0,3,3,16,57,139,38,177,0,,3,3
,VENEZUELA,24,431,455,0,0,0,0,455,162,588,750,0,,0,0
,OTHER LAT. AM. & CAR.,1006,320,1326,95,280,375,32,1733,2111,401,2512,103,,285,388
,Total,5094,3449,8543,1144,1870,3014,308,11865,8286,4040,12326,431,,297,728
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,3034,2271,5305,408,0,408,1,5714,2641,2403,5044,77,,0,77
,INDIA,83,26,109,118,416,534,0,643,96,25,121,0,,0,0
,INDONESIA,25,19,44,0,0,0,0,44,39,18,57,0,,0,0
,"KOREA, SOUTH",139,33,172,0,0,0,0,172,86,33,119,0,,0,0
,KUWAIT,105,14,119,0,0,0,0,119,176,14,190,0,,0,0
,MALAYSIA,33,29,62,4,0,4,0,66,33,29,62,0,,0,0
,PAKISTAN,0,3,3,0,0,0,0,3,0,3,3,0,,0,0
,PHILIPPINES,13,46,59,23,0,23,0,82,1,44,45,0,,0,0
,QATAR,23,10,33,0,0,0,62,95,27,10,37,0,,0,0
,SAUDI ARABIA,419,24,443,0,0,0,0,443,633,23,656,0,,0,0
,TAIWAN,58,244,302,5,114,119,0,421,51,248,299,0,,0,0
,THAILAND,46,14,60,1,69,70,0,130,46,13,59,0,,0,0
,UNITED ARAB EMIRATES,365,89,454,0,0,0,28,482,368,86,454,0,,0,0
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,341,33,374,0,13,13,15,402,334,32,366,0,,0,0
,Total,4684,2855,7539,559,612,1171,106,8816,4531,2981,7512,77,,0,77
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,EGYPT,0,4,4,0,0,0,0,4,0,4,4,0,,0,0
,GHANA,0,2,2,0,0,0,0,2,2,2,4,0,,0,0
,KENYA,0,1,1,0,0,0,0,1,3,1,4,0,,0,0
,MOROCCO,0,0,0,0,0,0,0,0,0,1,1,0,,0,0
,NIGERIA,5,9,14,0,0,0,0,14,10,9,19,0,,0,0
,SAINT HELENA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SOUTH AFRICA,41,34,75,0,0,0,0,75,68,16,84,0,,0,0
,SOUTH SUDAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER AFRICA,442,12,454,6,0,6,0,460,401,11,412,0,,0,0
,Total,488,62,550,6,0,6,0,556,484,44,528,0,,0,0
,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,
,BAHAMAS,165,92,257,0,0,0,14,271,465,99,564,0,,0,0
,BAHRAIN,0,2,2,0,0,0,18,20,0,2,2,0,,0,0
,BERMUDA,2921,164,3085,0,0,0,104,3189,3187,179,3366,0,,0,0
,CAYMAN ISLANDS,8726,70,8796,151,0,151,53,9000,9422,100,9522,222,,0,222
,HONG KONG,524,654,1178,493,449,942,4,2124,519,684,1203,306,,19,325
,LEBANON,3,22,25,0,0,0,0,25,7,23,30,0,,0,0
,MAURITIUS,129,0,129,0,0,0,0,129,130,0,130,0,,0,0
,PANAMA,98,41,139,0,0,0,35,174,856,53,909,1,,0,1
,SINGAPORE,369,426,795,74,396,470,19,1284,219,425,644,36,,0,36
,OTHER BANKING CENTERS,1217,23,1240,0,0,0,156,1396,1297,25,1322,0,,0,0
,Total,14152,1494,15646,718,845,1563,403,17612,16102,1590,17692,565,,19,584
,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,
,AFRICAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,ASIAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,CARIBBEAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,EUROPEAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,LATIN AMERICAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,MIDDLE EASTERN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,Total,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,,,,,,,,,,,,,,,,
,UNITED STATES,29291,5884,35175,1715367,1588665,3304032,35707,3374914,33232,5788,39020,76122,,49562,125684
,,,,,,,,,,,,,,,,
