,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2020
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,14877,720,18,702,1418,17015,,2936,373,13820,15246,5266,,6691,23
,CANADA,65289,50538,7003,43535,8880,124707,,47591,10391,18160,18951,7972,,8762,633
,FRANCE,164098,55945,1047,54898,18004,238047,,207224,3371,208666,218052,74372,,83760,754
,GERMANY,99591,198043,1594,196449,28116,325750,,67724,3466,163592,169695,59519,,65623,931
,ITALY,46326,5794,1166,4628,19481,71601,,8043,623,162728,168942,40923,,47136,192
,JAPAN,126800,274980,28961,246019,8264,410044,,53194,5836,85880,86576,36719,,37401,1068
,LUXEMBOURG,55185,13906,2428,11478,6022,75113,,22985,3235,24243,26298,10085,,12142,581
,NETHERLANDS,41632,9485,59,9426,9908,61025,,30873,3989,113175,120800,40052,,47675,749
,SWEDEN,16752,988,1,987,1316,19056,,12806,328,25129,26031,9790,,10693,115
,SWITZERLAND,24325,33885,7022,26863,3461,61671,,14173,5423,57268,58833,21048,,22613,1316
,UNITED KINGDOM,71707,341167,58629,282538,63158,476032,,101459,10239,273599,280125,106395,,112881,1002
,Total,726582,985451,107928,877523,168028,1880061,,569008,47274,1146260,1189549,412141,,455377,7364
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,22084,82802,2176,80626,7589,112475,,25467,2466,26564,26810,14063,,14310,277
,AUSTRIA,7106,1,0,1,589,7696,,1683,116,5778,6890,2228,,3339,12
,CYPRUS,2454,0,0,0,171,2625,,161,113,4,9,0,,5,15
,DENMARK,9268,477,1,476,2390,12135,,7547,144,14857,15956,5550,,6650,180
,FINLAND,8277,35,0,35,881,9193,,2805,276,12378,13086,4662,,5370,76
,GREECE,2033,300,0,300,2615,4948,,14,279,6575,7538,2707,,3669,12
,IRELAND,70996,9437,1668,7769,4108,84541,,18146,2659,6890,7595,3239,,3944,371
,ISRAEL,4428,2112,135,1977,881,7421,,1285,348,2060,2173,1246,,1358,53
,NEW ZEALAND,2634,1952,49,1903,534,5120,,672,53,372,412,227,,267,25
,NORWAY,13809,39,0,39,828,14676,,4369,168,9509,10186,3272,,3949,95
,PORTUGAL,3014,6,0,6,406,3426,,926,118,6632,5599,3663,,2627,13
,SLOVAKIA,1618,303,5,298,72,1993,,58,48,95,146,60,,111,0
