,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2020
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,14531,117,10259,588,15236,546,906,15597
,CANADA,60343,8214,52819,44639,113196,7109,9796,115827
,FRANCE,160658,990,146306,55000,216648,2942,6352,220043
,GERMANY,93961,1613,73739,196380,291954,12890,18553,297634
,ITALY,44703,1151,34926,4697,50551,493,2063,52120
,JAPAN,114631,29322,119775,246086,390039,1998,13743,401780
,LUXEMBOURG,66052,2408,42549,11512,79972,13780,2893,69091
,NETHERLANDS,44595,58,29031,9460,54113,9164,6129,51117
,SWEDEN,18065,1,15528,988,19054,2630,1316,17740
,SWITZERLAND,21837,6309,22077,28029,56175,4206,6230,58210
,UNITED KINGDOM,65993,61515,78504,283100,410608,18947,21491,412874
,Total,705369,111698,625513,880479,1697546,74705,89472,1712033
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,21090,2856,15943,83306,107252,4798,2433,104886
,AUSTRIA,7629,0,4346,2,7631,1111,590,7107
,CYPRUS,2226,0,1902,0,2226,267,499,2454
,DENMARK,7121,1,6190,480,7602,260,2402,9745
,FINLAND,7536,0,5342,35,7571,119,854,8312
,GREECE,2000,0,1312,341,2341,112,103,2333
,IRELAND,75240,1928,51881,7942,85110,7166,2485,80433
,ISRAEL,4512,177,3534,1992,6681,434,293,6540
,NEW ZEALAND,2676,49,2462,1979,4704,318,201,4586
,NORWAY,13120,0,12127,40,13160,250,939,13848
,PORTUGAL,2938,0,2462,19,2957,51,110,3020
,SLOVAKIA,1622,5,1503,312,1939,23,4,1921
,SPAIN,30374,185,20087,1291,31850,631,1854,33075
,OTHER NON G-10 DEV.,18279,0,6884,0,18279,398,331,18214
,Total,196363,5201,135975,97739,299303,15938,13098,296474
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,196,357,343,357,910,58,0,853
,CZECH REPUBLIC,1281,367,1517,3033,4681,226,36,4491
,HUNGARY,988,269,1040,1327,2584,237,24,2373
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,2797,1160,3205,12309,16266,1249,794,15814
,ROMANIA,623,452,890,1874,2949,224,21,2746
,RUSSIA,4334,1094,4249,6962,12390,599,296,12087
,TURKEY,8763,717,7285,1987,11467,796,409,11078
,OTHER E. EUROPE,2482,27,2394,653,3162,71,107,3195
,Total,21464,4443,20923,28502,54409,3460,1687,52637
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,822,0,807,0,822,24,0,799
,ARGENTINA,1903,659,2144,3646,6208,487,53,5771
,BRAZIL,39608,2586,35484,39243,81437,5556,8653,84527
,CHILE,4452,2,3631,3029,7483,335,244,7390
,COLOMBIA,3749,13,2708,3472,7234,928,375,6679
,COSTA RICA,358,178,418,610,1146,99,62,1108
,DOMINICAN REPUBLIC,744,41,690,339,1124,209,39,954
,ECUADOR,558,536,873,0,1094,346,4,754
,EL SALVADOR,346,236,527,0,582,111,68,540
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,1212,104,1120,446,1762,203,225,1783
,HONDURAS,676,56,654,168,900,48,36,889
,MEXICO,22211,6235,16104,71160,99606,5805,3258,97060
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,2472,512,2205,1851,4835,583,391,4639
,URUGUAY,976,266,1015,338,1580,143,84,1520
,VENEZUELA,818,1,573,2,821,276,15,561
,OTHER LAT. AM. & CAR.,50271,547,37623,913,51731,11256,1319,41788
,Total,131176,11972,106576,125217,268365,26409,14826,256762
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,76085,11754,85281,33234,121073,4061,9249,126200
,INDIA,17893,2360,17197,44899,65152,2797,3064,65404
,INDONESIA,7421,1811,8067,5049,14281,1476,795,13601
,"KOREA, SOUTH",41704,3721,43059,48791,94216,1430,7499,100515
,KUWAIT,12853,1,12551,222,13076,33,199,13241
,MALAYSIA,4019,1751,4590,11628,17398,938,452,17050
,PAKISTAN,207,18,217,849,1074,120,0,952
,PHILIPPINES,3250,883,3963,4974,9107,213,712,9608
,QATAR,7736,0,5016,50,7786,122,267,7933
,SAUDI ARABIA,20461,276,13991,1575,22312,1884,1343,21771
,TAIWAN,43930,4052,46933,21073,69055,831,3479,71707
,THAILAND,3361,100,3122,10125,13586,409,182,13356
,UNITED ARAB EMIRATES,15893,2948,13782,3776,22617,1913,1088,21790
,WEST BANK AND GAZA,3,0,3,0,3,0,0,3
,OTHER ASIA AND PACIFIC,9290,2039,8741,2966,14295,3179,888,12003
,Total,264106,31714,266513,189211,485031,19406,29217,495134
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,3,179,182,1070,1252,307,0,944
,EGYPT,7898,61,7330,1649,9608,415,68,9263
,GHANA,2145,0,2048,0,2145,139,0,2004
,KENYA,249,255,412,658,1162,66,2,1097
,MOROCCO,351,31,356,571,953,21,2,935
,NIGERIA,8426,151,7932,2082,10659,485,83,10253
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,5842,373,4577,6355,12570,885,1557,13241
,SOUTH SUDAN,1,0,1,0,1,0,0,1
,OTHER AFRICA,5493,686,4343,1346,7525,2065,266,5723
,Total,30408,1736,27181,13731,45875,4383,1978,43461
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,7318,19,5905,99,7436,2815,278,4898
,BAHRAIN,1361,2,836,365,1728,203,9,1534
,BERMUDA,17520,7,13519,2,17529,3357,3911,18085
,CAYMAN ISLANDS,510202,1193,375144,42,511437,74011,20442,457869
,HONG KONG,28462,15284,38168,40531,84277,11560,5266,77756
,LEBANON,305,25,91,147,477,59,10,427
,MAURITIUS,1707,220,1405,58,1985,331,5,1664
,PANAMA,5082,779,3000,6,5867,1610,609,4867
,SINGAPORE,42456,15700,53340,43630,101786,5398,4677,101022
,OTHER BANKING CENTERS,25242,1255,16845,219,26716,2577,2297,26495
,Total,639655,34484,508253,85099,759238,101921,37504,694617
,,,,,,,,,
,International & Regional Organizations,,,,,,,,
,AFRICAN,580,0,431,0,580,0,0,580
,ASIAN,2764,0,1082,0,2764,0,11,2775
,CARIBBEAN,0,0,0,0,0,0,0,0
,EUROPEAN,13205,0,5687,0,13205,0,480,13685
,INTERNATIONAL,8728,0,4477,0,8728,0,504,9233
,LATIN AMERICAN,2837,0,708,0,2837,0,3,2840
,MIDDLE EASTERN,38,0,38,0,38,0,0,38
,Total,28152,0,12423,0,28152,0,998,29151
,,,,,,,,,
,UNITED STATES,147432,31181,139790,8590665,8769278,415968,473445,8826923
,,,,,,,,,
,Grand Total,2164125,232429,1843147,10010643,12407197,662190,662225,12407192
