,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2020
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,213,558,771,14944,-4,,2373,5981,590,718,0,357,,718
,CANADA,7909,27969,35878,45288,19930,,8383,15780,1280,30545,0,13602,,30545
,FRANCE,2100,9590,11690,84946,55209,,8332,38964,3147,100056,8,62720,,100056
,GERMANY,22333,83163,105496,113246,167214,,16799,33593,4548,35245,0,17765,,35245
,ITALY,1377,10994,12371,55748,-4950,,1493,35279,5169,3071,0,1049,,3071
,JAPAN,6857,56269,63126,96399,220702,,24054,92151,14030,127878,136,84674,,127878
,LUXEMBOURG,69258,42535,111793,95371,-78743,,2892,9829,242,8652,11,1498,,8652
,NETHERLANDS,29149,11801,40950,66437,-33609,,5329,16388,860,1113,0,206,,1113
,SWEDEN,22,567,589,17494,461,,801,5343,507,2059,0,1541,,2059
,SWITZERLAND,12688,3583,16271,46192,22685,,435,7274,188,2529,0,452,,2529
,UNITED KINGDOM,1064246,221891,1286137,293766,221954,,15682,67641,7206,54992,5,38276,,54992
,Total,1216152,468920,1685072,929831,590849,,86573,328223,37767,366858,160,222140,,366858
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,4590,53633,58223,70930,37713,,12305,32105,1013,8352,0,4598,,8352
,AUSTRIA,82,267,349,6716,-329,,2051,3696,514,416,0,299,,416
,CYPRUS,0,0,0,3062,-1,,0,705,34,302,0,67,,302
,DENMARK,5,328,333,7615,233,,0,3180,110,3003,0,312,,3003
,FINLAND,0,101,101,6922,9,,1919,3337,139,118,0,13,,118
,GREECE,33,1258,1291,4767,-942,,0,840,214,788,0,173,,788
,IRELAND,13566,17318,30884,110035,32857,,8599,17816,486,16877,0,3111,,16877
,ISRAEL,940,2284,3224,6652,-998,,527,3085,135,141,0,116,,141
,NEW ZEALAND,26,1128,1154,3843,836,,396,1128,169,557,1,474,,557
,NORWAY,0,252,252,8774,-213,,22,2685,355,7328,0,658,,7328
,PORTUGAL,5,182,187,2587,-169,,0,2416,396,103,0,11,,103
,SLOVAKIA,270,407,677,776,-229,,49,35,6,1366,0,88,,1366
,SPAIN,361,2293,2654,27566,-689,,1727,15951,1552,1177,0,490,,1177
,OTHER NON G-10 DEV.,1,1,2,11531,6,,0,217,4,5565,0,2827,,5565
,Total,19879,79452,99331,271776,68084,,27595,87196,5127,46093,1,13237,,46093
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,329,353,682,693,35,,54,4,2,0,0,0,,0
,CZECH REPUBLIC,1183,1622,2805,3516,734,,393,509,107,2505,0,2360,,2505
,HUNGARY,623,1058,1681,2899,172,,929,715,92,68,0,68,,68
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,2973,9567,12540,12898,2895,,6427,1346,72,304,0,291,,304
,ROMANIA,480,1885,2365,2644,4,,1500,477,134,39,0,38,,39
,RUSSIA,2594,5828,8422,14911,53,,1540,3749,375,2052,0,2038,,2052
,TURKEY,793,1035,1828,4115,888,,111,2919,139,1686,0,1686,,1686
,OTHER E. EUROPE,333,572,905,8073,-223,,230,1247,109,937,0,31,,937
,Total,9308,21920,31228,49749,4558,,11184,10966,1030,7591,0,6512,,7591
,,,,,,,,,,,,,,,
