,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2020
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,1508,4,588,2100,1524,3,6385,405,294,7084,6289,0,4042,240,59,4341,,4015,111
,CANADA,20309,5274,4773,30356,17657,509,4786,12742,534,18062,4695,18,25936,14861,1634,42431,,26521,759
,FRANCE,17341,876,8768,26985,16804,55,25970,40094,3633,69697,24178,0,101187,5749,2957,109893,,102128,244
,GERMANY,6180,921,7104,14205,5927,250,31134,184516,7924,223574,22014,0,36059,7715,6466,50240,,43598,442
,ITALY,6972,180,1802,8954,6649,70,24400,617,16353,41370,24139,0,6402,1873,926,9201,,5812,809
,JAPAN,50603,30652,2031,83286,43040,27375,55587,128270,2404,186261,55411,40,6038,94583,3229,103850,,4973,693
,LUXEMBOURG,1810,263,95,2168,3034,75,101,7973,37,8111,104,1,41923,4072,4505,50500,,44507,1908
,NETHERLANDS,4987,47,6183,11217,2635,0,5364,8020,372,13756,4989,25,12779,82,1421,14282,,13670,2
,SWEDEN,5953,4,575,6532,7396,0,1531,971,11,2513,1366,0,4270,3,588,4861,,4478,0
,SWITZERLAND,5703,174,1388,7265,3605,83,1107,27423,118,28648,1002,11,6355,3453,599,10407,,5911,4064
,UNITED KINGDOM,13950,19495,15007,48452,11202,18747,5725,164378,17348,187451,5420,7808,32798,109859,23144,165801,,31283,22523
,Total,135316,57890,48314,241520,119473,47167,162090,575409,49028,786527,149607,7903,277789,242490,45528,565807,,286896,31555
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,5413,5875,4787,16075,5305,419,3813,36743,284,40840,3812,2,8745,19663,1373,29781,,8979,1020
,AUSTRIA,695,0,157,852,683,0,4749,0,314,5063,4616,0,370,1,76,447,,378,0
,CYPRUS,155,0,12,167,155,0,60,0,0,60,60,0,1603,0,151,1754,,1311,0
,DENMARK,3105,2,520,3627,1522,0,736,465,211,1412,235,0,2487,0,1357,3844,,2542,0
,FINLAND,1167,21,546,1734,759,0,2920,11,170,3101,2776,0,991,0,34,1025,,1072,0
,GREECE,880,0,847,1727,881,0,488,7,1749,2244,488,0,123,66,0,189,,165,0
,IRELAND,888,532,31,1451,1073,466,1999,3843,112,5954,1925,0,57522,3085,3035,63642,,60547,1002
,ISRAEL,501,63,218,782,508,10,1174,1858,169,3201,1217,5,336,35,95,466,,472,0
,NEW ZEALAND,559,324,213,1096,532,0,505,1278,89,1872,504,0,984,141,155,1280,,1103,0
,NORWAY,2370,1,148,2519,1930,0,7762,37,349,8148,7454,0,837,0,21,858,,880,0
,PORTUGAL,634,2,19,655,565,0,1013,2,168,1183,1010,0,91,0,11,102,,91,0
,SLOVAKIA,0,1,1,2,0,0,1400,109,37,1546,1400,0,3,12,0,15,,3,0
,SPAIN,3143,76,2039,5258,3087,0,9832,539,475,10846,9526,0,6273,57,420,6750,,6213,40
,OTHER NON G-10 DEV.,370,0,86,456,370,0,17019,0,1375,18394,17019,0,378,0,75,453,,474,0
,Total,19880,6897,9624,36401,17370,895,53470,44892,5502,103864,52042,7,80743,23060,6803,110606,,84230,2062
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,7,8,5,20,7,0,4,611,0,615,4,307,5,12,0,17,,5,12
,CZECH REPUBLIC,640,3,8,651,645,1,358,2758,98,3214,344,0,70,29,0,99,,70,0
,HUNGARY,81,8,18,107,97,5,597,1145,14,1756,592,18,101,18,37,156,,101,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,753,497,127,1377,753,219,330,7928,0,8258,318,369,876,659,572,2107,,873,7
,ROMANIA,47,5,21,73,51,3,324,1867,0,2191,323,243,81,16,3,100,,81,11
,RUSSIA,484,402,403,1289,564,63,1231,2828,216,4275,1230,0,119,2502,21,2642,,117,645
,TURKEY,5309,104,684,6097,5797,3,697,1596,4,2297,617,224,340,53,10,403,,414,51
,OTHER E. EUROPE,204,3,64,271,226,1,1904,575,41,2520,1901,0,12,0,0,12,,5,0
,Total,7525,1030,1330,9885,8140,295,5445,19308,373,25126,5329,1161,1604,3289,643,5536,,1666,726
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,0,0,0,0,0,0,0,0,763,0,104,867,,776,0
,ARGENTINA,382,78,0,460,381,50,221,3513,1,3735,213,548,47,26,0,73,,45,0
,BRAZIL,7182,5133,279,12594,2419,6,11786,25943,0,37729,11556,1149,3480,3199,433,7112,,2999,1
,CHILE,2019,13,211,2243,2007,1,68,266,6,340,67,0,922,2181,193,3296,,940,0
,COLOMBIA,1206,55,31,1292,1213,6,486,2153,43,2682,483,0,230,567,89,886,,430,0
,COSTA RICA,129,126,1,256,129,43,42,638,1,681,42,128,40,2,3,45,,46,0
,DOMINICAN REPUBLIC,112,9,0,121,112,5,104,312,4,420,126,28,4,0,0,4,,46,0
,ECUADOR,19,51,0,70,19,56,52,266,0,318,55,266,25,10,0,35,,47,10
,EL SALVADOR,96,16,0,112,96,16,19,202,0,221,19,202,5,0,0,5,,8,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,689,5,0,694,693,3,19,541,2,562,19,100,4,0,2,6,,6,0
,HONDURAS,511,11,1,523,514,0,48,197,0,245,48,53,18,0,0,18,,18,0
,MEXICO,502,3844,500,4846,661,697,2380,34005,1544,37929,2520,444,2072,9969,601,12642,,2584,375
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
