,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2020
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,2882,60,2942,21,50,71,477,3490,2632,71,2703,0,,3,3
,CANADA,13698,560,14258,16815,846,17661,1939,33858,11200,270,11470,6928,,0,6928
,FRANCE,19227,373,19600,8122,1104,9226,2646,31472,17184,364,17548,682,,9,691
,GERMANY,26106,112,26218,4576,315,4891,6622,37731,21784,638,22422,817,,104,921
,ITALY,8311,241,8552,2301,823,3124,400,12076,7879,224,8103,230,,42,272
,JAPAN,14341,231,14572,21474,1,21475,600,36647,11071,136,11207,1214,,0,1214
,LUXEMBOURG,11344,7,11351,1598,0,1598,1385,14334,18399,8,18407,424,,0,424
,NETHERLANDS,18380,122,18502,1247,89,1336,1932,21770,23149,152,23301,31,,0,31
,SWEDEN,4937,61,4998,10,0,10,142,5150,4764,61,4825,1,,0,1
,SWITZERLAND,10608,552,11160,472,2363,2835,1356,15351,11036,283,11319,703,,1448,2151
,UNITED KINGDOM,15462,3772,19234,44171,3264,47435,7659,74328,14167,3921,18088,11630,,807,12437
,Total,145296,6091,151387,100807,8855,109662,25158,286207,143265,6128,149393,22660,,2413,25073
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,3945,168,4113,11496,9025,20521,1145,25779,2825,169,2994,1415,,0,1415
,AUSTRIA,1247,45,1292,0,0,0,42,1334,1902,50,1952,0,,0,0
,CYPRUS,584,52,636,0,0,0,8,644,660,40,700,0,,0,0
,DENMARK,2865,75,2940,10,0,10,302,3252,2800,22,2822,1,,0,1
,FINLAND,3198,1,3199,3,0,3,131,3333,2928,1,2929,0,,0,0
,GREECE,483,59,542,227,0,227,19,788,410,56,466,0,,0,0
,IRELAND,10481,106,10587,1977,0,1977,930,13494,11596,99,11695,460,,0,460
,ISRAEL,2339,78,2417,156,0,156,399,2972,2181,134,2315,162,,0,162
,NEW ZEALAND,563,23,586,209,0,209,77,872,514,23,537,49,,0,49
,NORWAY,2827,13,2840,1,0,1,310,3151,2838,18,2856,0,,0,0
,PORTUGAL,1231,45,1276,2,0,2,208,1486,1226,46,1272,0,,0,0
,SLOVAKIA,214,1,215,181,0,181,34,430,218,1,219,5,,0,5
,SPAIN,11971,403,12374,721,60,781,701,13856,11104,444,11548,145,,0,145
,OTHER NON G-10 DEV.,232,215,447,0,0,0,9,456,248,168,416,0,,0,0
,Total,42180,1284,43464,14983,9085,24068,4315,71847,41450,1271,42721,2237,,0,2237
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,151,4,155,51,0,51,13,219,176,4,180,38,,0,38
,CZECH REPUBLIC,122,2,124,509,0,509,131,764,220,2,222,366,,0,366
,HUNGARY,124,5,129,294,0,294,51,474,193,5,198,246,,0,246
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,788,74,862,2278,1631,3909,263,5034,779,74,853,550,,15,565
,ROMANIA,97,1,98,308,0,308,4,410,167,1,168,195,,0,195
,RUSSIA,2536,39,2575,1319,627,1946,85,4606,2384,39,2423,384,,2,386
,TURKEY,2075,49,2124,855,0,855,126,3105,1889,46,1935,439,,0,439
,OTHER E. EUROPE,295,140,435,61,1,62,5,502,303,47,350,26,,0,26
,Total,6188,314,6502,5675,2259,7934,678,15114,6111,218,6329,2244,,17,2261
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,35,1,36,0,0,0,2,38,45,1,46,0,,0,0
,ARGENTINA,868,71,939,565,0,565,7,1511,1084,180,1264,61,,0,61
,BRAZIL,20538,1072,21610,6139,55,6194,1124,28928,21543,1091,22634,1430,,0,1430
,CHILE,1260,93,1353,568,0,568,458,2379,1269,169,1438,1,,0,1
,COLOMBIA,1399,115,1514,468,0,468,260,2242,1531,92,1623,7,,0,7
,COSTA RICA,103,13,116,15,0,15,27,158,115,26,141,7,,0,7
,DOMINICAN REPUBLIC,299,57,356,57,0,57,17,430,375,85,460,8,,0,8
,ECUADOR,142,26,168,163,0,163,1,332,357,80,437,204,,0,204
,EL SALVADOR,156,35,191,11,0,11,0,202,168,55,223,18,,0,18
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,491,30,521,4,0,4,25,550,440,54,494,1,,0,1
,HONDURAS,78,15,93,11,0,11,1,105,78,18,96,3,,0,3
,MEXICO,13808,2508,16316,14151,13821,27972,1247,45535,13712,2734,16446,4664,,55,4719
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,1089,144,1233,317,0,317,115,1665,1079,219,1298,132,,0,132
,URUGUAY,124,45,169,49,0,49,20,238,192,48,240,74,,0,74
,VENEZUELA,25,507,532,2,0,2,1,535,31,757,788,0,,0,0
,OTHER LAT. AM. & CAR.,8113,512,8625,485,0,485,691,9801,9806,1511,11317,442,,0,442
,Total,48528,5244,53772,23005,13876,36881,3996,94649,51825,7120,58945,7052,,55,7107
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,52550,920,53470,6664,3437,10101,421,63992,46743,1060,47803,5441,,7,5448
,INDIA,11880,368,12248,9959,3496,13455,431,26134,10122,386,10508,2204,,0,2204
,INDONESIA,1153,1103,2256,1539,650,2189,68,4513,1562,937,2499,759,,15,774
,"KOREA, SOUTH",18459,41,18500,5296,18260,23556,331,42387,14505,44,14549,1955,,40,1995
,KUWAIT,613,89,702,51,0,51,1,754,559,90,649,1,,0,1
,MALAYSIA,1216,266,1482,1426,3494,4920,307,6709,1091,253,1344,1290,,0,1290
,PAKISTAN,19,12,31,121,0,121,1,153,19,13,32,8,,0,8
,PHILIPPINES,848,312,1160,645,1065,1710,77,2947,510,385,895,117,,0,117
,QATAR,1039,122,1161,2,0,2,10,1173,1104,120,1224,0,,0,0
,SAUDI ARABIA,4062,210,4272,286,0,286,175,4733,4760,181,4941,183,,0,183
,TAIWAN,25283,293,25576,5690,8072,13762,72,39410,23057,351,23408,3357,,19,3376
,THAILAND,2071,193,2264,834,2989,3823,144,6231,2031,200,2231,73,,0,73
,UNITED ARAB EMIRATES,2661,1309,3970,2000,729,2729,318,7017,3114,1290,4404,2015,,0,2015
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,3141,371,3512,766,245,1011,189,4712,3996,372,4368,377,,0,377
,Total,124995,5609,130604,35279,42437,77716,2545,210865,113173,5682,118855,17780,,81,17861
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,0,1,1,313,0,313,0,314,0,1,1,28,,0,28
,EGYPT,174,11,185,112,0,112,0,297,219,19,238,32,,0,32
,GHANA,1,4,5,0,0,0,9,14,15,4,19,0,,0,0
,KENYA,29,14,43,310,0,310,1,354,42,14,56,218,,0,218
,MOROCCO,137,6,143,89,0,89,24,256,137,6,143,1,,0,1
,NIGERIA,174,21,195,282,0,282,15,492,519,21,540,115,,0,115
,SAINT HELENA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SOUTH AFRICA,2681,14,2695,2575,0,2575,408,5678,1793,21,1814,94,,0,94
,SOUTH SUDAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER AFRICA,2060,51,2111,624,0,624,247,2982,3347,54,3401,261,,0,261
,Total,5256,122,5378,4305,0,4305,704,10387,6072,140,6212,749,,0,749
,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,
,BAHAMAS,192,120,312,29,0,29,3,344,308,224,532,18,,0,18
,BAHRAIN,194,55,249,6,144,150,0,399,350,55,405,1,,0,1
,BERMUDA,7430,37,7467,2,0,2,284,7753,5626,40,5666,0,,0,0
,CAYMAN ISLANDS,55138,284,55422,394,0,394,705,56521,44400,77,44477,334,,0,334
,HONG KONG,7981,3798,11779,6537,13577,20114,527,32420,7429,2734,10163,5914,,2422,8336
,LEBANON,8,18,26,26,0,26,0,52,14,18,32,24,,0,24
,MAURITIUS,398,0,398,177,0,177,107,682,543,0,543,173,,0,173
,PANAMA,2069,37,2106,157,0,157,104,2367,2653,165,2818,157,,0,157
,SINGAPORE,4105,595,4700,4936,13164,18100,1604,24404,3519,1171,4690,4648,,3700,8348
,OTHER BANKING CENTERS,6261,419,6680,183,17,200,495,7375,5277,331,5608,117,,61,178
,Total,83776,5363,89139,12447,26902,39349,3829,132317,70119,4815,74934,11386,,6183,17569
,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,
,AFRICAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,ASIAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,CARIBBEAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,EUROPEAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,LATIN AMERICAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,MIDDLE EASTERN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,Total,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,,,,,,,,,,,,,,,,
,UNITED STATES,42654,2162,44816,1219821,1603381,2823202,91207,2959225,25409,2066,27475,8240,,480,8720
,,,,,,,,,,,,,,,,
