,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2021
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,21677,10579,613,9966,957,33213,,4587,441,16033,16997,5382,,6345,77
,CANADA,141619,73559,10164,63395,7568,222746,,101515,14505,25390,26642,9335,,10530,594
,FRANCE,223250,62909,2240,60669,17804,303963,,274230,4009,240872,249760,75988,,84873,920
,GERMANY,152270,243336,1687,241649,24204,419810,,53246,3484,188851,195871,61092,,68112,537
,ITALY,53596,7203,989,6214,16896,77695,,6587,560,170416,177461,40270,,47315,136
,JAPAN,162459,330492,31938,298554,16077,509028,,77554,5291,84417,92784,35449,,43798,546
,LUXEMBOURG,72895,23999,2790,21209,10102,106996,,34305,3252,28349,30072,10918,,12639,710
,NETHERLANDS,53977,14035,115,13920,10406,78418,,32560,3885,133325,138560,42183,,47419,579
,SWEDEN,32569,1030,1,1029,1419,35018,,8913,404,29071,30268,10160,,11356,23
,SWITZERLAND,71216,37579,7083,30496,4415,113210,,14964,5218,67492,69004,22084,,23599,1418
,UNITED KINGDOM,154119,461070,88926,372144,59295,674484,,179245,12374,311603,355036,109728,,116615,2007
,Total,1139647,1265791,146546,1119245,169143,2574581,,787706,53423,1295819,1382455,422589,,472601,7547
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,32396,108620,1403,107217,5771,146787,,32872,2750,28938,29130,14560,,14753,254
,AUSTRIA,10455,62,0,62,463,10980,,2350,134,6828,7667,2324,,3162,1
,CYPRUS,3169,0,0,0,102,3271,,457,139,4,9,0,,5,107
,DENMARK,15444,340,0,340,2370,18154,,5439,109,17536,18691,5624,,6777,82
,FINLAND,12680,78,0,78,759,13517,,2117,261,14714,15722,4988,,5998,20
,GREECE,2655,281,0,281,1824,4760,,86,266,7067,7946,2757,,3635,12
,IRELAND,90161,21834,1443,20391,7556,119551,,47126,4012,8579,9084,3533,,4035,487
,ISRAEL,8891,2422,159,2263,675,11988,,2034,417,2402,2444,1244,,1284,71
,NEW ZEALAND,3329,1817,48,1769,653,5799,,1254,25,366,402,226,,262,8
,NORWAY,17433,75,2,73,386,17894,,4618,95,11496,12113,3454,,4072,12
,PORTUGAL,3640,3,0,3,426,4069,,961,127,6999,5794,3820,,2616,14
,SLOVAKIA,1018,219,3,216,50,1287,,374,43,95,146,70,,121,0
,SPAIN,39941,1803,252,1551,3830,45574,,8649,1465,70014,72059,22045,,24024,343
,OTHER NON G-10 DEV.,20959,1,0,1,199,21159,,522,17,341,372,177,,208,0
,Total,262171,137555,3310,134245,25064,424790,,108859,9860,175379,181579,64822,,70952,1411
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,197,675,347,328,47,919,,39,153,66,33,65,,32,0
,CZECH REPUBLIC,3697,3531,446,3085,207,7435,,740,265,20,44,17,,41,0
,HUNGARY,957,1476,149,1327,148,2581,,459,151,519,441,313,,235,0
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,2815,11790,909,10881,880,15485,,3647,592,425,502,212,,289,5
,ROMANIA,480,2059,197,1862,22,2561,,216,96,331,322,169,,160,0
,RUSSIA,5739,6904,1021,5883,198,12841,,2216,788,18671,19559,7924,,8811,376
,TURKEY,8364,2201,583,1618,584,11149,,516,257,27794,27157,9381,,8743,930
,OTHER E. EUROPE,3195,710,20,690,86,3991,,296,200,2325,2821,1047,,1540,16
,Total,25444,29346,3672,25674,2172,56962,,8129,2502,50151,50879,19128,,19851,1327
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,783,0,0,0,42,825,,1133,8,0,0,0,,0,23
,ARGENTINA,1546,4637,909,3728,13,6196,,482,56,1808,1824,901,,916,32
,BRAZIL,46157,38958,2860,36098,2782,87897,,6975,1485,30870,35248,12712,,17088,3917
,CHILE,7615,3540,7,3533,807,11962,,1669,125,5401,6089,1655,,2342,1212
,COLOMBIA,3736,2900,139,2761,417,7053,,693,513,11828,12581,3538,,4291,272
,COSTA RICA,347,893,214,679,30,1270,,102,99,3,3,3,,3,70
,DOMINICAN REPUBLIC,618,339,35,304,17,974,,91,112,11,11,10,,10,121
,ECUADOR,644,539,517,22,1,1184,,70,311,41,10,41,,9,83
,EL SALVADOR,312,242,242,0,0,554,,48,36,0,1,0,,0,101
,FRENCH GUIANA,0,0,0,0,0,0,,1,0,0,0,0,,0,0
,GUATEMALA,1035,453,70,383,33,1521,,57,197,20,20,0,,0,334
,HONDURAS,709,224,38,186,1,934,,123,72,0,0,0,,0,141
,MEXICO,26243,79745,8042,71703,2565,108553,,24802,1669,35820,36791,15788,,16788,546
,MONTSERRAT,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,PERU,2817,2002,302,1700,299,5118,,259,346,5006,5470,2065,,2530,358
,URUGUAY,1171,586,236,350,128,1885,,70,128,63,36,63,,36,205
,VENEZUELA,971,2,1,1,2,975,,623,10,132,132,130,,130,7
,OTHER LAT. AM. & CAR.,45179,1859,971,888,1756,48794,,2509,4069,400,860,260,,719,273
,Total,139883,136919,14583,122336,8893,285695,,39707,9236,91403,99076,37166,,44862,7695
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,96677,40348,11524,28824,4387,141412,,19139,2114,33796,37119,15104,,18428,7037
,INDIA,21386,50513,2501,48012,773,72672,,12411,4214,3958,4279,2105,,2426,4456
,INDONESIA,7039,6596,1674,4922,149,13784,,2458,218,15276,15613,6098,,6436,778
,"KOREA, SOUTH",65045,52482,3658,48824,5021,122548,,14883,2048,33112,34681,13767,,15336,3613
,KUWAIT,11198,237,1,236,70,11505,,400,125,43,56,43,,56,600
,MALAYSIA,6742,12699,1096,11603,381,19822,,4933,892,13279,11785,6537,,5043,139
,PAKISTAN,141,747,29,718,16,904,,98,159,8,4,7,,2,129
,PHILIPPINES,3541,6261,815,5446,90,9892,,4741,259,7011,6993,2790,,2772,203
,QATAR,9620,22,0,22,118,9760,,1949,266,5208,5127,2700,,2619,1277
,SAUDI ARABIA,27900,1861,315,1546,417,30178,,6210,128,8404,8934,3338,,3865,952
,TAIWAN,50229,26312,4873,21439,1024,77565,,14792,232,69,79,49,,59,309
,THAILAND,4033,10294,106,10188,725,15052,,7897,236,2496,2609,1141,,1255,148
,UNITED ARAB EMIRATES,19083,6448,2577,3871,566,26097,,4116,1128,2962,4328,1616,,2982,1316
,WEST BANK AND GAZA,2,0,0,0,0,2,,0,0,0,0,0,,0,2
,OTHER ASIA AND PACIFIC,8447,4898,1909,2989,246,13591,,2050,738,782,1102,572,,893,1669
,Total,331083,219718,31078,188640,13983,564784,,96077,12757,126404,132709,55867,,62172,22628
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,5,1081,211,870,33,1119,,19,308,0,0,0,,0,52
,EGYPT,7803,1792,40,1752,0,9595,,190,90,260,3113,172,,3026,259
,GHANA,2424,0,0,0,0,2424,,8,50,14,214,14,,213,78
,KENYA,301,891,219,672,1,1193,,42,179,8,15,7,,15,102
,MOROCCO,340,441,4,437,18,799,,237,67,42,47,37,,42,209
,NIGERIA,10361,2270,104,2166,116,12747,,149,408,56,2049,56,,2049,431
,SAINT HELENA,1,0,0,0,0,1,,0,0,0,0,0,,0,0
,SOUTH AFRICA,6682,7268,314,6954,854,14804,,2053,177,24456,24978,9741,,10262,263
,SOUTH SUDAN,1,0,0,0,0,1,,1,0,0,0,0,,0,0
,OTHER AFRICA,4357,1758,502,1256,234,6349,,462,478,2142,2633,538,,1028,303
,Total,32275,15501,1394,14107,1256,49032,,3161,1757,26978,33049,10565,,16635,1697
,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,
,BAHAMAS,6918,88,25,63,159,7165,,440,87,0,0,0,,0,72
,BAHRAIN,1074,380,1,379,95,1549,,882,118,484,437,336,,289,9
,BERMUDA,26262,48,30,18,1359,27669,,15413,5520,1291,1346,587,,838,72
,CAYMAN ISLANDS,531930,1434,795,639,17813,551177,,107141,25273,13552,11092,9828,,7322,351
,HONG KONG,36654,56442,11823,44619,1324,94420,,21896,1390,5125,5525,2451,,2785,546
,LEBANON,159,146,82,64,358,663,,6,9,734,634,611,,512,5
,MAURITIUS,1951,295,86,209,169,2415,,428,63,10,22,10,,22,79
,PANAMA,4255,649,647,2,204,5108,,568,503,5075,5182,2001,,2108,268
,SINGAPORE,53251,57784,17244,40540,4508,115543,,20160,1396,3636,4075,1837,,2286,1517
