,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2021
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,2255,4723,6978,14944,20651,,2221,8289,862,1264,0,228,,1264
,CANADA,9600,35730,45330,54338,28101,,27080,22976,2739,61671,739,16517,,61463
,FRANCE,3539,19228,22767,106001,54885,,12012,57720,8031,134982,6,62144,,134982
,GERMANY,25229,118843,144072,133594,-14407,,25052,51622,8897,47417,0,13694,,47417
,ITALY,1642,11072,12714,59768,-5978,,3230,39802,8312,4568,0,1118,,4568
,JAPAN,5584,73779,79363,112434,102183,,30816,129185,17009,137983,135,75940,,137983
,LUXEMBOURG,83814,54047,137861,110939,-3818,,2657,11970,385,18237,11,2465,,18218
,NETHERLANDS,39507,14345,53852,78989,15120,,8731,19645,1935,1699,0,390,,1697
,SWEDEN,28,559,587,19441,473,,3377,12212,499,4195,0,873,,4195
,SWITZERLAND,12606,3114,15720,45053,11698,,459,9265,662,5239,5,1724,,5239
,UNITED KINGDOM,1234881,317259,1552140,377715,-8547,,26589,80197,15942,94874,259,53007,,94864
,Total,1418685,652699,2071384,1113216,200361,,142224,442883,65273,512129,1155,228100,,511890
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,11265,66811,78076,100646,-1525,,15335,31672,1228,11363,1,7623,,11363
,AUSTRIA,105,334,439,9043,-344,,3080,5184,1169,1121,0,356,,1121
,CYPRUS,0,0,0,4768,0,,0,939,79,275,0,49,,275
,DENMARK,10,326,336,10568,100,,349,5173,118,5684,0,1493,,5684
,FINLAND,0,109,109,7592,18,,2634,5654,528,719,0,7,,719
,GREECE,27,1135,1162,5359,-826,,0,1452,244,864,0,275,,864
,IRELAND,20499,27818,48317,137996,38873,,8779,18249,636,21893,0,4236,,21402
,ISRAEL,1261,2044,3305,9594,-807,,1049,5417,162,577,0,571,,577
,NEW ZEALAND,21,994,1015,5119,997,,630,1467,169,474,1,344,,474
,NORWAY,0,395,395,10643,-268,,2542,2899,358,7955,0,625,,7955
,PORTUGAL,4,224,228,4863,-213,,0,2580,429,249,0,4,,249
,SLOVAKIA,150,436,586,719,-167,,0,95,43,764,0,66,,764
,SPAIN,577,2450,3027,32871,-345,,3252,17605,3735,1767,0,238,,1767
,OTHER NON G-10 DEV.,1,1,2,8110,1,,14,315,1,5331,0,3239,,5331
,Total,33920,103077,136997,347891,35494,,37664,98701,8899,59036,2,19126,,58545
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,346,338,684,738,46,,40,17,2,0,0,0,,0
,CZECH REPUBLIC,1296,1774,3070,3835,671,,650,557,87,4927,0,2305,,4927
,HUNGARY,717,1219,1936,3543,95,,885,506,132,57,0,57,,57
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,3136,8902,12038,13348,2312,,2651,1810,166,201,0,125,,201
,ROMANIA,528,1576,2104,2285,123,,1266,447,79,26,0,26,,26
,RUSSIA,3231,5688,8919,16312,-1117,,1457,4305,773,1749,0,1733,,1749
,TURKEY,801,825,1626,4123,457,,250,2342,237,1887,0,1886,,1887
,OTHER E. EUROPE,289,582,871,7932,-149,,241,1703,247,1037,0,6,,1037
,Total,10344,20904,31248,52116,2438,,7440,11687,1723,9884,0,6138,,9884
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,2,0,2,811,0,,0,0,0,631,0,117,,631
,ARGENTINA,820,2417,3237,2864,1606,,69,1025,54,1089,5,1089,,1084
,BRAZIL,164,17786,17950,21236,-3548,,4891,37247,1830,10284,0,10284,,10284
,CHILE,8,438,446,1470,1694,,202,1291,261,1292,0,6,,1292
,COLOMBIA,16,2197,2213,2288,399,,1237,1161,79,345,0,331,,345
,COSTA RICA,278,484,762,814,317,,236,178,1,0,0,0,,0
,DOMINICAN REPUBLIC,114,215,329,776,83,,180,175,52,0,0,0,,0
,ECUADOR,574,0,574,527,88,,43,121,8,0,0,0,,0
,EL SALVADOR,195,0,195,201,110,,136,47,33,54,0,54,,54
,FRENCH GUIANA,0,0,0,0,0,,0,0,0,0,0,0,,0
,GUATEMALA,115,258,373,372,95,,286,53,6,0,0,0,,0
,HONDURAS,35,157,192,183,44,,102,66,2,0,0,0,,0
,MEXICO,7015,61167,68182,72510,16692,,19605,13686,1339,3714,0,2839,,3714
,MONTSERRAT,0,0,0,0,0,,0,0,0,0,0,0,,0
,PERU,623,1204,1827,2042,211,,1031,472,108,215,0,60,,215
,URUGUAY,2240,174,2414,770,4034,,16,666,94,0,0,0,,0
,VENEZUELA,1,1,2,59,7,,0,15,0,0,0,0,,0
,OTHER LAT. AM. & CAR.,1161,686,1847,41910,622,,385,5978,101,3389,0,1087,,3389
,Total,13361,87184,100545,148833,22454,,28419,62181,3968,21013,5,15867,,21008
,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,
,CHINA-MAINLAND,7162,27839,35001,68160,5847,,7046,67228,925,5477,0,553,,5476
,INDIA,3100,34635,37735,36773,11211,,12033,19761,1222,5694,0,5694,,5694
,INDONESIA,1799,3880,5679,8575,1433,,2126,4252,264,392,0,327,,392
,"KOREA, SOUTH",5190,30181,35371,47661,10273,,12090,26916,88,27266,0,7418,,27266
,KUWAIT,20,168,188,8654,71,,92,469,11,8758,0,1085,,8758
,MALAYSIA,3511,7270,10781,16219,1405,,1853,2840,105,2086,0,1793,,2086
,PAKISTAN,72,758,830,817,47,,424,178,10,42,0,42,,42
,PHILIPPINES,3100,4113,7213,9621,1623,,1084,904,40,1627,0,1613,,1627
,QATAR,26,37,63,3818,-39,,96,1017,51,1565,0,378,,1565
,SAUDI ARABIA,346,574,920,27948,-182,,362,4388,193,11843,0,8,,11843
,TAIWAN,11785,13508,25293,45722,4855,,1232,26096,86,16921,1,2123,,16921
,THAILAND,1551,7030,8581,13786,872,,3218,2481,44,2043,0,1677,,2043
,UNITED ARAB EMIRATES,10261,3496,13757,17635,1645,,1873,1144,92,9054,0,3050,,9054
,WEST BANK AND GAZA,0,0,0,110,0,,0,0,0,0,0,0,,0
,OTHER ASIA AND PACIFIC,4986,2915,7901,20701,-1801,,1100,2536,77,172,0,8,,172
,Total,52909,136404,189313,326200,37260,,44629,160210,3208,92940,1,25769,,92939
,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,
,ALGERIA,172,931,1103,976,263,,421,42,0,0,0,0,,0
,EGYPT,252,1283,1535,1500,339,,951,6325,83,1414,0,283,,1414
,GHANA,0,0,0,397,0,,0,614,56,1100,0,0,,1100
,KENYA,355,481,836,1081,119,,426,106,27,0,0,0,,0
,MOROCCO,244,501,745,686,-283,,286,103,24,55,0,55,,55
,NIGERIA,349,1549,1898,6267,405,,490,2951,27,7233,20,199,,7233
,SAINT HELENA,0,0,0,0,0,,0,1,0,0,0,0,,0
,SOUTH AFRICA,703,4403,5106,15441,-2638,,1900,5310,533,612,0,472,,612
,SOUTH SUDAN,0,0,0,32,0,,0,0,0,0,0,0,,0
,OTHER AFRICA,1150,1493,2643,8368,20,,513,1025,73,102,0,14,,102
,Total,3225,10641,13866,34748,-1775,,4987,16477,823,10516,20,1023,,10516
,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,
,BAHAMAS,10047,121,10168,6413,-8002,,91,61,6,2632,0,335,,2632
,BAHRAIN,1132,280,1412,1156,-1031,,77,189,29,540,0,409,,540
,BERMUDA,764,6,770,14940,2003,,517,7693,452,937,0,216,,937
,CAYMAN ISLANDS,21610,63,21673,256972,438,,84417,48980,2246,169214,72,38793,,168158
,HONG KONG,78348,38082,116430,85532,-10433,,9912,15336,74,6827,13,472,,6810
,LEBANON,165,67,232,1369,-74,,0,52,3,0,0,0,,0
,MAURITIUS,146,60,206,1980,-1033,,0,402,12,256,0,53,,256
,PANAMA,995,23,1018,2014,-315,,480,982,80,60,0,0,,60
,SINGAPORE,72496,25352,97848,80227,-1706,,14498,6433,344,32240,0,10279,,32240
,OTHER BANKING CENTERS,36414,4143,40557,25866,-26786,,685,5150,157,2354,0,280,,2354
,Total,222117,68197,290314,476469,-46939,,110677,85278,3403,215060,85,50837,,213987
,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,
,AFRICAN,0,0,0,114,0,,1172,226,12,0,0,0,,0
,ASIAN,0,0,0,216,0,,6615,638,49,0,0,0,,0
,CARIBBEAN,0,0,0,0,0,,0,0,0,0,0,0,,0
,EUROPEAN,0,0,0,6258,0,,19634,8333,1801,908,6,0,,908
,INTERNATIONAL,0,0,0,2968,0,,10614,2144,249,3474,0,1391,,3474
,LATIN AMERICAN,0,0,0,46,0,,6345,510,20,0,0,0,,0
,MIDDLE EASTERN,0,0,0,313,0,,0,4,0,86,0,0,,86
,Total,0,0,0,9915,0,,44380,11855,2131,4468,6,1391,,4468
,,,,,,,,,,,,,,,
,UNITED STATES,0,0,0,173498,-248244,,4253668,1131558,109552,953083,16317,776574,,942307
,,,,,,,,,,,,,,,
,Grand Total,1754561,1079106,2833667,2682886,1049,,4674088,2020830,198980,1878129,17591,1124825,,1865544
