,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2021
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,5778,997,414,7189,5477,594,8583,9280,259,18122,8337,0,4230,196,91,4517,,4287,110
,CANADA,42893,13867,3249,60009,37505,2839,15912,15930,302,32144,15738,580,55176,13039,1772,69987,,55692,748
,FRANCE,33313,2176,7764,43253,25995,74,36420,37216,3899,77535,33815,0,129578,10935,4037,144550,,130295,1131
,GERMANY,53582,6116,5335,65033,30278,262,45080,210554,6855,262489,35150,0,20291,21686,4916,46893,,26180,1291
,ITALY,9253,225,1525,11003,8647,42,28761,993,13757,43511,28592,0,6690,1894,1212,9796,,6349,676
,JAPAN,69963,36458,5406,111827,53083,30339,53746,152309,2850,208905,53543,0,13963,96501,6945,117409,,13332,767
,LUXEMBOURG,1782,568,93,2443,2789,227,617,16321,19,16957,614,1,56867,5255,8805,70927,,58841,2244
,NETHERLANDS,8266,41,4788,13095,5941,3,7801,13307,760,21868,6958,36,13929,349,3263,17541,,14957,28
,SWEDEN,10475,5,317,10797,12619,0,3271,927,81,4279,3211,0,4765,3,909,5677,,4912,0
,SWITZERLAND,44901,237,1450,46588,7647,80,935,30558,106,31599,738,11,8990,3992,1933,14915,,6526,4230
,UNITED KINGDOM,48767,24472,15536,88775,72171,29138,7155,210710,15276,233141,4671,7789,67624,153172,21427,242223,,65831,38909
,Total,328973,85162,45877,460012,262152,63598,208281,698105,44164,950550,191367,8417,382103,307022,55310,744435,,387202,50134
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,11535,9868,2016,23419,11225,136,3795,50771,247,54813,3789,1,10571,23666,2549,36786,,10822,824
,AUSTRIA,1654,1,171,1826,1655,0,6729,1,154,6884,6596,0,448,2,80,530,,503,0
