,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2021
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,3020,66,3086,14,92,106,193,3385,2918,96,3014,0,,3,3
,CANADA,24579,3059,27638,23306,7417,30723,2245,60606,20138,2783,22921,7773,,33,7806
,FRANCE,23548,391,23939,11012,1570,12582,2104,38625,21392,445,21837,971,,10,981
,GERMANY,32589,728,33317,4171,809,4980,7098,45395,27721,1132,28853,50,,95,145
,ITALY,8629,263,8892,2651,1440,4091,402,13385,7784,235,8019,213,,42,255
,JAPAN,24294,493,24787,42996,2228,45224,876,70887,19900,394,20294,1195,,0,1195
,LUXEMBOURG,13606,23,13629,1855,0,1855,1185,16669,22279,12,22291,408,,0,408
,NETHERLANDS,23859,122,23981,143,195,338,1594,25913,28095,164,28259,56,,0,56
,SWEDEN,13691,367,14058,16,79,95,112,14265,13629,364,13993,1,,0,1
,SWITZERLAND,15669,721,16390,559,2233,2792,926,20108,13893,539,14432,557,,1509,2066
,UNITED KINGDOM,25176,5397,30573,62854,9862,72716,7056,110345,23427,5005,28432,17010,,1018,18028
,Total,208660,11630,220290,149577,25925,175502,23791,419583,201176,11169,212345,28234,,2710,30944
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,6213,282,6495,13552,10763,24315,959,31769,5277,282,5559,1112,,0,1112
,AUSTRIA,1597,27,1624,33,25,58,58,1740,2141,61,2202,0,,0,0
,CYPRUS,910,69,979,0,0,0,9,988,797,55,852,0,,0,0
,DENMARK,3924,80,4004,6,0,6,288,4298,3788,19,3807,1,,0,1
,FINLAND,4004,40,4044,5,40,45,114,4203,3739,4,3743,0,,0,0
,GREECE,718,62,780,223,0,223,25,1028,680,63,743,0,,0,0
,IRELAND,16751,164,16915,2139,1,2140,523,19578,15977,157,16134,612,,0,612
,ISRAEL,3586,286,3872,188,0,188,249,4309,3136,351,3487,161,,0,161
,NEW ZEALAND,765,34,799,341,98,439,59,1297,828,35,863,48,,0,48
,NORWAY,3120,56,3176,8,0,8,230,3414,3089,51,3140,0,,0,0
,PORTUGAL,1332,75,1407,1,0,1,143,1551,1503,77,1580,0,,0,0
