,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2021
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,1769,9421,591,8830,14,11204,,329,4,9,3,6,,0,64
,CANADA,60100,21143,3378,17765,1110,82353,,40140,4680,468,907,97,,478,57
,FRANCE,22668,1780,38,1742,812,25260,,662,506,69,174,23,,127,261
,GERMANY,43229,19074,60,19014,295,62598,,1850,312,54,120,19,,85,38
,ITALY,2288,1357,1,1356,8,3653,,929,82,24,24,14,,14,25
,JAPAN,38326,30022,5884,24138,260,68608,,9069,131,67,7178,67,,7175,214
,LUXEMBOURG,13377,8610,100,8510,480,22467,,3117,100,2,3,0,,0,4
,NETHERLANDS,9033,4799,32,4767,179,14011,,2651,248,34,26,8,,0,12
,SWEDEN,5543,99,0,99,1,5643,,1763,56,3,3,0,,0,10
,SWITZERLAND,41763,5601,0,5601,450,47814,,372,188,24,19,7,,3,4
,UNITED KINGDOM,68571,79760,13617,66143,2508,150839,,51287,1686,119,37425,54,,850,319
,Total,306667,181666,23701,157965,6117,494450,,112169,7993,873,45882,295,,8732,1008
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,7844,9039,12,9027,168,17051,,7311,187,185,180,185,,180,70
,AUSTRIA,1555,60,0,60,1,1616,,5,8,2,2,0,,0,0
