,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2021
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,1714,591,1237,8833,11138,300,352,11190
,CANADA,55256,3509,40854,17144,75909,2712,8009,81243
,FRANCE,15495,0,8545,1391,16886,764,8328,24448
,GERMANY,18446,60,9210,19028,37534,2798,27568,62303
,ITALY,1961,1,615,1372,3334,33,345,3645
,JAPAN,29752,5817,31597,22849,58418,1876,11807,68348
,LUXEMBOURG,12784,228,10478,8451,21463,1205,1725,21987
,NETHERLANDS,9015,36,3364,4573,13624,1618,1828,13832
,SWEDEN,5130,0,2964,99,5229,185,596,5642
,SWITZERLAND,3910,16,3191,261,4187,363,43536,47364
,UNITED KINGDOM,92247,15165,83226,66176,173588,39853,14621,148331
,Total,245710,25423,195281,150177,421310,51707,118715,488333
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,7587,33,4107,9287,16907,886,861,16883
,AUSTRIA,1571,0,347,70,1641,47,21,1615
,CYPRUS,14,0,9,0,14,0,64,78
,DENMARK,1285,0,907,2,1287,467,310,1130
,FINLAND,1453,0,727,45,1498,15,436,1919
,GREECE,31,0,28,0,31,27,12,16
,IRELAND,16219,618,14366,10865,27702,8792,1594,20507
,ISRAEL,1638,0,859,2,1640,112,349,1876
,NEW ZEALAND,530,0,207,273,803,148,22,677
,NORWAY,3221,1,1653,46,3268,552,558,3273
,PORTUGAL,348,0,164,0,348,157,2,193
,SLOVAKIA,13,0,12,0,13,12,2,3
,SPAIN,4311,6,2674,431,4748,161,1456,6039
,OTHER NON G-10 DEV.,190,0,53,0,190,61,38,167
,Total,38411,658,26113,21021,60090,11437,5725,54376
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,37,0,36,0,37,10,1,28
,CZECH REPUBLIC,95,0,94,0,95,57,20,58
,HUNGARY,293,0,252,1,294,260,12,46
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,283,5,274,151,439,130,41,350
,ROMANIA,56,0,54,0,56,45,2,13
,RUSSIA,418,0,336,23,441,101,101,439
,TURKEY,264,0,134,0,264,81,27,209
,OTHER E. EUROPE,159,1,150,0,160,77,14,97
,Total,1605,6,1330,175,1786,761,218,1240
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,256,0,255,0,256,58,21,219
,ARGENTINA,521,280,301,469,1270,345,149,1064
,BRAZIL,4605,168,3243,357,5130,901,1743,5946
,CHILE,2666,1,985,15,2682,363,74,2392
,COLOMBIA,775,0,397,0,775,228,147,685
,COSTA RICA,184,0,138,0,184,124,40,97
,DOMINICAN REPUBLIC,359,0,127,0,359,132,9,70
,ECUADOR,396,0,206,22,418,209,63,259
,EL SALVADOR,65,0,45,0,65,40,0,22
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,239,0,177,0,239,105,15,145
,HONDURAS,135,0,93,0,135,59,10,81
,MEXICO,4871,18,2015,3009,7898,2175,921,6638
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,750,0,295,0,750,77,36,709
,URUGUAY,285,3,121,0,288,215,9,80
,VENEZUELA,755,0,367,0,755,412,119,454
,OTHER LAT. AM. & CAR.,3618,400,1792,0,4018,1874,407,2550
,Total,20480,870,10557,3872,25222,7317,3763,21411
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,8271,324,5794,1317,9912,694,4416,13633
,INDIA,1097,4,991,1740,2841,948,198,2088
,INDONESIA,473,1,393,8,482,298,104,288
,"KOREA, SOUTH",4206,124,4109,157,4487,1279,1566,4773
,KUWAIT,632,28,579,0,660,59,79,680
,MALAYSIA,945,0,874,39,984,0,393,1377
,PAKISTAN,13,0,11,0,13,9,4,8
,PHILIPPINES,210,61,236,58,329,102,17,244
,QATAR,1066,0,872,0,1066,30,70,1106
,SAUDI ARABIA,3510,9,3094,55,3574,282,51,3341
,TAIWAN,2193,19,1902,235,2447,166,956,3237
,THAILAND,95,0,69,66,161,30,3,134
,UNITED ARAB EMIRATES,2009,22,1595,2,2033,629,184,1588
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0
,OTHER ASIA AND PACIFIC,1470,0,233,12,1482,981,319,818
,Total,26190,592,20752,3689,30471,5507,8360,33315
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,0,0,0,0,0,0,0,0
,EGYPT,50,0,46,0,50,12,0,38
,GHANA,17,0,15,0,17,1,1,17
,KENYA,25,0,24,0,25,3,0,22
,MOROCCO,22,0,20,0,22,1,0,21
,NIGERIA,461,0,455,0,461,82,0,379
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,348,0,332,0,348,41,47,352
,SOUTH SUDAN,0,0,0,0,0,0,0,0
,OTHER AFRICA,494,0,114,0,494,154,197,537
,Total,1417,0,1006,0,1417,294,245,1366
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,3093,0,2733,0,3093,2764,118,447
,BAHRAIN,123,0,54,0,123,54,0,69
,BERMUDA,6355,62,3390,8,6425,711,496,6207
,CAYMAN ISLANDS,68883,471,49529,2,69356,26571,3353,46137
,HONG KONG,8730,1692,9760,1799,12221,2045,1280,11457
,LEBANON,30,0,19,0,30,6,0,24
,MAURITIUS,316,0,203,0,316,38,1,279
,PANAMA,1199,1,545,0,1200,903,100,389
,SINGAPORE,9616,206,7233,1625,11447,1112,1294,11627
,OTHER BANKING CENTERS,3234,142,1783,84,3460,726,684,3418
,Total,101579,2574,75249,3518,107671,34930,7326,80054
,,,,,,,,,
,International & Regional Organizations,,,,,,,,
,AFRICAN,1027,0,215,0,1027,0,0,1027
,ASIAN,4706,0,1685,0,4706,0,0,4706
,CARIBBEAN,0,0,0,0,0,0,0,0
,EUROPEAN,10582,0,2422,0,10582,0,0,10582
,INTERNATIONAL,6861,0,2950,0,6861,0,0,6861
,LATIN AMERICAN,3827,0,583,0,3827,0,3,3830
,MIDDLE EASTERN,0,0,0,0,0,0,0,0
,Total,27003,0,7855,0,27003,0,3,27006
,,,,,,,,,
,UNITED STATES,52318,206755,39059,6923032,7182105,213842,181527,7156784
,,,,,,,,,
,Grand Total,514713,236878,377202,7105484,7857075,325795,325882,7863885
