,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2021
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,2023,4046,6069,1403,20583,,279,14,0,11,0,0,,11
,CANADA,2174,4938,7112,7139,5474,,19205,1643,94,17895,739,5070,,17687
,FRANCE,7,207,214,369,834,,4820,394,64,3623,0,3320,,3623
,GERMANY,1004,5286,6290,5916,14438,,10392,524,13,18677,0,1123,,18677
,ITALY,0,680,680,2403,550,,1846,91,2,0,0,0,,0
,JAPAN,21,4066,4087,4670,23965,,8703,8156,70,8173,0,80,,8173
,LUXEMBOURG,12034,6898,18932,20222,-8424,,258,315,49,7223,0,19,,7204
,NETHERLANDS,2244,2490,4734,6842,1089,,4681,416,72,266,0,2,,264
,SWEDEN,3,35,38,1055,44,,2524,303,21,0,0,0,,0
,SWITZERLAND,1,35,36,458,299,,443,488,117,779,5,13,,779
,UNITED KINGDOM,83599,53207,136806,61928,-17063,,8973,1202,159,26637,253,2501,,26627
,Total,103110,81888,184998,112405,41789,,62124,13546,661,83284,997,12128,,83045
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,6149,8337,14486,12910,-2759,,4623,238,53,11,0,3,,11
,AUSTRIA,0,47,47,200,18,,1330,1,0,0,0,0,,0
,CYPRUS,0,0,0,77,0,,0,0,0,0,0,0,,0
,DENMARK,5,4,9,2336,0,,349,50,10,0,0,0,,0
,FINLAND,0,2,2,817,33,,1116,43,22,8,0,0,,8
,GREECE,0,0,0,114,1,,0,8,0,0,0,0,,0
,IRELAND,7458,10680,18138,37147,-6364,,406,300,18,2905,0,492,,2414
,ISRAEL,0,2,2,189,-2,,459,31,1,0,0,0,,0
,NEW ZEALAND,0,27,27,887,229,,173,63,3,1,0,0,,1
,NORWAY,0,108,108,1444,-40,,2464,35,14,87,0,28,,87
,PORTUGAL,0,0,0,118,0,,0,1,0,0,0,0,,0
,SLOVAKIA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SPAIN,94,298,392,675,386,,1945,96,9,928,0,0,,928
,OTHER NON G-10 DEV.,0,0,0,35,0,,14,0,0,0,0,0,,0
,Total,13706,19505,33211,56949,-8498,,12879,866,130,3940,0,523,,3449
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,0,0,0,50,0,,0,0,0,0,0,0,,0
,CZECH REPUBLIC,1,0,1,23,0,,0,0,0,0,0,0,,0
,HUNGARY,15,0,15,5,191,,0,2,0,0,0,0,,0
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,0,152,152,173,48,,19,0,0,0,0,0,,0
,ROMANIA,0,0,0,2,0,,6,0,0,0,0,0,,0
,RUSSIA,0,7,7,420,38,,6,3,0,0,0,0,,0
,TURKEY,0,0,0,315,0,,18,0,0,0,0,0,,0
,OTHER E. EUROPE,0,0,0,340,0,,5,55,0,1,0,0,,1
,Total,16,159,175,1328,277,,54,60,0,1,0,0,,1
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,2,0,2,263,0,,0,0,0,131,0,0,,131
