,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2021
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,402,9,411,12,41,53,1,465,417,15,432,0,,0,0
,CANADA,9259,2499,11758,5284,6587,11871,379,24008,7941,2455,10396,1226,,33,1259
,FRANCE,1517,99,1616,380,457,837,1,2454,1740,86,1826,0,,0,0
,GERMANY,2996,593,3589,481,492,973,34,4596,3160,595,3755,43,,0,43
,ITALY,60,32,92,383,592,975,0,1067,34,19,53,0,,0,0
,JAPAN,1518,275,1793,1637,2227,3864,2,5659,751,272,1023,0,,0,0
,LUXEMBOURG,2611,3,2614,36,0,36,43,2693,2796,4,2800,27,,0,27
,NETHERLANDS,3766,9,3775,42,89,131,139,4045,4096,10,4106,0,,0,0
,SWEDEN,302,306,608,9,79,88,0,696,320,300,620,0,,0,0
,SWITZERLAND,1126,170,1296,0,0,0,36,1332,870,234,1104,0,,0,0
,UNITED KINGDOM,8609,917,9526,5340,6024,11364,166,21056,8756,946,9702,1022,,6,1028
,Total,32166,4912,37078,13604,16588,30192,801,68071,30881,4936,35817,2318,,39,2357
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,1653,82,1735,3037,1813,4850,43,6628,1536,84,1620,0,,0,0
,AUSTRIA,130,8,138,32,25,57,0,195,146,19,165,0,,0,0
,CYPRUS,64,6,70,0,0,0,0,70,0,6,6,0,,0,0
,DENMARK,121,11,132,2,0,2,0,134,116,11,127,0,,0,0
,FINLAND,29,3,32,3,40,43,5,80,39,3,42,0,,0,0
,GREECE,9,3,12,0,0,0,0,12,26,3,29,0,,0,0
,IRELAND,2700,35,2735,24,0,24,79,2838,2610,33,2643,2,,0,2
,ISRAEL,611,209,820,0,0,0,0,820,382,204,586,0,,0,0
,NEW ZEALAND,228,12,240,141,98,239,0,479,307,13,320,0,,0,0
,NORWAY,220,44,264,8,0,8,0,272,243,38,281,0,,0,0
,PORTUGAL,12,30,42,0,0,0,0,42,165,31,196,0,,0,0
,SLOVAKIA,0,1,1,0,0,0,0,1,12,1,13,0,,0,0
,SPAIN,240,350,590,90,90,180,2,772,298,407,705,6,,0,6
,OTHER NON G-10 DEV.,77,48,125,0,0,0,0,125,64,50,114,0,,0,0
,Total,6094,842,6936,3337,2066,5403,129,12468,5944,903,6847,8,,0,8
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,25,1,26,0,0,0,0,26,34,1,35,0,,0,0
,CZECH REPUBLIC,3,10,13,0,0,0,0,13,22,1,23,0,,0,0
,HUNGARY,0,8,8,1,0,1,35,44,68,8,76,0,,0,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,33,3,36,36,0,36,0,72,73,3,76,0,,0,0
,ROMANIA,0,5,5,0,0,0,0,5,25,3,28,0,,0,0
,RUSSIA,62,15,77,15,0,15,0,92,154,17,171,0,,0,0
,TURKEY,21,62,83,0,0,0,0,83,97,50,147,0,,0,0
,OTHER E. EUROPE,7,9,16,0,0,0,0,16,67,9,76,0,,0,0
,Total,151,113,264,52,0,52,35,351,540,92,632,0,,0,0
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,1,0,1,0,0,0,0,1,2,0,2,0,,0,0
,ARGENTINA,93,236,329,439,129,568,5,902,243,193,436,253,,9,262
,BRAZIL,1050,968,2018,3,0,3,39,2060,871,956,1827,29,,0,29
,CHILE,275,57,332,9,0,9,28,369,585,68,653,0,,0,0
,COLOMBIA,200,224,424,0,0,0,0,424,354,143,497,0,,0,0
,COSTA RICA,47,15,62,0,0,0,0,62,111,22,133,0,,0,0
,DOMINICAN REPUBLIC,9,50,59,0,0,0,0,59,106,82,188,0,,0,0
,ECUADOR,56,140,196,0,0,0,0,196,219,117,336,0,,0,0
,EL SALVADOR,1,12,13,0,0,0,0,13,25,26,51,0,,0,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,29,45,74,0,0,0,0,74,98,69,167,0,,0,0
,HONDURAS,6,32,38,0,0,0,0,38,43,42,85,0,,0,0
,MEXICO,2151,946,3097,622,1376,1998,104,5199,2966,1463,4429,18,,0,18
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,317,112,429,0,0,0,0,429,356,121,477,0,,0,0
,URUGUAY,18,28,46,0,3,3,11,60,202,51,253,0,,3,3
,VENEZUELA,21,428,449,0,0,0,0,449,160,587,747,0,,0,0
