,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2021
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,19908,1158,22,1136,943,22009,,4258,437,16024,16994,5376,,6345,13
,CANADA,81519,52416,6786,45630,6458,140393,,61375,9825,24922,25735,9238,,10052,537
,FRANCE,200582,61129,2202,58927,16992,278703,,273568,3503,240803,249586,75965,,84746,659
,GERMANY,109041,224262,1627,222635,23909,357212,,51396,3172,188797,195751,61073,,68027,499
,ITALY,51308,5846,988,4858,16888,74042,,5658,478,170392,177437,40256,,47301,111
,JAPAN,124133,300470,26054,274416,15817,440420,,68485,5160,84350,85606,35382,,36623,332
,LUXEMBOURG,59518,15389,2690,12699,9622,84529,,31188,3152,28347,30069,10918,,12639,706
,NETHERLANDS,44944,9236,83,9153,10227,64407,,29909,3637,133291,138534,42175,,47419,567
,SWEDEN,27026,931,1,930,1418,29375,,7150,348,29068,30265,10160,,11356,13
,SWITZERLAND,29453,31978,7083,24895,3965,65396,,14592,5030,67468,68985,22077,,23596,1414
,UNITED KINGDOM,85548,381310,75309,306001,56787,523645,,127958,10688,311484,317611,109674,,115765,1688
,Total,832980,1084125,122845,961280,163026,2080131,,675537,45430,1294946,1336573,422294,,463869,6539
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,24552,99581,1391,98190,5603,129736,,25561,2563,28753,28950,14375,,14573,184
,AUSTRIA,8900,2,0,2,462,9364,,2345,126,6826,7665,2324,,3162,1
,CYPRUS,3091,0,0,0,102,3193,,452,136,4,9,0,,5,99
,DENMARK,14316,338,0,338,2365,17019,,5421,109,17533,18688,5624,,6777,82
,FINLAND,10806,33,0,33,754,11593,,2104,260,14711,15719,4988,,5998,20
,GREECE,2639,281,0,281,1824,4744,,40,266,7067,7946,2757,,3635,12
,IRELAND,80820,10668,1195,9473,7215,98703,,43580,3984,8516,8993,3519,,3996,447
,ISRAEL,7017,2420,159,2261,672,10109,,1526,347,2391,2407,1242,,1256,36
,NEW ZEALAND,2913,1556,48,1508,597,5066,,797,25,366,402,226,,262,0
,NORWAY,14172,63,1,62,377,14612,,4546,94,11491,12110,3452,,4072,12
,PORTUGAL,3447,3,0,3,422,3872,,952,113,6999,5794,3820,,2616,1
,SLOVAKIA,1015,219,3,216,50,1284,,372,43,95,146,70,,121,0
,SPAIN,34338,1367,246,1121,3505,39210,,8426,1239,70002,71977,22043,,24019,264
,OTHER NON G-10 DEV.,20792,1,0,1,196,20989,,522,11,341,372,177,,208,0
,Total,228818,116532,3043,113489,24144,369494,,96644,9316,175095,181178,64617,,70700,1158
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,169,675,347,328,47,891,,19,153,66,33,65,,32,0
,CZECH REPUBLIC,3639,3531,446,3085,207,7377,,726,265,20,44,17,,41,0
,HUNGARY,912,1475,149,1326,113,2500,,434,151,519,441,313,,235,0
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,2559,11696,905,10791,880,15135,,3623,592,423,502,210,,289,5
,ROMANIA,467,2059,197,1862,22,2548,,163,96,331,322,169,,160,0
,RUSSIA,5323,6881,1021,5860,198,12402,,1936,788,18611,19499,7864,,8751,336
