,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2021
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,19401,116,14957,1028,20545,717,1239,21066
,CANADA,76600,8464,70318,46195,131259,6504,9177,133935
,FRANCE,196447,2186,179799,58987,257620,3176,7265,261711
,GERMANY,102015,1638,85682,222258,325911,11019,18414,333303
,ITALY,49646,972,42352,4927,55545,432,2036,57154
,JAPAN,110500,26484,112930,274253,411237,5083,18449,424603
,LUXEMBOURG,71751,2652,48932,12641,87044,15795,3655,74907
,NETHERLANDS,47100,87,31438,9155,56342,9153,6991,54180
,SWEDEN,29605,1,24425,933,30539,3758,1178,27957
,SWITZERLAND,25433,6371,24715,26050,57854,4553,8128,61431
,UNITED KINGDOM,78858,78699,108450,307480,465037,20521,22693,466858
,Total,807356,127670,743998,963907,1898933,80711,99225,1917105
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,23808,2040,16644,100634,126482,4846,2499,124133
,AUSTRIA,9385,0,6266,2,9387,1063,580,8902
,CYPRUS,2789,0,2273,0,2789,214,517,3091
,DENMARK,10917,1,10150,341,11259,254,3649,14654
,FINLAND,10150,0,7836,33,10183,71,726,10839
,GREECE,2642,0,1765,334,2976,139,84,2920
,IRELAND,83473,1563,60206,9495,94531,7093,4051,91488
,ISRAEL,7070,177,5721,2274,9521,469,389,9437
,NEW ZEALAND,2969,48,2739,1568,4585,318,198,4469
,NORWAY,13450,1,12149,63,13514,251,970,14235
,PORTUGAL,3410,0,2637,15,3425,76,101,3450
,SLOVAKIA,1047,2,944,231,1280,53,6,1234
,SPAIN,32788,184,21767,1146,34118,589,2174,35705
,OTHER NON G-10 DEV.,21066,0,6415,1,21067,520,243,20793
,Total,224964,4016,157512,116137,345117,15956,16187,345350
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,172,376,384,329,877,34,0,844
,CZECH REPUBLIC,3716,506,4093,3107,7329,203,44,7170
,HUNGARY,940,218,960,1367,2525,174,34,2387
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,2499,1120,2896,11052,14671,888,474,14255
,ROMANIA,536,254,643,1920,2710,201,17,2526
,RUSSIA,5171,1160,5190,6178,12509,608,301,12204
,TURKEY,7953,614,6657,1688,10255,600,704,10356
,OTHER E. EUROPE,2880,29,2813,695,3604,48,253,3808
,Total,23867,4277,23636,26336,54480,2756,1827,53550
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,564,0,543,0,564,4,5,564
,ARGENTINA,1629,630,1714,3409,5668,594,43,5119
,BRAZIL,36200,3001,31175,36560,75761,5577,8981,79169
,CHILE,5292,5,4699,3518,8815,429,378,8763
,COLOMBIA,3320,139,2556,2994,6453,832,328,5951
,COSTA RICA,369,215,425,686,1270,142,15,1143
,DOMINICAN REPUBLIC,729,35,679,320,1084,237,37,887
,ECUADOR,711,557,1014,0,1268,376,31,924
,EL SALVADOR,343,249,530,0,592,95,34,532
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,873,70,734,383,1326,195,211,1343
,HONDURAS,654,38,622,193,885,42,10,852
,MEXICO,23984,8422,20448,69837,102243,6112,3218,99350
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,2171,340,1982,1773,4284,565,392,4110
,URUGUAY,1101,272,1139,342,1715,107,70,1677
,VENEZUELA,793,1,499,1,795,277,2,519
,OTHER LAT. AM. & CAR.,53651,583,38186,907,55141,11908,1251,44488
,Total,132384,14557,106945,120923,267864,27492,15006,255391
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,77120,12567,86050,30134,119821,5235,8804,123392
,INDIA,18660,2363,18051,48275,69298,3031,3548,69811
,INDONESIA,6795,1908,7467,5318,14021,1512,835,13347
,"KOREA, SOUTH",52996,3602,53724,49821,106419,1470,7805,112754
,KUWAIT,10454,1,10101,204,10659,26,122,10755
,MALAYSIA,4418,1584,4910,11642,17644,963,1379,18064
,PAKISTAN,130,30,148,840,1000,123,4,880
,PHILIPPINES,2712,941,3493,5442,9095,310,775,9558
,QATAR,7818,0,4976,23,7841,44,739,8536
,SAUDI ARABIA,25377,313,18933,1481,27171,1382,629,26420
,TAIWAN,45592,4012,48166,21588,71192,666,2784,73304
,THAILAND,3702,111,3577,10576,14389,492,299,14193
,UNITED ARAB EMIRATES,17490,2802,15804,3869,24161,1329,1111,23943
,WEST BANK AND GAZA,3,0,3,0,3,0,0,2
,OTHER ASIA AND PACIFIC,9908,2065,9455,3119,15092,3368,802,12527
,Total,283175,32299,284858,192332,507806,19951,29636,517486
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,5,211,215,1147,1363,279,0,1086
,EGYPT,8126,52,7602,1801,9979,430,11,9557
,GHANA,2595,0,2445,0,2595,187,0,2407
,KENYA,306,227,472,714,1247,80,2,1170
,MOROCCO,320,3,297,456,779,21,1,760
,NIGERIA,10337,108,9818,2187,12632,468,88,12252
,SAINT HELENA,1,0,1,0,1,0,0,1
,SOUTH AFRICA,5453,219,4161,7277,12949,676,1325,13598
,SOUTH SUDAN,1,0,1,0,1,0,0,1
,OTHER AFRICA,5238,597,4241,1374,7209,1866,236,5578
,Total,32382,1417,29253,14956,48755,4007,1663,46410
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,8855,26,7175,64,8945,2654,275,6559
,BAHRAIN,1716,2,1230,379,2097,711,0,1385
,BERMUDA,19534,7,15880,1,19542,4120,4684,20103
,CAYMAN ISLANDS,545959,1122,396550,79,547160,79095,19163,487227
,HONG KONG,27545,14529,34112,44623,86697,10740,5683,81639
