,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2021
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,232,677,909,13541,68,,1942,8275,862,1253,0,228,,1253
,CANADA,7426,30792,38218,47199,22627,,7875,21333,2645,43776,0,11447,,43776
,FRANCE,3532,19021,22553,105632,54051,,7192,57326,7967,131359,6,58824,,131359
,GERMANY,24225,113557,137782,127678,-28845,,14660,51098,8884,28740,0,12571,,28740
,ITALY,1642,10392,12034,57365,-6528,,1384,39711,8310,4568,0,1118,,4568
,JAPAN,5563,69713,75276,107764,78218,,22113,121029,16939,129810,135,75860,,129810
,LUXEMBOURG,71780,47149,118929,90717,4606,,2399,11655,336,11014,11,2446,,11014
,NETHERLANDS,37263,11855,49118,72147,14031,,4050,19229,1863,1433,0,388,,1433
,SWEDEN,25,524,549,18386,429,,853,11909,478,4195,0,873,,4195
,SWITZERLAND,12605,3079,15684,44595,11399,,16,8777,545,4460,0,1711,,4460
,UNITED KINGDOM,1151282,264052,1415334,315787,8516,,17616,78995,15783,68237,6,50506,,68237
,Total,1315575,570811,1886386,1000811,158572,,80100,429337,64612,428845,158,215972,,428845
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,5116,58474,63590,87736,1234,,10712,31434,1175,11352,1,7620,,11352
,AUSTRIA,105,287,392,8843,-362,,1750,5183,1169,1121,0,356,,1121
,CYPRUS,0,0,0,4691,0,,0,939,79,275,0,49,,275
,DENMARK,5,322,327,8232,100,,0,5123,108,5684,0,1493,,5684
,FINLAND,0,107,107,6775,-15,,1518,5611,506,711,0,7,,711
,GREECE,27,1135,1162,5245,-827,,0,1444,244,864,0,275,,864
,IRELAND,13041,17138,30179,100849,45237,,8373,17949,618,18988,0,3744,,18988
,ISRAEL,1261,2042,3303,9405,-805,,590,5386,161,577,0,571,,577
,NEW ZEALAND,21,967,988,4232,768,,457,1404,166,473,1,344,,473
,NORWAY,0,287,287,9199,-228,,78,2864,344,7868,0,597,,7868
,PORTUGAL,4,224,228,4745,-213,,0,2579,429,249,0,4,,249
,SLOVAKIA,150,436,586,719,-167,,0,95,43,764,0,66,,764
,SPAIN,483,2152,2635,32196,-731,,1307,17509,3726,839,0,238,,839
,OTHER NON G-10 DEV.,1,1,2,8075,1,,0,315,1,5331,0,3239,,5331
,Total,20214,83572,103786,290942,43992,,24785,97835,8769,55096,2,18603,,55096
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,346,338,684,688,46,,40,17,2,0,0,0,,0
,CZECH REPUBLIC,1295,1774,3069,3812,671,,650,557,87,4927,0,2305,,4927
,HUNGARY,702,1219,1921,3538,-96,,885,504,132,57,0,57,,57
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,3136,8750,11886,13175,2264,,2632,1810,166,201,0,125,,201
,ROMANIA,528,1576,2104,2283,123,,1260,447,79,26,0,26,,26
,RUSSIA,3231,5681,8912,15892,-1155,,1451,4302,773,1749,0,1733,,1749
,TURKEY,801,825,1626,3808,457,,232,2342,237,1887,0,1886,,1887
,OTHER E. EUROPE,289,582,871,7592,-149,,236,1648,247,1036,0,6,,1036
,Total,10328,20745,31073,50788,2161,,7386,11627,1723,9883,0,6138,,9883
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,548,0,,0,0,0,500,0,117,,500
,ARGENTINA,563,2154,2717,2306,955,,67,1021,54,1084,0,1084,,1084
,BRAZIL,164,17545,17709,20975,-3586,,4602,36358,1826,10284,0,10284,,10284
,CHILE,5,435,440,1406,1551,,0,1262,260,65,0,6,,65
,COLOMBIA,16,2197,2213,2279,398,,1193,1148,77,345,0,331,,345
,COSTA RICA,278,484,762,814,317,,236,178,1,0,0,0,,0
,DOMINICAN REPUBLIC,114,215,329,775,60,,180,174,52,0,0,0,,0
,ECUADOR,574,0,574,524,70,,43,121,8,0,0,0,,0
,EL SALVADOR,195,0,195,201,110,,136,47,33,54,0,54,,54
,FRENCH GUIANA,0,0,0,0,0,,0,0,0,0,0,0,,0
,GUATEMALA,115,258,373,372,95,,286,52,6,0,0,0,,0
,HONDURAS,35,157,192,183,44,,102,66,2,0,0,0,,0
,MEXICO,6897,60646,67543,71933,13395,,19047,13629,1333,3549,0,2720,,3549
,MONTSERRAT,0,0,0,0,0,,0,0,0,0,0,0,,0
,PERU,623,1204,1827,1977,210,,873,467,107,114,0,60,,114
,URUGUAY,2236,174,2410,583,4034,,0,664,94,0,0,0,,0
,VENEZUELA,1,1,2,59,5,,0,11,0,0,0,0,,0
,OTHER LAT. AM. & CAR.,567,686,1253,40867,790,,346,5900,99,3389,0,1087,,3389
,Total,12383,86156,98539,145802,18448,,27111,61098,3952,19384,0,15743,,19384
,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,
,CHINA-MAINLAND,6783,26805,33588,64401,5554,,6795,65962,924,4115,0,552,,4115
,INDIA,3098,34024,37122,36141,9911,,11561,19753,1222,5694,0,5694,,5694
,INDONESIA,1794,3879,5673,8182,1430,,2067,4252,264,392,0,327,,392
,"KOREA, SOUTH",5190,30076,35266,46669,10208,,11936,26887,88,25795,0,7418,,25795
,KUWAIT,20,168,188,5294,71,,92,469,11,8556,0,1085,,8556
,MALAYSIA,3508,7256,10764,13436,1360,,1820,2839,105,2086,0,1793,,2086
,PAKISTAN,72,758,830,808,47,,420,178,10,42,0,42,,42
,PHILIPPINES,3087,4020,7107,9066,1513,,1083,903,40,1627,0,1613,,1627
,QATAR,26,37,63,3669,-39,,0,1017,51,1565,0,378,,1565
,SAUDI ARABIA,345,572,917,24034,-223,,288,4388,193,9770,0,6,,9770
,TAIWAN,11783,13462,25245,45217,4719,,1223,26028,84,16245,1,2123,,16245
,THAILAND,1551,6995,8546,13314,868,,3211,2481,44,2043,0,1677,,2043
,UNITED ARAB EMIRATES,10260,3494,13754,16576,1641,,1732,1144,92,8841,0,3050,,8841
,WEST BANK AND GAZA,0,0,0,110,0,,0,0,0,0,0,0,,0
,OTHER ASIA AND PACIFIC,4986,2715,7701,17233,-1616,,1046,2521,77,172,0,8,,172
,Total,52503,134261,186764,304150,35444,,43274,158822,3205,86943,1,25766,,86943
,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,
,ALGERIA,172,931,1103,974,263,,421,42,0,0,0,0,,0
,EGYPT,252,1283,1535,1339,339,,951,6325,83,1414,0,283,,1414
,GHANA,0,0,0,368,0,,0,614,56,1100,0,0,,1100
,KENYA,355,481,836,1039,119,,426,106,27,0,0,0,,0
,MOROCCO,244,501,745,665,-283,,286,103,24,55,0,55,,55
,NIGERIA,349,1549,1898,6267,405,,490,2951,27,7233,20,199,,7233
,SAINT HELENA,0,0,0,0,0,,0,1,0,0,0,0,,0
,SOUTH AFRICA,703,4403,5106,13789,-2638,,1900,5296,533,612,0,472,,612
,SOUTH SUDAN,0,0,0,2,0,,0,0,0,0,0,0,,0
,OTHER AFRICA,1150,1493,2643,8017,20,,507,972,72,102,0,14,,102
,Total,3225,10641,13866,32460,-1775,,4981,16410,822,10516,20,1023,,10516
,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,
,BAHAMAS,1689,121,1810,6334,122,,54,56,6,2632,0,335,,2632
,BAHRAIN,1132,280,1412,1116,-1031,,77,189,29,540,0,409,,540
,BERMUDA,751,0,751,12381,1574,,132,7367,443,907,0,216,,907
,CAYMAN ISLANDS,8880,50,8930,243369,-2440,,82183,44707,2139,157927,41,38071,,157927
,HONG KONG,76969,37485,114454,83303,-16377,,9342,15238,74,5616,0,455,,5616
,LEBANON,165,66,231,1304,-74,,0,52,3,0,0,0,,0
,MAURITIUS,146,60,206,1516,-1033,,0,401,12,251,0,53,,251
,PANAMA,995,23,1018,1969,-326,,439,930,73,60,0,0,,60
,SINGAPORE,71960,24918,96878,76261,-2949,,12313,6251,341,27168,0,10279,,27168
,OTHER BANKING CENTERS,34702,3359,38061,20029,-29452,,566,4586,151,2330,0,280,,2330
,Total,197389,66362,263751,447582,-51986,,105106,79777,3271,197431,41,50098,,197431
,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,
,AFRICAN,0,0,0,114,0,,146,226,12,0,0,0,,0
,ASIAN,0,0,0,195,0,,1915,638,49,0,0,0,,0
,CARIBBEAN,0,0,0,0,0,,0,0,0,0,0,0,,0
,EUROPEAN,0,0,0,6085,0,,9197,8332,1801,908,6,0,,908
,INTERNATIONAL,0,0,0,2626,0,,4807,2136,249,2438,0,1391,,2438
,LATIN AMERICAN,0,0,0,46,0,,2625,510,20,0,0,0,,0
,MIDDLE EASTERN,0,0,0,313,0,,0,4,0,86,0,0,,86
,Total,0,0,0,9379,0,,18690,11846,2131,3432,6,1391,,3432
,,,,,,,,,,,,,,,
,UNITED STATES,0,0,0,130596,-205074,,2373421,930938,78118,706797,46,586889,,706797
,,,,,,,,,,,,,,,
,Grand Total,1611617,972548,2584165,2412510,-218,,2684854,1797690,166603,1518327,274,921623,,1518327
