,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2021
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,4746,4,414,5164,4444,3,8357,917,246,9520,8258,0,4130,184,91,4405,,4117,110
,CANADA,19977,7339,2748,30064,18352,1175,6520,14562,187,21269,6347,21,39142,11663,1657,52462,,39376,721
,FRANCE,16884,2171,7186,26241,16002,74,33787,36636,3894,74317,32008,0,127588,10577,3809,141974,,128426,1131
,GERMANY,24458,6008,5109,35575,24242,247,36139,192657,6839,235635,27511,0,18716,21590,4897,45203,,25164,1289
,ITALY,8897,140,1525,10562,8564,41,26961,696,13749,41406,26802,0,6650,1894,1212,9756,,6314,676
,JAPAN,54128,29477,5268,88873,44921,24522,38691,133526,2848,175065,38488,0,8320,96107,6827,111254,,7820,767
,LUXEMBOURG,1197,409,61,1667,2186,130,518,8132,19,8669,521,1,46788,5029,8400,60217,,49553,2140
,NETHERLANDS,5610,33,4777,10420,3191,0,6278,8939,754,15971,5843,20,12850,57,3241,16148,,13913,11
,SWEDEN,7956,5,317,8278,10647,0,1393,916,81,2390,1216,0,4227,3,908,5138,,4369,0
,SWITZERLAND,6498,168,1207,7873,5298,78,796,25233,106,26135,690,11,7065,3785,1762,12612,,6117,4216
,UNITED KINGDOM,7471,18468,14469,40408,5089,18382,4564,166293,15276,186133,4262,7779,52466,135197,20152,207815,,50777,35538
,Total,157822,64222,43081,265125,142936,44652,164004,588507,43999,796510,151946,7832,327942,286086,52956,666984,,335946,46599
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,6065,7896,1939,15900,5903,113,3788,48680,247,52715,3788,1,9939,23540,2501,35980,,10178,814
,AUSTRIA,1356,0,171,1527,1357,0,5630,0,154,5784,5497,0,428,1,79,508,,494,0
,CYPRUS,30,0,11,41,30,0,81,0,0,81,81,0,2071,0,82,2153,,1832,0
,DENMARK,6100,2,494,6596,3334,0,994,330,265,1589,494,0,3350,2,1318,4670,,3409,0
,FINLAND,1899,21,362,2282,1653,0,3710,9,94,3813,3585,0,1185,1,189,1375,,1211,0
,GREECE,1012,0,703,1715,1015,0,769,5,1094,1868,769,0,90,53,2,145,,144,0
,IRELAND,1098,466,78,1642,1188,244,1779,5255,0,7034,1803,1,63763,2831,6693,73287,,66991,708
,ISRAEL,414,77,111,602,441,7,2986,2120,55,5161,3026,9,565,35,257,857,,702,0
,NEW ZEALAND,640,156,89,885,566,0,951,1132,49,2132,952,0,763,68,400,1231,,908,0
,NORWAY,2020,1,83,2104,1571,0,8363,62,41,8466,8074,1,877,0,23,900,,946,0
,PORTUGAL,719,0,20,739,663,0,1167,2,245,1414,1166,0,196,0,14,210,,197,0
,SLOVAKIA,0,1,0,1,0,0,861,58,4,923,861,0,0,11,0,11,,0,0
,SPAIN,3356,77,1953,5386,3337,0,10156,513,412,11081,9839,0,7731,97,341,8169,,7744,40
,OTHER NON G-10 DEV.,158,0,69,227,159,0,19687,0,40,19727,19687,0,363,0,64,427,,660,0
,Total,24867,8697,6083,39647,21217,364,60922,58166,2700,121788,59622,12,91321,26639,11963,129923,,95416,1562
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,11,3,3,17,11,0,10,631,0,641,10,337,0,0,14,14,,0,0
,CZECH REPUBLIC,2034,38,30,2102,2035,1,307,2785,75,3167,289,0,1058,194,2,1254,,1058,170
,HUNGARY,184,78,11,273,200,5,303,1083,20,1406,289,0,275,19,60,354,,275,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,593,441,67,1101,593,140,292,7140,0,7432,285,405,768,520,408,1696,,767,14
,ROMANIA,54,14,13,81,55,3,258,1732,1,1991,257,63,68,50,1,119,,68,10
,RUSSIA,1162,409,123,1694,1200,57,1035,2442,2,3479,1015,0,165,2135,20,2320,,167,644
,TURKEY,4857,119,543,5519,4767,2,889,1194,2,2085,795,156,678,84,1,763,,768,80
,OTHER E. EUROPE,257,4,8,269,277,2,2241,690,49,2980,2237,0,178,0,1,179,,26,0
,Total,9152,1106,798,11056,9138,210,5335,17697,149,23181,5177,961,3190,3002,507,6699,,3129,918
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,0,0,0,0,0,0,0,0,529,0,42,571,,527,0
,ARGENTINA,142,65,0,207,139,35,234,3238,0,3472,226,576,67,27,0,94,,63,0
,BRAZIL,6735,9871,243,16849,1976,24,12752,19267,26,32045,12612,1286,2900,3172,1117,7189,,2427,0
,CHILE,2443,16,244,2703,2456,0,364,561,4,929,361,0,876,2188,113,3177,,887,0
,COLOMBIA,974,98,14,1086,973,8,593,1879,40,2512,590,13,255,483,174,912,,446,0
,COSTA RICA,112,142,0,254,111,68,36,732,0,768,36,145,50,2,0,52,,55,0
,DOMINICAN REPUBLIC,55,4,0,59,55,3,172,311,3,486,190,29,8,0,0,8,,53,0
,ECUADOR,153,53,0,206,153,55,43,248,0,291,37,248,36,8,0,44,,73,8
,EL SALVADOR,82,18,0,100,82,18,46,210,0,256,46,210,4,0,0,4,,7,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,447,7,0,454,447,4,13,442,12,467,13,65,4,0,7,11,,5,0
,HONDURAS,512,47,0,559,512,0,42,164,0,206,42,33,18,0,0,18,,18,0
,MEXICO,1471,6182,402,8055,1533,2458,3186,34242,626,38054,3319,464,2075,9749,436,12260,,2713,383
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,818,20,43,881,817,13,324,1744,4,2072,322,207,111,3,132,246,,110,0
,URUGUAY,233,6,1,240,233,2,316,503,88,907,316,168,269,10,2,281,,243,10
