,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2021
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,2618,57,2675,2,51,53,192,2920,2501,81,2582,0,,3,3
,CANADA,15320,560,15880,18022,830,18852,1866,36598,12197,328,12525,6547,,0,6547
,FRANCE,22031,292,22323,10632,1113,11745,2103,36171,19652,359,20011,971,,10,981
,GERMANY,29593,135,29728,3690,317,4007,7064,40799,24561,537,25098,7,,95,102
,ITALY,8569,231,8800,2268,848,3116,402,12318,7750,216,7966,213,,42,255
,JAPAN,22776,218,22994,41359,1,41360,874,65228,19149,122,19271,1195,,0,1195
,LUXEMBOURG,10995,20,11015,1819,0,1819,1142,13976,19483,8,19491,381,,0,381
,NETHERLANDS,20093,113,20206,101,106,207,1455,21868,23999,154,24153,56,,0,56
,SWEDEN,13389,61,13450,7,0,7,112,13569,13309,64,13373,1,,0,1
,SWITZERLAND,14543,551,15094,559,2233,2792,890,18776,13023,305,13328,557,,1509,2066
,UNITED KINGDOM,16567,4480,21047,57514,3838,61352,6890,89289,14671,4059,18730,15988,,1012,17000
,Total,176494,6718,183212,135973,9337,145310,22990,351512,170295,6233,176528,25916,,2671,28587
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,4560,200,4760,10515,8950,19465,916,25141,3741,198,3939,1112,,0,1112
,AUSTRIA,1467,19,1486,1,0,1,58,1545,1995,42,2037,0,,0,0
,CYPRUS,846,63,909,0,0,0,9,918,797,49,846,0,,0,0
,DENMARK,3803,69,3872,4,0,4,288,4164,3672,8,3680,1,,0,1
,FINLAND,3975,37,4012,2,0,2,109,4123,3700,1,3701,0,,0,0
,GREECE,709,59,768,223,0,223,25,1016,654,60,714,0,,0,0
,IRELAND,14051,129,14180,2115,1,2116,444,16740,13367,124,13491,610,,0,610
