,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2021
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,257,649,906,18713,294,,1596,8111,1387,1796,0,774,,1796
,CANADA,7903,32281,40184,48782,19713,,8315,24415,4272,54244,0,17895,,54244
,FRANCE,2889,21585,24474,109634,70129,,5237,50597,7573,133750,1,68019,,133750
,GERMANY,26951,112890,139841,132363,239176,,10671,48496,10417,27516,0,24407,,27516
,ITALY,1577,13654,15231,56776,-7481,,1347,40210,8192,5440,0,1299,,5440
,JAPAN,6210,65085,71295,100080,230660,,21289,98657,21172,140476,32,91455,,140476
,LUXEMBOURG,75817,47051,122868,95329,-87469,,2999,13106,551,13450,9,1898,,13450
,NETHERLANDS,31779,12642,44421,70975,-35516,,3777,21751,2356,2490,0,215,,2490
,SWEDEN,21,662,683,15474,281,,481,8636,493,3173,0,593,,3173
,SWITZERLAND,13586,5336,18922,45755,24770,,16,10511,598,2910,0,739,,2910
,UNITED KINGDOM,1183338,283498,1466836,325609,162748,,17843,76077,21044,78423,6,54575,,78423
,Total,1350328,595333,1945661,1019490,617305,,73571,400567,78055,463668,48,261869,,463668
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,5251,59855,65106,95047,49209,,10222,32117,1190,11223,0,7822,,11223
,AUSTRIA,90,331,421,7673,-393,,1784,5301,1293,435,0,208,,435
,CYPRUS,0,0,0,4727,0,,0,1162,55,202,0,39,,202
,DENMARK,9,324,333,9788,205,,0,4819,213,2803,0,676,,2803
,FINLAND,0,183,183,7415,-94,,1348,4184,507,366,0,1,,366
,GREECE,38,1245,1283,5209,-888,,0,1999,185,1034,0,388,,1034
,IRELAND,12427,18790,31217,105576,38206,,8547,18345,1485,24640,0,3456,,24640
,ISRAEL,1531,1970,3501,6409,-810,,600,4694,238,590,0,172,,590
,NEW ZEALAND,58,985,1043,3844,980,,455,1184,136,283,0,155,,283
,NORWAY,0,277,277,6318,-161,,78,3145,256,9242,0,1932,,9242
,PORTUGAL,3,253,256,3076,-229,,0,3079,1158,307,0,16,,307
,SLOVAKIA,172,387,559,645,-88,,0,186,4,952,0,138,,952
,SPAIN,370,2064,2434,33043,-882,,1341,23842,3888,1133,0,677,,1133
,OTHER NON G-10 DEV.,1,1,2,9518,0,,0,324,3,6579,0,2536,,6579
,Total,19950,86665,106615,298288,85055,,24375,104381,10611,59789,0,18216,,59789
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,271,302,573,693,25,,41,17,2,0,0,0,,0
,CZECH REPUBLIC,1052,1624,2676,3348,1154,,608,730,124,3723,0,2116,,3723
,HUNGARY,666,1172,1838,3976,145,,766,531,228,136,0,102,,136
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,3188,9225,12413,14572,2252,,2979,2426,568,538,0,217,,538
,ROMANIA,489,1647,2136,2288,136,,1075,486,103,9,0,0,,9
,RUSSIA,3048,5986,9034,16930,54,,1610,5332,582,2630,0,2345,,2630
,TURKEY,816,767,1583,3521,627,,346,3202,292,1878,0,1876,,1878
,OTHER E. EUROPE,298,624,922,7670,-183,,235,1808,190,1062,0,42,,1062
,Total,9828,21347,31175,52998,4210,,7660,14532,2089,9976,0,6698,,9976
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,420,0,,0,0,0,671,0,0,,671
,ARGENTINA,528,2058,2586,2177,1652,,129,1056,39,871,0,871,,871
,BRAZIL,177,20782,20959,23891,19038,,5172,37848,2082,11620,0,8201,,11620
,CHILE,10,198,208,1218,2711,,0,1299,255,69,0,10,,69
,COLOMBIA,20,2804,2824,2987,316,,1334,1202,120,601,0,203,,601
,COSTA RICA,324,571,895,949,329,,251,141,17,0,0,0,,0
,DOMINICAN REPUBLIC,84,218,302,467,64,,176,226,119,0,0,0,,0
,ECUADOR,499,0,499,491,99,,54,103,23,0,0,0,,0
,EL SALVADOR,195,0,195,194,85,,118,30,13,0,0,0,,0
,FRENCH GUIANA,0,0,0,0,0,,0,0,0,0,0,0,,0
