,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2021
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,3178,158,3336,3,54,57,256,3649,2962,181,3143,1,,3,4
,CANADA,16875,794,17669,16117,743,16860,2859,37388,13333,606,13939,5203,,0,5203
,FRANCE,22252,168,22420,11590,1053,12643,2028,37091,19631,244,19875,708,,10,718
,GERMANY,28200,227,28427,3142,313,3455,5861,37743,22749,836,23585,18,,88,106
,ITALY,7349,174,7523,2646,915,3561,549,11633,6649,163,6812,215,,42,257
,JAPAN,19490,168,19658,25179,1,25180,833,45671,15990,112,16102,1169,,0,1169
,LUXEMBOURG,14382,9,14391,2361,0,2361,1258,18010,24002,7,24009,1007,,0,1007
,NETHERLANDS,22170,119,22289,187,108,295,1576,24160,26093,152,26245,57,,0,57
,SWEDEN,8459,68,8527,10,0,10,218,8755,8683,72,8755,0,,0,0
,SWITZERLAND,14264,395,14659,469,2210,2679,1179,18517,14688,330,15018,603,,1511,2114
,UNITED KINGDOM,19229,4671,23900,55237,4039,59276,7866,91042,16966,4268,21234,21288,,1154,22442
,Total,175848,6951,182799,116941,9436,126377,24483,333659,171746,6971,178717,30269,,2808,33077
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,4227,233,4460,12281,8732,21013,1004,26477,3701,242,3943,1531,,0,1531
,AUSTRIA,1565,19,1584,1,0,1,157,1742,1962,48,2010,0,,0,0
,CYPRUS,878,95,973,0,0,0,6,979,770,77,847,0,,0,0
,DENMARK,4003,62,4065,1,0,1,377,4443,3852,6,3858,0,,0,0
,FINLAND,3272,36,3308,2,0,2,105,3415,3000,2,3002,0,,0,0
,GREECE,712,80,792,271,0,271,36,1099,775,82,857,0,,0,0
,IRELAND,12397,88,12485,1825,7,1832,946,15263,12938,95,13033,623,,0,623
,ISRAEL,4410,118,4528,193,0,193,331,5052,4172,185,4357,180,,0,180
,NEW ZEALAND,570,21,591,172,0,172,57,820,565,21,586,8,,0,8
,NORWAY,3799,14,3813,0,0,0,247,4060,3840,20,3860,0,,0,0
,PORTUGAL,1289,45,1334,7,0,7,303,1644,1325,46,1371,0,,0,0
,SLOVAKIA,167,0,167,104,0,104,129,400,192,0,192,2,,0,2
,SPAIN,16184,452,16636,505,42,547,1341,18524,14808,541,15349,122,,0,122
,OTHER NON G-10 DEV.,367,165,532,1,0,1,29,562,373,178,551,0,,0,0
,Total,53840,1428,55268,15363,8781,24144,5068,84480,52273,1543,53816,2466,,0,2466
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,96,4,100,57,0,57,69,226,119,4,123,43,,0,43
,CZECH REPUBLIC,137,8,145,520,0,520,132,797,198,8,206,356,,0,356
,HUNGARY,196,4,200,211,0,211,62,473,236,4,240,146,,0,146
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,1058,85,1143,2118,1770,3888,486,5517,1017,85,1102,531,,13,544
,ROMANIA,94,4,98,281,0,281,4,383,162,4,166,174,,0,174
,RUSSIA,4362,78,4440,1415,680,2095,92,6627,4175,78,4253,438,,2,440
,TURKEY,1914,38,1952,643,0,643,33,2628,1814,39,1853,371,,0,371
,OTHER E. EUROPE,381,131,512,65,1,66,57,635,398,40,438,40,,0,40
,Total,8238,352,8590,5310,2451,7761,935,17286,8119,262,8381,2099,,15,2114
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,37,1,38,0,0,0,0,38,39,1,40,0,,0,0
,ARGENTINA,1234,87,1321,605,0,605,10,1936,1592,238,1830,32,,0,32
,BRAZIL,19529,1037,20566,6595,41,6636,1994,29196,19913,968,20881,1740,,0,1740
,CHILE,1386,197,1583,25,0,25,330,1938,1372,165,1537,2,,0,2
,COLOMBIA,1028,116,1144,395,0,395,137,1676,1173,106,1279,5,,0,5
,COSTA RICA,50,14,64,28,0,28,23,115,147,24,171,4,,0,4
,DOMINICAN REPUBLIC,269,57,326,55,0,55,12,393,424,92,516,1,,0,1
,ECUADOR,141,30,171,197,0,197,1,369,362,97,459,238,,0,238
,EL SALVADOR,139,28,167,10,0,10,0,177,170,51,221,10,,0,10
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,342,29,371,2,0,2,16,389,365,67,432,1,,0,1
,HONDURAS,40,14,54,12,0,12,1,67,66,19,85,4,,0,4
,MEXICO,13766,2912,16678,12988,12789,25777,909,43364,13679,3206,16885,4602,,8,4610
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,843,192,1035,321,4,325,109,1469,522,286,808,173,,0,173
,URUGUAY,178,53,231,75,0,75,12,318,303,55,358,50,,0,50
,VENEZUELA,10,473,483,1,0,1,1,485,20,731,751,0,,0,0
,OTHER LAT. AM. & CAR.,9028,553,9581,498,0,498,446,10525,10560,1801,12361,430,,0,430
,Total,48020,5793,53813,21807,12834,34641,4001,92455,50707,7907,58614,7292,,8,7300
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,57452,770,58222,9082,3404,12486,323,71031,53406,849,54255,1310,,7,1317
,INDIA,14433,336,14769,10522,3562,14084,267,29120,12414,354,12768,1801,,0,1801
,INDONESIA,1310,1204,2514,1368,587,1955,83,4552,1720,1097,2817,849,,0,849
,"KOREA, SOUTH",21936,37,21973,4713,17362,22075,256,44304,17953,40,17993,1698,,62,1760
,KUWAIT,650,88,738,23,0,23,1,762,570,90,660,1,,0,1
,MALAYSIA,1034,243,1277,1219,3299,4518,358,6153,1053,229,1282,1196,,0,1196
,PAKISTAN,24,12,36,122,0,122,1,159,24,12,36,20,,0,20
,PHILIPPINES,796,284,1080,649,1249,1898,57,3035,463,373,836,269,,0,269
,QATAR,937,113,1050,0,0,0,6,1056,956,111,1067,0,,0,0
,SAUDI ARABIA,4106,209,4315,327,0,327,125,4767,4770,205,4975,234,,0,234
,TAIWAN,25694,336,26030,5495,8263,13758,122,39910,24238,427,24665,3313,,24,3337
