,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2021
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,21498,9932,423,9509,1044,32474,,6164,193,15739,17020,5230,,6508,225
,CANADA,152462,83049,9912,73137,9527,245038,,98686,15441,25408,28079,9984,,12618,488
,FRANCE,243943,66231,2491,63740,16969,327143,,300900,5055,239658,252418,74141,,86690,564
,GERMANY,149398,230742,2309,228433,22777,402917,,66360,4106,187292,196587,59507,,68790,503
,ITALY,51120,9057,795,8262,16355,76532,,7642,664,169448,176823,38899,,46270,567
,JAPAN,142647,337724,36523,301201,10608,490979,,71291,6466,81522,82859,33183,,34504,314
,LUXEMBOURG,90996,20201,2653,17548,10297,121494,,33549,3782,27944,30707,10812,,13571,966
,NETHERLANDS,58572,14400,128,14272,9849,82821,,39007,4620,133712,142256,41201,,49736,1088
,SWEDEN,27745,1236,0,1236,975,29956,,18830,406,28195,29889,9598,,11288,39
,SWITZERLAND,88096,33148,6352,26796,4480,125724,,15450,5503,67122,69295,22173,,24341,918
,UNITED KINGDOM,141686,435715,87811,347904,64567,641968,,157235,12425,305235,352151,101370,,111005,1425
,Total,1168163,1241435,149397,1092038,167448,2577046,,815114,58661,1281275,1378084,406098,,465321,7097
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,31473,107306,2879,104427,7055,145834,,33260,1970,25671,25480,13066,,12875,88
,AUSTRIA,11728,87,3,84,949,12764,,1393,51,6670,7419,2342,,3090,47
,CYPRUS,3139,0,0,0,186,3325,,127,142,4,9,0,,5,50
,DENMARK,10023,437,2,435,3071,13531,,4194,109,17127,18318,5441,,6631,85
,FINLAND,16691,85,0,85,916,17692,,2312,364,14742,15780,4832,,5869,33
,GREECE,3879,214,0,214,1432,5525,,88,308,5882,6677,2327,,3123,56
,IRELAND,97949,23278,4294,18984,8475,129702,,37765,4423,10198,10090,4692,,4583,441
,ISRAEL,11852,2724,131,2593,1128,15704,,1862,508,2259,2159,1235,,1135,125
,NEW ZEALAND,3143,1813,13,1800,672,5628,,1198,30,282,307,170,,194,0
,NORWAY,23733,82,5,77,780,24595,,4573,140,11101,11980,3215,,4090,26
,PORTUGAL,3421,10,0,10,943,4374,,805,35,6570,5492,3535,,2458,7
,SLOVAKIA,1194,173,3,170,251,1618,,128,49,95,139,70,,114,2
,SPAIN,41751,1714,198,1516,6153,49618,,17577,1479,69847,72782,22510,,25422,708
,OTHER NON G-10 DEV.,28932,2,0,2,185,29119,,614,56,418,429,218,,229,0
,Total,288908,137925,7528,130397,32196,459029,,105896,9664,170866,177061,63653,,69818,1668
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,144,717,355,362,33,894,,55,126,61,27,61,,26,0
,CZECH REPUBLIC,4019,3606,389,3217,358,7983,,610,311,5,14,2,,11,6
,HUNGARY,1426,1257,174,1083,165,2848,,855,163,428,359,249,,178,127
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,3659,12201,903,11298,1201,17061,,3333,476,414,513,193,,292,6
,ROMANIA,532,1979,254,1725,17,2528,,106,106,310,317,148,,154,1
,RUSSIA,7033,7595,931,6664,213,14841,,2682,877,17408,18350,7108,,8051,109
,TURKEY,9409,2276,722,1554,507,12192,,958,223,23459,22868,9129,,8537,563
,OTHER E. EUROPE,3580,827,1,826,179,4586,,230,196,1944,2304,1093,,1452,0
,Total,29802,30458,3729,26729,2673,62933,,8829,2478,44029,44752,17983,,18701,812
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,841,0,0,0,53,894,,1413,8,0,0,0,,0,27
,ARGENTINA,2136,4984,764,4220,18,7138,,459,80,1971,2064,1007,,1097,128
,BRAZIL,42534,43928,2600,41328,2620,89082,,6912,1126,26783,30459,10479,,14151,4317
,CHILE,8952,3024,2,3022,1002,12978,,592,154,5549,6399,2220,,3069,1381
,COLOMBIA,5678,3063,7,3056,174,8915,,438,461,12335,12947,4299,,4912,396
,COSTA RICA,379,853,247,606,16,1248,,50,101,2,2,2,,2,79
,DOMINICAN REPUBLIC,509,376,130,246,11,896,,47,105,13,10,12,,9,106
,ECUADOR,722,568,546,22,2,1292,,72,161,33,8,32,,8,135
,EL SALVADOR,441,183,183,0,0,624,,66,75,2,2,2,,1,169
,FRENCH GUIANA,0,0,0,0,0,0,,1,0,0,0,0,,0,0
,GUATEMALA,1281,448,66,382,21,1750,,63,276,21,21,1,,1,384
,HONDURAS,679,202,59,143,1,882,,29,105,0,19,0,,19,148
,MEXICO,26814,76020,5764,70256,2508,105342,,24409,1800,33621,33779,15332,,15522,1018
,MONTSERRAT,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,PERU,3632,1756,765,991,243,5631,,330,290,5319,5767,2277,,2727,581
,URUGUAY,1141,843,321,522,49,2033,,67,166,37,31,37,,31,197
,VENEZUELA,952,0,0,0,2,954,,582,11,89,92,87,,91,6
,OTHER LAT. AM. & CAR.,51943,1692,952,740,1745,55380,,2549,1792,640,1054,271,,681,178
,Total,148634,137940,12406,125534,8465,295039,,38079,6711,86415,92654,36058,,42321,9250
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,95605,40836,4133,36703,2990,139431,,13301,2715,31749,36027,14913,,19191,5330
,INDIA,23827,53011,1965,51046,935,77773,,11357,4143,3595,4057,1934,,2399,4496
,INDONESIA,7860,7819,3278,4541,185,15864,,2539,336,15075,15681,6261,,6866,813
,"KOREA, SOUTH",63846,52243,4224,48019,4777,120866,,14506,1863,29885,31771,12790,,14676,3867
,KUWAIT,14445,376,0,376,34,14855,,512,181,44,54,44,,54,466
,MALAYSIA,5789,12981,1480,11501,808,19578,,4785,617,10580,8984,5743,,4147,44
,PAKISTAN,182,954,28,926,6,1142,,27,226,12,6,10,,4,149
,PHILIPPINES,2815,5605,699,4906,108,8528,,4655,364,6670,6763,2791,,2885,205
,QATAR,10321,21,0,21,109,10451,,1821,344,5131,4841,2924,,2636,1337
,SAUDI ARABIA,26130,1422,250,1172,285,27837,,6569,187,8746,9150,3651,,4046,1097
,TAIWAN,49094,27755,4083,23672,782,77631,,15070,324,78,91,57,,70,233
