,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2021
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,3683,68,3751,32,129,161,241,4153,3347,104,3451,4,,3,7
,CANADA,26461,3250,29711,22865,7642,30507,3168,63386,22003,2991,24994,6691,,45,6736
,FRANCE,24905,225,25130,8734,1405,10139,1887,37156,22884,290,23174,611,,10,621
,GERMANY,33171,827,33998,3868,846,4714,6027,44739,28305,1239,29544,67,,86,153
,ITALY,8515,281,8796,4460,1639,6099,1280,16175,7451,261,7712,262,,37,299
,JAPAN,24569,421,24990,45324,2287,47611,1624,74225,20133,337,20470,2204,,0,2204
,LUXEMBOURG,16405,94,16499,2865,1,2866,1290,20655,25210,21,25231,513,,1,514
,NETHERLANDS,26007,123,26130,197,242,439,1896,28465,29806,163,29969,45,,0,45
,SWEDEN,8658,407,9065,33,110,143,182,9390,8604,403,9007,0,,0,0
,SWITZERLAND,17227,601,17828,507,1669,2176,1745,21749,16549,593,17142,534,,1202,1736
,UNITED KINGDOM,29457,5723,35180,56024,11149,67173,9264,111617,27184,5349,32533,15634,,974,16608
,Total,219058,12020,231078,144909,27119,172028,28604,431710,211476,11751,223227,26565,,2358,28923
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,6597,321,6918,15322,9749,25071,1110,33099,5993,330,6323,2278,,0,2278
,AUSTRIA,1574,24,1598,40,38,78,592,2268,1960,69,2029,0,,0,0
,CYPRUS,921,111,1032,0,0,0,8,1040,982,83,1065,0,,0,0
,DENMARK,4035,79,4114,7,0,7,682,4803,3902,18,3920,0,,0,0
,FINLAND,4204,43,4247,9,50,59,127,4433,4030,10,4040,0,,0,0
,GREECE,703,75,778,141,0,141,47,966,696,75,771,0,,0,0
,IRELAND,16581,118,16699,3312,3,3315,1216,21230,16817,126,16943,1838,,0,1838
,ISRAEL,5032,372,5404,158,0,158,374,5936,4437,440,4877,123,,0,123
,NEW ZEALAND,1198,35,1233,350,90,440,57,1730,1253,36,1289,13,,0,13
,NORWAY,3424,178,3602,12,0,12,430,4044,3326,255,3581,0,,0,0
,PORTUGAL,1029,79,1108,1,0,1,792,1901,1215,94,1309,0,,0,0
,SLOVAKIA,162,1,163,104,0,104,250,517,197,1,198,3,,0,3
,SPAIN,14133,846,14979,699,221,920,3256,19155,13101,853,13954,132,,4,136
,OTHER NON G-10 DEV.,386,266,652,2,0,2,22,676,409,234,643,0,,0,0
,Total,59979,2548,62527,20157,10151,30308,8963,101798,58318,2624,60942,4387,,4,4391
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,86,5,91,29,0,29,24,144,101,5,106,38,,0,38
,CZECH REPUBLIC,160,33,193,562,0,562,240,995,237,26,263,430,,0,430
,HUNGARY,408,11,419,270,0,270,96,785,406,11,417,227,,0,227
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,1040,34,1074,1990,1681,3671,734,5479,1054,34,1088,513,,1,514
,ROMANIA,91,8,99,260,0,260,4,363,163,8,171,162,,0,162
,RUSSIA,4113,94,4207,1683,682,2365,89,6661,3906,96,4002,455,,2,457
,TURKEY,2177,110,2287,765,0,765,58,3110,2297,103,2400,358,,0,358
,OTHER E. EUROPE,764,137,901,83,0,83,145,1129,664,47,711,71,,0,71
,Total,8839,432,9271,5642,2363,8005,1390,18666,8828,330,9158,2254,,3,2257
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,54,1,55,0,0,0,1,56,64,1,65,0,,0,0
,ARGENTINA,810,338,1148,1059,158,1217,18,2383,1362,457,1819,226,,14,240
,BRAZIL,17384,1861,19245,6711,54,6765,1661,27671,18098,2053,20151,1527,,0,1527
,CHILE,1984,348,2332,38,0,38,418,2788,2333,256,2589,0,,0,0
,COLOMBIA,3028,309,3337,473,0,473,96,3906,3299,263,3562,0,,0,0
,COSTA RICA,137,37,174,30,0,30,8,212,309,53,362,2,,0,2
,DOMINICAN REPUBLIC,257,148,405,47,0,47,11,463,531,178,709,0,,0,0
,ECUADOR,222,177,399,196,0,196,1,596,642,222,864,237,,0,237
,EL SALVADOR,157,43,200,10,0,10,0,210,192,78,270,10,,0,10
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,312,80,392,4,0,4,12,408,427,144,571,1,,0,1
,HONDURAS,47,42,89,7,0,7,1,97,101,66,167,2,,0,2
,MEXICO,15639,4285,19924,12688,13422,26110,838,46872,17135,4970,22105,4137,,79,4216
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,1389,284,1673,301,0,301,68,2042,1190,417,1607,166,,0,166
,URUGUAY,333,87,420,66,0,66,25,511,659,129,788,48,,0,48
,VENEZUELA,26,885,911,0,0,0,1,912,186,1276,1462,0,,0,0
,OTHER LAT. AM. & CAR.,10612,674,11286,570,265,835,550,12671,14317,1783,16100,527,,270,797
,Total,52391,9599,61990,22200,13899,36099,3709,101798,60845,12346,73191,6883,,363,7246
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,56232,3782,60014,8157,3403,11560,272,71846,51543,4119,55662,1093,,8,1101
,INDIA,14314,390,14704,10545,3628,14173,485,29362,13011,421,13432,1664,,0,1664
,INDONESIA,1479,1300,2779,1507,557,2064,118,4961,1892,1205,3097,870,,0,870
,"KOREA, SOUTH",19398,57,19455,5147,16266,21413,422,41290,14905,60,14965,1982,,30,2012
,KUWAIT,804,101,905,30,0,30,1,936,728,103,831,0,,0,0
,MALAYSIA,1006,285,1291,1234,3157,4391,653,6335,1055,274,1329,1162,,0,1162
,PAKISTAN,15,15,30,110,0,110,2,142,15,15,30,21,,0,21
,PHILIPPINES,723,342,1065,700,1092,1792,73,2930,506,436,942,262,,0,262
,QATAR,2797,108,2905,0,0,0,61,2966,2803,105,2908,0,,0,0
,SAUDI ARABIA,4732,244,4976,235,0,235,120,5331,5520,270,5790,167,,0,167
,TAIWAN,22010,648,22658,5285,8467,13752,107,36517,20330,879,21209,2685,,18,2703
,THAILAND,2180,256,2436,826,2630,3456,335,6227,2018,270,2288,121,,0,121
,UNITED ARAB EMIRATES,4373,1348,5721,1641,758,2399,328,8448,4024,1369,5393,1676,,0,1676
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,3896,746,4642,890,211,1101,107,5850,5417,758,6175,498,,0,498
,Total,133959,9622,143581,36307,40169,76476,3084,223141,123767,10284,134051,12201,,56,12257
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,0,1,1,313,0,313,0,314,0,1,1,39,,0,39
,EGYPT,210,38,248,178,0,178,0,426,637,38,675,32,,0,32
,GHANA,0,6,6,0,0,0,0,6,10,6,16,0,,0,0
,KENYA,29,15,44,383,0,383,0,427,101,15,116,244,,0,244
,MOROCCO,227,3,230,86,0,86,10,326,229,4,233,0,,0,0
,NIGERIA,128,31,159,292,0,292,20,471,453,31,484,165,,0,165
,SAINT HELENA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SOUTH AFRICA,1554,29,1583,2498,0,2498,318,4399,903,38,941,69,,0,69
,SOUTH SUDAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER AFRICA,2941,77,3018,636,0,636,152,3806,3485,77,3562,273,,0,273
,Total,5089,200,5289,4386,0,4386,500,10175,5818,210,6028,822,,0,822
,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,
,BAHAMAS,343,296,639,8,0,8,14,661,921,489,1410,4,,0,4
,BAHRAIN,103,56,159,7,154,161,15,335,358,56,414,1,,0,1
,BERMUDA,11502,228,11730,1,0,1,296,12027,9011,257,9268,0,,0,0
,CAYMAN ISLANDS,67991,748,68739,625,0,625,954,70318,58740,848,59588,690,,0,690
,HONG KONG,9718,4392,14110,7879,16016,23895,687,38692,8499,3898,12397,6229,,2824,9053
,LEBANON,12,35,47,29,0,29,0,76,15,38,53,12,,0,12
,MAURITIUS,594,1,595,102,0,102,7,704,809,1,810,87,,0,87
,PANAMA,1859,159,2018,119,0,119,99,2236,3353,524,3877,123,,0,123
,SINGAPORE,4554,1934,6488,5853,13318,19171,1418,27077,3772,2149,5921,5464,,3516,8980
,OTHER BANKING CENTERS,9124,675,9799,128,26,154,576,10529,8211,724,8935,157,,26,183
,Total,105800,8524,114324,14751,29514,44265,4066,162655,93689,8984,102673,12767,,6366,19133
,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,
,AFRICAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,ASIAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,CARIBBEAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,EUROPEAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,LATIN AMERICAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,MIDDLE EASTERN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,Total,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,,,,,,,,,,,,,,,,
,UNITED STATES,75383,8874,84257,3022717,3214924,6237641,126400,6448298,63282,8536,71818,92000,,53218,145218
,,,,,,,,,,,,,,,,
,Grand Total,660498,51819,712317,3271069,3338139,6609208,176716,7498241,626023,55065,681088,157879,,62368,220247
