,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2021
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,1926,8864,411,8453,18,10808,,828,2,10,7,5,,0,47
,CANADA,53486,22228,3245,18983,933,76647,,34964,4803,659,1086,77,,466,37
,FRANCE,30765,1514,30,1484,806,33085,,649,490,73,197,3,,112,238
,GERMANY,47393,20784,120,20664,329,68506,,2162,290,62,107,8,,41,4
,ITALY,2206,1615,1,1614,0,3821,,958,65,15,19,0,,0,20
,JAPAN,24748,17415,5083,12332,123,42286,,8808,140,60,55,60,,54,168
,LUXEMBOURG,14935,6111,220,5891,469,21515,,2880,60,8,12,0,,0,20
,NETHERLANDS,7641,4562,30,4532,167,12370,,2676,144,60,67,9,,5,11
,SWEDEN,5203,166,0,166,0,5369,,1779,71,5,7,0,,0,6
,SWITZERLAND,57031,301,0,301,272,57604,,590,156,19,30,5,,10,11
,UNITED KINGDOM,70597,78730,13151,65579,3002,152329,,51093,1657,132,36188,20,,758,262
,Total,315931,162290,22291,139999,6119,484340,,107387,7878,1103,37775,187,,1446,824
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,7416,8935,67,8868,1010,17361,,6970,193,4,0,4,,0,79
,AUSTRIA,1592,81,0,81,1,1674,,46,2,3,3,0,,0,0
,CYPRUS,51,0,0,0,0,51,,0,0,0,0,0,,0,0
,DENMARK,1236,6,0,6,6,1248,,185,3,5,7,0,,0,0
,FINLAND,2071,58,0,58,0,2129,,19,1,5,7,0,,0,0
,GREECE,23,0,0,0,0,23,,0,0,0,0,0,,0,0
,IRELAND,8561,8850,162,8688,701,18112,,3267,25,103,120,10,,26,46
,ISRAEL,2670,1,0,1,1,2672,,593,90,3,3,0,,0,62
,NEW ZEALAND,473,272,0,272,37,782,,477,0,0,0,0,,0,0
,NORWAY,3040,19,2,17,20,3079,,94,1,5,7,0,,0,0
,PORTUGAL,204,7,0,7,0,211,,12,2,0,0,0,,0,1
,SLOVAKIA,9,0,0,0,0,9,,11,0,0,0,0,,0,0
,SPAIN,3437,503,12,491,288,4228,,206,280,14,37,3,,5,86
,OTHER NON G-10 DEV.,287,0,0,0,2,289,,0,6,0,0,0,,0,0
,Total,31070,18732,243,18489,2066,51868,,11880,603,142,184,17,,31,274
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,1,0,0,0,0,1,,38,0,0,0,0,,0,0
,CZECH REPUBLIC,46,0,0,0,0,46,,33,0,0,0,0,,0,0
,HUNGARY,29,24,4,20,33,86,,51,0,0,0,0,,0,0
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,201,115,2,113,1,317,,51,1,0,0,0,,0,0
,ROMANIA,20,0,0,0,0,20,,37,1,0,0,0,,0,0
,RUSSIA,579,29,0,29,0,608,,196,13,59,59,59,,59,22
,TURKEY,172,0,0,0,0,172,,65,3,7,7,7,,7,45
,OTHER E. EUROPE,33,5,0,5,1,39,,104,0,0,0,0,,0,0
,Total,1081,173,6,167,35,1289,,575,18,66,66,66,,66,67
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,359,0,0,0,1,360,,74,7,0,0,0,,0,27
,ARGENTINA,378,799,248,551,4,1181,,299,13,0,0,0,,0,0
,BRAZIL,4888,780,283,497,17,5685,,948,16,531,1121,531,,1120,1033
,CHILE,2652,15,2,13,38,2705,,74,22,8,11,8,,11,432
,COLOMBIA,862,0,0,0,1,863,,34,12,66,71,66,,71,14
,COSTA RICA,88,0,0,0,0,88,,1,9,0,0,0,,0,12
,DOMINICAN REPUBLIC,76,0,0,0,0,76,,4,1,0,0,0,,0,10
,ECUADOR,240,21,0,21,0,261,,8,39,0,0,0,,0,43
,EL SALVADOR,75,0,0,0,0,75,,3,1,0,0,0,,0,15
,FRENCH GUIANA,0,0,0,0,0,0,,1,0,0,0,0,,0,0
,GUATEMALA,201,0,0,0,0,201,,11,5,0,0,0,,0,96
,HONDURAS,77,0,0,0,0,77,,2,1,0,0,0,,0,0
,MEXICO,3765,4063,71,3992,157,7985,,1794,245,734,756,733,,755,73
,MONTSERRAT,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,PERU,703,0,0,0,1,704,,52,2,56,53,56,,53,32
,URUGUAY,88,0,0,0,16,104,,3,12,1,0,1,,0,0
,VENEZUELA,387,0,0,0,0,387,,37,8,0,0,0,,0,6
,OTHER LAT. AM. & CAR.,1476,364,364,0,13,1853,,455,128,0,2,0,,0,0
,Total,16315,6042,968,5074,248,22605,,3800,521,1396,2014,1395,,2010,1793
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
