,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2021
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,1792,411,1395,8453,10656,256,393,10790
,CANADA,51179,3512,35887,18916,73607,3307,5476,75714
,FRANCE,25916,0,20788,1484,27400,827,5705,32279
,GERMANY,18337,120,9354,20682,39139,3375,32419,68177
,ITALY,1873,1,649,1628,3502,37,358,3821
,JAPAN,14197,5004,15823,11293,30494,1384,13051,42163
,LUXEMBOURG,14101,338,11259,5841,20280,1498,2266,21046
,NETHERLANDS,7039,33,1890,4536,11608,1205,1860,12203
,SWEDEN,4353,2,2743,164,4519,157,1006,5369
,SWITZERLAND,2829,10,2207,292,3131,205,59161,57332
,UNITED KINGDOM,96146,13838,85153,65590,175574,44023,18897,149327
,Total,237762,23269,187148,138879,399910,56274,140592,478221
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,7591,99,4464,9150,16840,1129,644,16351
,AUSTRIA,1597,0,334,91,1688,37,22,1673
,CYPRUS,46,0,41,0,46,0,5,51
,DENMARK,1389,0,486,6,1395,519,365,1242
,FINLAND,1323,0,404,58,1381,58,806,2129
,GREECE,32,0,26,0,32,22,14,23
,IRELAND,18056,352,15743,8411,26819,11313,1905,17411
,ISRAEL,2445,0,1738,1,2446,87,312,2671
,NEW ZEALAND,566,0,263,285,851,148,43,745
,NORWAY,3183,3,1362,38,3224,925,764,3059
,PORTUGAL,372,7,210,0,379,174,7,211
,SLOVAKIA,11,0,10,0,11,3,1,9
,SPAIN,2926,12,1488,490,3428,253,764,3940
,OTHER NON G-10 DEV.,311,0,73,0,311,34,10,287
,Total,39848,473,26642,18530,58851,14702,5662,49802
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,5,0,4,0,5,2,0,1
,CZECH REPUBLIC,102,0,100,0,102,63,7,46
,HUNGARY,126,4,96,21,151,101,3,53
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,230,1,215,170,401,116,31,316
,ROMANIA,36,0,34,0,36,28,12,20
,RUSSIA,599,0,432,29,628,99,81,608
,TURKEY,241,0,108,0,241,91,27,172
,OTHER E. EUROPE,57,5,51,0,62,30,6,38
,Total,1396,10,1040,220,1626,530,167,1254
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,327,0,326,0,327,53,85,359
,ARGENTINA,644,248,384,573,1465,436,156,1177
,BRAZIL,5049,310,3990,497,5856,1382,1218,5668
,CHILE,2988,3,2399,13,3004,423,87,2667
,COLOMBIA,932,0,577,0,932,259,206,862
,COSTA RICA,192,0,147,0,192,137,38,88
,DOMINICAN REPUBLIC,408,0,167,0,408,158,7,76
,ECUADOR,396,0,201,21,417,225,79,261
,EL SALVADOR,130,0,110,0,130,53,1,75
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,309,0,259,0,309,120,15,201
,HONDURAS,164,0,124,0,164,87,5,77
,MEXICO,5503,16,2877,3992,9511,2470,796,7828
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,791,0,324,0,791,123,39,703
,URUGUAY,322,0,226,0,322,245,12,88
,VENEZUELA,749,0,411,0,749,454,98,387
,OTHER LAT. AM. & CAR.,3453,373,2225,0,3826,2164,184,1840
,Total,22357,950,14747,5096,28403,8789,3026,22357
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,8267,339,5460,1327,9933,806,3801,12921
,INDIA,976,17,845,1763,2756,868,90,1969
,INDONESIA,516,1,439,3,520,392,147,275
,"KOREA, SOUTH",3931,110,3578,51,4092,1031,1244,4303
,KUWAIT,758,43,704,0,801,56,101,844
,MALAYSIA,869,0,791,40,909,1,275,1183
,PAKISTAN,20,0,20,0,20,17,5,8
,PHILIPPINES,90,48,119,79,217,79,20,156
,QATAR,814,0,576,0,814,34,32,812
,SAUDI ARABIA,3122,3,2905,61,3186,120,131,3197
,TAIWAN,2928,62,2551,253,3243,302,161,3102
,THAILAND,128,0,52,59,187,36,2,153
,UNITED ARAB EMIRATES,1956,44,1486,2,2002,321,90,1771
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0
,OTHER ASIA AND PACIFIC,1534,0,360,10,1544,1064,473,952
,Total,25909,667,19886,3648,30224,5127,6572,31646
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,0,0,0,0,0,0,0,0
,EGYPT,126,0,114,0,126,71,0,55
,GHANA,16,0,15,0,16,1,1,16
,KENYA,20,0,18,0,20,2,0,18
,MOROCCO,11,0,10,0,11,3,0,8
,NIGERIA,417,0,412,0,417,53,0,363
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,182,0,166,0,182,30,21,172
,SOUTH SUDAN,0,0,0,0,0,0,0,0
,OTHER AFRICA,382,0,127,0,382,156,197,423
,Total,1154,0,862,0,1154,316,219,1055
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,3050,0,2761,0,3050,2838,130,340
,BAHRAIN,94,0,12,0,94,12,0,82
,BERMUDA,5502,73,2813,9,5584,399,309,5493
,CAYMAN ISLANDS,65161,563,43202,4,65728,24186,3575,45115
,HONG KONG,4474,1633,5287,1963,8070,1217,1037,7888
,LEBANON,32,0,20,0,32,7,0,25
,MAURITIUS,282,0,204,0,282,40,1,243
,PANAMA,1314,1,757,0,1315,1007,118,419
,SINGAPORE,8188,104,6357,1727,10019,919,524,9623
,OTHER BANKING CENTERS,2788,106,1506,109,3003,751,971,3223
,Total,90885,2480,62919,3812,97177,31376,6665,72451
