,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2021
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,3286,2049,5335,1308,19512,,249,6,1,22,0,0,,22
,CANADA,2740,5088,7828,8649,6733,,20573,2097,171,11975,803,1158,,11767
,FRANCE,8,343,351,449,740,,5005,422,59,14678,0,3498,,14678
,GERMANY,822,5149,5971,2950,15697,,9747,556,10,23379,0,632,,23379
,ITALY,0,785,785,2764,763,,1560,223,7,0,0,0,,0
,JAPAN,27,4288,4315,5725,11363,,2787,678,70,7843,0,179,,7843
,LUXEMBOURG,12887,6673,19560,21310,-11418,,324,341,5,7586,0,7,,7579
,NETHERLANDS,2340,2281,4621,6878,1026,,4523,402,19,94,0,6,,88
,SWEDEN,6,39,45,1040,77,,2245,185,57,7,0,0,,7
,SWITZERLAND,12,26,38,680,296,,1013,497,118,254,2,4,,254
,UNITED KINGDOM,86355,54399,140754,63913,-27490,,8830,1197,93,25015,196,5703,,25004
,Total,108483,81120,189603,115666,17299,,56856,6604,610,90853,1001,11187,,90621
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,6236,8328,14564,13012,-3271,,4149,686,71,27,0,2,,27
,AUSTRIA,0,57,57,198,27,,1369,0,0,0,0,0,,0
,CYPRUS,0,0,0,56,0,,0,0,0,0,0,0,,0
,DENMARK,10,3,13,2434,4,,539,49,13,0,0,0,,0
,FINLAND,0,2,2,698,47,,1167,48,18,19,0,0,,19
,GREECE,0,0,0,86,1,,0,7,0,0,0,0,,0
,IRELAND,6521,9779,16300,33625,-7846,,485,484,19,2854,0,251,,2604
,ISRAEL,0,2,2,228,-4,,428,67,0,0,0,0,,0
,NEW ZEALAND,0,26,26,649,238,,177,51,0,1,0,0,,1
,NORWAY,0,153,153,1359,-91,,2304,50,0,107,0,12,,107
,PORTUGAL,0,0,0,158,0,,0,0,0,0,0,0,,0
,SLOVAKIA,0,0,0,0,0,,0,7,0,0,0,0,,0
,SPAIN,151,306,457,794,473,,1387,78,34,3,0,0,,3
,OTHER NON G-10 DEV.,0,0,0,124,0,,13,0,0,0,0,0,,0
,Total,12918,18656,31574,53421,-10422,,12018,1527,155,3011,0,265,,2761
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,0,0,0,59,0,,0,0,0,0,0,0,,0
,CZECH REPUBLIC,1,0,1,35,0,,0,0,0,0,0,0,,0
,HUNGARY,16,0,16,15,58,,0,0,0,0,0,0,,0
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,0,168,168,176,31,,2,0,0,0,0,0,,0
,ROMANIA,0,0,0,2,0,,1,0,0,0,0,0,,0
,RUSSIA,0,4,4,386,47,,5,14,14,0,0,0,,0
,TURKEY,0,0,0,217,0,,14,0,0,0,0,0,,0
,OTHER E. EUROPE,0,0,0,578,0,,1,2,0,0,0,0,,0
,Total,17,172,189,1468,136,,23,16,14,0,0,0,,0
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,2,0,2,272,0,,0,0,0,230,0,0,,230
,ARGENTINA,217,330,547,590,679,,2,27,0,5,5,5,,0
,BRAZIL,0,366,366,401,54,,331,829,7,0,0,0,,0
,CHILE,4,4,8,11,158,,314,41,12,1478,0,0,,1478
,COLOMBIA,0,0,0,22,1,,48,21,4,0,0,0,,0
,COSTA RICA,0,0,0,0,0,,0,1,0,0,0,0,,0
,DOMINICAN REPUBLIC,0,0,0,16,17,,0,4,0,0,0,0,,0
,ECUADOR,0,0,0,4,45,,0,0,0,0,0,0,,0
,EL SALVADOR,0,0,0,2,0,,0,0,0,0,0,0,,0
,FRENCH GUIANA,0,0,0,0,0,,0,0,0,0,0,0,,0
,GUATEMALA,0,0,0,0,0,,0,2,0,0,0,0,,0
,HONDURAS,0,0,0,0,0,,0,2,0,0,0,0,,0
,MEXICO,82,617,699,647,3664,,475,98,19,689,0,369,,689
,MONTSERRAT,0,0,0,0,0,,0,0,0,0,0,0,,0
,PERU,0,0,0,82,0,,142,8,1,17,0,0,,17
,URUGUAY,5,0,5,329,0,,17,9,0,0,0,0,,0
,VENEZUELA,0,0,0,0,2,,0,4,0,0,0,0,,0
,OTHER LAT. AM. & CAR.,615,0,615,1381,-205,,40,70,0,0,0,0,,0
,Total,925,1317,2242,3757,4415,,1369,1116,43,2419,5,374,,2414
,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,
,CHINA-MAINLAND,414,1031,1445,2471,315,,235,442,6,2430,0,1,,2429
,INDIA,1,640,641,718,1302,,471,2,0,0,0,0,,0
,INDONESIA,2,0,2,566,3,,45,0,0,0,0,0,,0
,"KOREA, SOUTH",0,18,18,1703,8,,250,17,1,902,0,0,,902
,KUWAIT,0,0,0,2800,0,,0,0,0,351,0,0,,351
,MALAYSIA,2,17,19,2748,44,,36,0,0,0,0,0,,0
,PAKISTAN,0,0,0,62,0,,5,0,0,0,0,0,,0
,PHILIPPINES,20,115,135,492,111,,2,1,0,0,0,0,,0
,QATAR,0,0,0,144,0,,135,0,0,0,0,0,,0
,SAUDI ARABIA,1,2,3,4619,43,,80,0,0,2108,0,0,,2108
,TAIWAN,3,27,30,470,138,,22,25,0,1091,0,0,,1091
,THAILAND,0,29,29,551,3,,8,0,0,0,0,0,,0
,UNITED ARAB EMIRATES,1,3,4,1785,7,,270,0,0,260,0,0,,260
,WEST BANK AND GAZA,0,0,0,0,0,,0,0,0,0,0,0,,0
,OTHER ASIA AND PACIFIC,0,191,191,2291,-176,,47,22,0,9,0,0,,9
,Total,444,2073,2517,21420,1798,,1606,509,7,7151,0,1,,7150
,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,
,ALGERIA,0,0,0,0,0,,0,0,0,0,0,0,,0
,EGYPT,0,0,0,160,0,,6,0,0,0,0,0,,0
,GHANA,0,0,0,18,0,,0,0,0,0,0,0,,0
,KENYA,0,0,0,113,0,,0,0,0,0,0,0,,0
,MOROCCO,0,0,0,32,0,,0,0,0,0,0,0,,0
,NIGERIA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SAINT HELENA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SOUTH AFRICA,0,0,0,1999,0,,0,4,0,0,0,0,,0
,SOUTH SUDAN,0,0,0,0,0,,0,0,0,0,0,0,,0
,OTHER AFRICA,0,0,0,298,0,,6,37,4,2,0,0,,2
,Total,0,0,0,2620,0,,12,41,4,2,0,0,,2
,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,
,BAHAMAS,6516,0,6516,68,-6314,,37,4,0,5,0,5,,0
,BAHRAIN,0,0,0,122,0,,0,0,0,0,0,0,,0
,BERMUDA,14,8,22,2307,353,,265,221,5,36,0,0,,36
,CAYMAN ISLANDS,14312,11,14323,14247,4456,,3309,2374,10,11994,184,627,,11914
,HONG KONG,1509,577,2086,2147,4668,,660,86,0,382,10,17,,365
,LEBANON,0,1,1,59,0,,0,0,0,0,0,0,,0
,MAURITIUS,0,0,0,212,0,,0,0,0,0,0,0,,0
,PANAMA,0,0,0,52,11,,57,50,11,0,0,0,,0
,SINGAPORE,260,466,726,5618,1545,,2513,113,2,3836,0,0,,3836
,OTHER BANKING CENTERS,2741,886,3627,7060,2762,,100,642,18,11,0,0,,11
,Total,25352,1949,27301,31892,7481,,6941,3490,46,16264,194,649,,16162
,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,
,AFRICAN,0,0,0,0,0,,1186,0,0,0,0,0,,0
,ASIAN,0,0,0,22,0,,4601,4,0,0,0,0,,0
,CARIBBEAN,0,0,0,0,0,,0,0,0,0,0,0,,0
,EUROPEAN,0,0,0,206,0,,10527,1,0,0,0,0,,0
,INTERNATIONAL,0,0,0,478,0,,6021,1,0,500,0,0,,500
,LATIN AMERICAN,0,0,0,0,0,,4597,0,0,0,0,0,,0
,MIDDLE EASTERN,0,0,0,0,0,,0,0,0,0,0,0,,0
,Total,0,0,0,706,0,,26932,6,0,500,0,0,,500
,,,,,,,,,,,,,,,
,UNITED STATES,0,0,0,40605,-19251,,2034970,198366,30867,245497,19450,181020,,233660
,,,,,,,,,,,,,,,
,Grand Total,148139,105287,253426,271555,1456,,2140727,211675,31746,365697,20650,193496,,353270
