,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2021
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,1106,667,0,1773,1126,407,285,8093,17,8395,79,0,95,3,0,98,,165,0
,CANADA,16661,7218,442,24321,15275,1036,10369,1396,12,11777,10277,772,14089,875,67,15031,,14425,46
,FRANCE,23924,6,474,24404,19865,0,2919,587,8,3514,2062,0,2287,6,323,2616,,2192,0
,GERMANY,34292,127,290,34709,6949,13,8123,19299,0,27422,6641,0,1417,276,11,1704,,1022,104
,ITALY,498,185,0,683,221,1,1553,242,0,1795,1553,0,10,1,0,11,,10,0
,JAPAN,16991,6192,44,23227,7513,5004,1907,6989,5,8901,1906,0,4059,192,62,4313,,3760,0
,LUXEMBOURG,265,167,0,432,321,110,93,5595,0,5688,83,0,12288,295,374,12957,,11064,216
,NETHERLANDS,2080,28,22,2130,1635,5,1544,4247,0,5791,1227,21,967,99,5,1071,,797,7
,SWEDEN,2037,0,0,2037,1059,0,1853,10,0,1863,1973,0,692,29,0,721,,695,2
,SWITZERLAND,47948,94,42,48084,970,2,4792,0,0,4792,321,0,2400,207,192,2799,,424,8
,UNITED KINGDOM,42523,5837,1903,50263,70278,9717,2234,42354,0,44588,440,10,16094,18132,939,35165,,16183,3193
,Total,188325,20521,3217,212063,125212,16295,35672,88812,42,124526,26562,803,54398,20115,1973,76486,,50737,3576
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,5015,1713,49,6777,5380,16,5,2317,0,2322,0,0,597,175,932,1704,,559,17
,AUSTRIA,363,1,0,364,361,0,1066,1,0,1067,1066,0,13,1,1,15,,3,0
,CYPRUS,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,40,,40,0
,DENMARK,517,0,6,523,979,0,390,0,0,390,114,0,196,0,0,196,,180,0
,FINLAND,863,1,0,864,234,0,888,0,0,888,727,0,275,0,0,275,,273,0
,GREECE,6,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,,0,0
,IRELAND,190,192,141,523,3843,172,236,8115,0,8351,236,0,4672,509,488,5669,,10612,175
,ISRAEL,532,0,1,533,532,0,368,1,0,369,367,0,893,0,0,893,,892,0
,NEW ZEALAND,138,16,0,154,169,0,3,6,0,9,1,0,40,0,35,75,,39,0
,NORWAY,1007,1,15,1023,1776,1,1047,2,0,1049,491,0,693,4,5,702,,689,2
,PORTUGAL,0,0,0,0,3,0,150,0,0,150,150,0,4,7,0,11,,3,7
,SLOVAKIA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SPAIN,1256,202,272,1730,551,0,1161,51,0,1212,1161,0,384,0,0,384,,383,0
,OTHER NON G-10 DEV.,4,0,0,4,4,0,0,0,0,0,0,0,105,0,2,107,,112,0
,Total,9892,2126,484,12502,13834,189,5314,10493,0,15807,4313,0,7912,696,1463,10071,,13785,201
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0
,CZECH REPUBLIC,29,0,0,29,79,0,0,0,0,0,0,0,6,0,0,6,,6,0
,HUNGARY,21,21,0,42,83,4,0,0,0,0,0,0,1,0,0,1,,1,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,166,65,0,231,160,0,2,1,1,4,2,0,1,7,0,8,,1,1
,ROMANIA,3,0,0,3,19,0,1,0,0,1,1,0,0,0,0,0,,0,0
,RUSSIA,271,8,0,279,204,0,5,2,0,7,5,0,225,0,0,225,,225,0
,TURKEY,76,0,0,76,76,0,7,0,0,7,0,0,4,0,0,4,,1,0
,OTHER E. EUROPE,15,0,0,15,14,0,1,0,1,2,1,0,4,5,0,9,,2,5
,Total,581,94,0,675,638,4,16,3,2,21,9,0,241,12,0,253,,236,6
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,23,0,0,23,67,0,0,0,1,1,0,0,335,0,0,335,,250,0
,ARGENTINA,4,150,0,154,94,31,19,57,0,76,11,2,2,0,0,2,,0,0
,BRAZIL,2136,639,0,2775,2170,282,818,140,5,963,777,0,309,1,0,310,,239,0
,CHILE,558,9,1,568,516,3,1559,0,0,1559,1557,0,103,0,0,103,,118,0
,COLOMBIA,380,0,0,380,380,0,56,0,0,56,37,0,15,0,0,15,,13,0
,COSTA RICA,16,0,0,16,37,0,6,0,0,6,4,0,1,0,0,1,,0,0
,DOMINICAN REPUBLIC,22,0,0,22,194,0,4,0,0,4,4,0,0,0,0,0,,0,0
,ECUADOR,37,21,0,58,54,0,12,0,0,12,0,0,1,0,0,1,,1,0
,EL SALVADOR,62,0,0,62,79,0,1,0,0,1,0,0,0,0,0,0,,0,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,122,0,0,122,129,0,2,0,0,2,1,0,1,0,0,1,,2,0
,HONDURAS,22,0,0,22,59,0,20,0,0,20,20,0,1,0,0,1,,1,0
,MEXICO,294,1037,39,1370,258,0,354,364,2,720,350,0,132,428,10,570,,171,0
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,137,0,1,138,132,0,80,0,0,80,79,0,33,0,0,33,,33,0
,URUGUAY,3,0,1,4,3,0,17,0,0,17,17,0,8,0,7,15,,9,0
,VENEZUELA,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,,0,0
,OTHER LAT. AM. & CAR.,22,3,0,25,67,3,17,0,0,17,84,0,220,0,1,221,,404,0
,Total,3838,1859,42,5739,4240,319,2966,561,8,3535,2942,2,1162,429,18,1609,,1241,0
,,,,,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,,,,,
,CHINA-MAINLAND,4871,555,8,5434,1827,173,2436,351,64,2851,2433,30,90,370,0,460,,63,18
,INDIA,65,485,0,550,789,10,25,707,0,732,13,7,10,2,0,12,,11,0
,INDONESIA,201,0,0,201,430,0,15,2,1,18,15,1,2,0,0,2,,2,0
,"KOREA, SOUTH",2154,53,8,2215,2426,43,1082,40,4,1126,985,0,700,67,8,775,,372,67
,KUWAIT,279,0,0,279,250,0,375,0,0,375,320,0,31,43,3,77,,31,43
,MALAYSIA,1064,36,0,1100,789,0,2,0,1,3,2,0,9,0,0,9,,9,0
,PAKISTAN,5,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PHILIPPINES,4,62,0,66,40,48,2,2,0,4,2,0,4,0,0,4,,4,0
,QATAR,647,0,0,647,644,0,50,0,0,50,50,0,19,0,1,20,,19,0
,SAUDI ARABIA,256,56,0,312,337,0,2422,0,1,2423,2319,0,115,8,0,123,,88,3
,TAIWAN,1143,61,2,1206,1242,3,0,44,0,44,0,0,1232,71,0,1303,,1149,59
,THAILAND,21,1,0,22,55,0,5,4,0,9,5,0,2,0,0,2,,2,0
,UNITED ARAB EMIRATES,803,8,25,836,1097,8,403,0,4,407,384,0,85,36,0,121,,36,36
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,218,0,0,218,295,0,100,0,17,117,493,0,180,0,0,180,,367,0
,Total,11731,1317,43,13091,10238,285,6917,1150,92,8159,7021,38,2479,597,12,3088,,2153,226
,,,,,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,,,,,
,ALGERIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,EGYPT,41,0,0,41,112,0,0,0,0,0,0,0,6,0,0,6,,6,0
,GHANA,13,0,0,13,13,0,1,0,0,1,0,0,0,0,0,0,,0,0
,KENYA,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,,0,0
,MOROCCO,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,,0,0
,NIGERIA,352,0,0,352,403,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SAINT HELENA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SOUTH AFRICA,82,0,0,82,68,0,0,0,2,2,0,0,5,0,0,5,,5,0
,SOUTH SUDAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER AFRICA,67,0,0,67,31,0,7,0,0,7,7,0,20,0,0,20,,32,0
,Total,578,0,0,578,650,0,8,0,2,10,7,0,31,0,0,31,,43,0
,,,,,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,,,,,
,BAHAMAS,123,0,0,123,69,0,10,0,0,10,9,0,18,0,6,24,,2301,0
,BAHRAIN,1,0,0,1,13,0,0,0,0,0,0,0,78,0,0,78,,78,0
,BERMUDA,7,12,1,20,4,60,1,0,0,1,1,0,2380,13,73,2466,,2378,13
,CAYMAN ISLANDS,274,4,6,284,10381,155,1,0,2,3,0,0,36565,9,125,36699,,45790,8
,HONG KONG,2952,1209,12,4173,2999,1271,2,1052,6,1060,73,0,720,101,22,843,,306,79
,LEBANON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,MAURITIUS,3,0,0,3,37,0,0,0,0,0,0,0,159,0,0,159,,159,0
,PANAMA,116,0,0,116,203,0,79,0,0,79,74,0,35,0,2,37,,43,0
,SINGAPORE,2267,192,0,2459,2842,59,4209,1189,1,5399,4193,1,246,6,4,256,,246,4
,OTHER BANKING CENTERS,178,95,0,273,608,0,6,0,0,6,5,0,1539,120,31,1690,,877,106
,Total,5921,1512,19,7452,17156,1545,4308,2241,9,6558,4355,1,41740,249,263,42252,,52178,210
,,,,,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,,,,,
,AFRICAN,0,0,0,0,0,0,1187,0,0,1187,1187,0,0,0,0,0,,0,0
,ASIAN,0,0,0,0,0,0,4612,0,0,4612,4612,0,0,0,0,0,,0,0
,CARIBBEAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,EUROPEAN,0,0,0,0,0,0,10548,0,0,10548,10548,0,0,0,0,0,,0,0
,INTERNATIONAL,0,0,0,0,0,0,6556,0,72,6628,6556,0,0,0,0,0,,0,0
,LATIN AMERICAN,0,0,0,0,0,0,4707,0,0,4707,4707,0,0,0,0,0,,0,0
,MIDDLE EASTERN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,Total,0,0,0,0,0,0,27610,0,72,27682,27610,0,0,0,0,0,,0,0
,,,,,,,,,,,,,,,,,,,,
,UNITED STATES,6325,194629,7133,208087,4898,39700,9005,2090131,1728,2100864,8720,30949,3283,1673525,7793,1684601,,1544,8960
,,,,,,,,,,,,,,,,,,,,
,Grand Total,227191,222058,10938,460187,176866,58337,91816,2193391,1955,2287162,81539,31793,111246,1695623,11522,1818391,,121917,13179
