,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2021
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,19301,17,15785,1045,20363,696,977,20640
,CANADA,92683,7327,87044,55786,155796,7548,11548,159797
,FRANCE,208952,2466,196794,62297,273715,5533,9714,277895
,GERMANY,94894,2195,74139,207138,304227,8743,16477,311963
,ITALY,47969,794,42544,6718,55481,751,1628,56356
,JAPAN,102056,31808,109834,288734,422598,4778,20383,438208
,LUXEMBOURG,87805,2424,61197,11561,101790,15569,3932,90151
,NETHERLANDS,51563,96,37687,9741,61400,9038,8406,60769
,SWEDEN,23460,0,21128,1071,24531,2028,1110,23612
,SWITZERLAND,27528,6501,29264,26500,60529,4276,7659,63912
,UNITED KINGDOM,66884,77427,106038,284788,429099,24678,23657,428074
,Total,823095,131055,781454,955379,1909529,83638,105491,1931377
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,23375,3393,18154,99311,126079,6214,2564,122428
,AUSTRIA,10518,3,7640,3,10524,805,426,10142
,CYPRUS,2739,0,2350,0,2739,189,537,3088
,DENMARK,7427,1,6934,431,7859,235,1593,9218
,FINLAND,13908,0,12761,26,13934,37,748,14647
,GREECE,3838,0,2761,263,4101,121,88,4070
,IRELAND,91605,4281,63283,10474,106360,6397,3857,103816
,ISRAEL,9100,137,6492,2616,11853,461,512,11905
,NEW ZEALAND,2733,13,2346,1588,4334,272,147,4211
,NORWAY,20019,3,19040,61,20083,332,1007,20756
,PORTUGAL,3210,0,2750,27,3237,96,74,3220
,SLOVAKIA,1217,3,1130,184,1404,61,16,1358
,SPAIN,36783,124,28859,1039,37946,594,2173,39525
,OTHER NON G-10 DEV.,28949,0,28653,2,28951,540,236,28647
,Total,255421,7958,203153,116025,379404,16354,13978,377031
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,155,384,433,365,904,49,4,860
,CZECH REPUBLIC,4039,432,4214,3264,7735,186,31,7579
,HUNGARY,2062,235,2125,1093,3390,870,112,2630
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,3435,1112,3654,11378,15925,561,181,15544
,ROMANIA,586,322,741,1766,2674,199,17,2491
,RUSSIA,6225,1018,5900,6923,14166,574,427,14020
,TURKEY,9235,749,8470,1651,11635,883,761,11513
,OTHER E. EUROPE,3189,72,3146,882,4143,149,377,4369
,Total,28926,4324,28683,27322,60572,3471,1910,59006
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,496,0,487,0,496,14,0,482
,ARGENTINA,2238,516,2332,3803,6557,649,37,5943
,BRAZIL,32956,2567,27342,41866,77389,5033,8436,80794
,CHILE,6210,0,5654,3010,9220,415,503,9309
,COLOMBIA,5100,7,3725,3279,8386,709,205,7879
,COSTA RICA,384,248,516,615,1247,138,35,1144
,DOMINICAN REPUBLIC,595,130,637,262,987,267,88,809
,ECUADOR,830,588,1174,0,1418,412,22,1029
,EL SALVADOR,400,183,530,0,583,68,33,549
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,1192,66,1167,382,1640,287,175,1528
,HONDURAS,632,60,667,150,842,46,10,804
,MEXICO,23949,5952,19440,67468,97369,6655,4268,95006
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,2829,793,3235,1095,4717,589,557,4685
,URUGUAY,1180,340,1318,532,2052,209,52,1896
,VENEZUELA,738,0,563,0,738,194,20,565
,OTHER LAT. AM. & CAR.,60838,591,52924,761,62190,12113,1715,51795
,Total,140567,12041,121711,123223,275831,27798,16156,264217
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,77312,3809,77451,39607,120728,5795,8589,123520
,INDIA,21659,1718,20077,51328,74705,3341,3509,74869
,INDONESIA,7615,3726,9957,5078,16419,1868,846,15404
,"KOREA, SOUTH",51905,4189,53750,49256,105350,1563,7995,111786
,KUWAIT,13515,0,13163,333,13848,17,146,13977
,MALAYSIA,4065,1869,4934,11559,17493,941,1033,17587
,PAKISTAN,172,29,187,1070,1271,145,4,1128
,PHILIPPINES,2519,817,3121,4891,8227,325,363,8264
,QATAR,8778,0,5080,22,8800,38,770,9530
,SAUDI ARABIA,24289,256,18951,1107,25652,2364,1063,24355
,TAIWAN,45252,3289,47571,23784,72325,1242,2665,73747
,THAILAND,3668,283,3635,9405,13356,514,347,13191
,UNITED ARAB EMIRATES,19590,2775,18717,4287,26652,1432,1305,26532
,WEST BANK AND GAZA,2,0,2,0,2,1,0,1
,OTHER ASIA AND PACIFIC,11649,2658,11763,3306,17613,3425,517,14703
,Total,291990,25418,288359,205033,522441,23011,29152,528594
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,6,116,122,1112,1234,271,0,962
,EGYPT,10343,93,9455,1824,12260,516,10,11754
,GHANA,2575,0,2429,0,2575,625,0,1950
,KENYA,421,282,630,678,1381,160,13,1235
,MOROCCO,557,20,531,417,994,19,0,976
,NIGERIA,10564,171,9922,2213,12948,543,73,12475
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,5135,266,4645,6843,12244,549,1047,12742
,SOUTH SUDAN,2,0,2,0,2,0,0,2
,OTHER AFRICA,6112,672,5571,1492,8276,1842,701,7140
,Total,35715,1620,33307,14579,51914,4525,1844,49236
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,9069,6,8562,91,9166,2741,294,6717
,BAHRAIN,1678,2,853,429,2109,750,33,1393
,BERMUDA,22850,6,19738,1,22857,6139,4107,20827
,CAYMAN ISLANDS,568239,1157,405990,330,569726,71065,17855,516515
,HONG KONG,33765,14375,43425,46546,94686,12439,5540,87783
,LEBANON,108,73,159,96,277,39,2,239
,MAURITIUS,2579,211,2209,24,2814,506,131,2438
,PANAMA,5190,652,3610,10,5852,2077,561,4333
,SINGAPORE,46324,17231,58458,41851,105406,6169,4943,104176
,OTHER BANKING CENTERS,32142,1326,23113,305,33773,2689,2746,33829
,Total,721944,35039,566117,89683,846666,104614,36212,778250
,,,,,,,,,
,International & Regional Organizations,,,,,,,,
,AFRICAN,588,0,468,0,588,46,0,542
,ASIAN,3979,0,2355,0,3979,0,266,4245
,CARIBBEAN,0,0,0,0,0,0,0,0
,EUROPEAN,17478,0,8073,0,17478,0,450,17928
,INTERNATIONAL,10413,0,4781,0,10413,0,1010,11423
,LATIN AMERICAN,3968,0,1560,0,3968,0,2,3969
,MIDDLE EASTERN,44,0,44,0,44,0,0,44
,Total,36470,0,17281,0,36470,46,1728,38151
,,,,,,,,,
,UNITED STATES,175386,39965,164851,9208850,9424201,527922,584902,9481135
,,,,,,,,,
,Grand Total,2509514,257420,2204916,10740094,13507028,791379,791373,13506997
