,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2021
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,279,693,972,19860,279,,1555,7037,1543,1219,0,520,,1219
,CANADA,8684,33472,42156,51461,24921,,9465,25074,3581,53481,0,12882,,53481
,FRANCE,3394,23504,26898,109004,78261,,5288,48368,8408,139107,0,80462,,139107
,GERMANY,26099,100960,127059,133481,237159,,10333,54374,10011,27146,0,15413,,27146
,ITALY,1540,11273,12813,57295,-4152,,1351,33807,8944,6329,0,1184,,6329
,JAPAN,7835,80214,88049,113698,244587,,12909,115625,24845,157625,83,103266,,157625
,LUXEMBOURG,82970,46355,129325,95366,-101996,,2854,12533,536,15391,6,1915,,15391
,NETHERLANDS,32024,12113,44137,75479,-36422,,3324,25702,2910,2159,0,1233,,2159
,SWEDEN,31,559,590,13691,458,,317,8739,513,5736,0,4691,,5736
,SWITZERLAND,13111,3748,16859,46477,21685,,10,10424,663,3703,0,1124,,3703
,UNITED KINGDOM,1201278,289211,1490489,326753,125564,,14375,80812,21621,75807,0,53616,,75807
,Total,1377245,602102,1979347,1042565,590344,,61781,422495,83575,487703,89,276306,,487703
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,4684,56662,61346,97914,46064,,8846,30862,3206,11445,3,9121,,11445
,AUSTRIA,145,406,551,7720,-520,,1821,6263,1150,568,0,324,,568
,CYPRUS,0,0,0,4995,0,,0,1039,41,307,0,28,,307
,DENMARK,12,383,395,9775,171,,0,4924,198,1478,0,858,,1478
,FINLAND,0,164,164,8342,-87,,1314,6393,804,3779,0,3219,,3779
,GREECE,39,1266,1305,5104,-1008,,0,2016,245,1000,0,416,,1000
,IRELAND,13193,19261,32454,107692,48510,,10610,18062,1243,26702,0,3952,,26702
,ISRAEL,1272,2459,3731,8054,-881,,456,4970,292,880,0,861,,880
,NEW ZEALAND,73,883,956,3316,596,,418,1162,108,261,0,178,,261
,NORWAY,0,264,264,7038,-205,,48,3172,209,13409,0,5904,,13409
,PORTUGAL,2,279,281,3995,-257,,14,2097,475,307,0,18,,307
,SLOVAKIA,107,391,498,554,42,,0,237,2,800,0,122,,800
,SPAIN,378,2067,2445,32782,-898,,1335,22130,4461,1168,0,871,,1168
,OTHER NON G-10 DEV.,1,1,2,10512,1,,0,280,5,7993,0,4193,,7993
,Total,19906,84486,104392,307793,91528,,24862,103607,12439,70097,3,30065,,70097
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,287,394,681,773,77,,39,24,2,0,0,0,,0
,CZECH REPUBLIC,1040,1592,2632,3373,1189,,539,462,77,5050,0,2044,,5050
