,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2021
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,17994,9871,376,9495,907,28772,,5478,227,12847,14264,4958,,6376,179
,CANADA,152683,79352,10164,69188,8536,240571,,89337,16872,23850,26229,9712,,12101,463
,FRANCE,205681,63326,866,62460,15430,284437,,247275,5687,199407,211522,70404,,82517,626
,GERMANY,165534,202420,954,201466,28777,396731,,73128,4391,151340,160296,53940,,62895,944
,ITALY,42993,9326,718,8608,15057,67376,,6821,1486,148104,154583,37177,,43656,244
,JAPAN,144767,293073,34281,258792,12392,450232,,55528,7427,76359,78938,30873,,33451,269
,LUXEMBOURG,83532,18566,1621,16945,7389,109487,,36352,3409,23134,25568,9910,,12339,810
,NETHERLANDS,52235,12507,104,12403,8155,72897,,35472,4113,108122,115604,39165,,46647,700
,SWEDEN,25314,969,1,968,889,27172,,9645,373,22694,24297,8775,,10379,24
,SWITZERLAND,84255,36448,6847,29601,3920,124623,,18946,6017,52085,54197,20395,,22556,1354
,UNITED KINGDOM,132983,453436,94152,359284,53311,639730,,149857,13330,251178,264381,89913,,103066,1684
,Total,1107971,1179294,150084,1029210,154763,2442028,,727839,63332,1069120,1129879,375222,,435983,7297
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
