,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2021
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,18112,380,14622,9486,27978,1634,1519,27865
,CANADA,143907,11120,120393,70507,225534,10883,17391,232035
,FRANCE,198602,844,179678,62464,261910,3730,10821,269007
,GERMANY,134494,2179,103018,199935,336608,11971,43321,367954
,ITALY,41751,717,35877,8736,51204,756,1874,52319
,JAPAN,119073,34637,126446,257510,411220,4024,30650,437840
,LUXEMBOURG,101817,1641,73138,16802,120260,24364,6206,102098
,NETHERLANDS,50624,110,33232,12410,63144,8801,10403,64742
,SWEDEN,25799,4,21654,966,26769,2961,2477,26283
,SWITZERLAND,29580,6944,30515,29596,66120,4196,63247,120703
,UNITED KINGDOM,150252,97039,178562,361947,609238,61740,39033,586419
,Total,1014011,155615,917135,1030359,2199985,135060,226942,2287265
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,30216,3554,22633,115660,149430,5806,3619,147208
,AUSTRIA,8508,1,5255,92,8601,703,545,8445
,CYPRUS,3382,0,3047,0,3382,98,574,3857
,DENMARK,6790,3,5857,420,7213,786,2597,9018
,FINLAND,9198,0,6695,89,9287,114,694,9870
,GREECE,2936,0,1994,230,3166,170,39,3034
,IRELAND,110268,3183,79156,16911,130362,20367,5353,115351
,ISRAEL,12690,153,9520,2600,15443,469,694,15665
,NEW ZEALAND,4254,12,3304,2333,6599,544,130,6185
,NORWAY,19552,3,16572,85,19640,1250,1785,20175
,PORTUGAL,3817,5,2915,35,3857,140,64,3783
,SLOVAKIA,1172,6,1081,195,1373,89,26,1309
,SPAIN,37099,131,28148,1581,38811,921,2173,40059
,OTHER NON G-10 DEV.,37937,0,37417,2,37939,508,196,37627
,Total,287819,7051,223594,140233,435103,31965,18489,421586
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,212,276,388,362,850,64,2,789
,CZECH REPUBLIC,4311,321,4232,3526,8158,198,34,7996
,HUNGARY,1418,266,1544,1230,2914,476,103,2541
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,3725,1140,4097,10907,15772,747,371,15393
,ROMANIA,762,322,957,1745,2829,259,26,2595
,RUSSIA,7410,1392,7373,7012,15814,565,485,15736
,TURKEY,9418,768,7942,1183,11369,1054,991,11302
,OTHER E. EUROPE,2218,108,2098,980,3306,373,292,3225
,Total,29474,4593,28631,26945,61012,3736,2304,59577
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,1311,0,1305,0,1311,933,38,416
,ARGENTINA,2054,634,1875,5156,7844,973,207,7068
,BRAZIL,40150,3337,33106,41446,84933,7194,9566,87280
,CHILE,7699,99,6267,2799,10597,807,622,10412
,COLOMBIA,4796,6,3485,3369,8171,1024,424,7564
,COSTA RICA,575,246,675,815,1636,284,65,1414
,DOMINICAN REPUBLIC,1188,46,904,268,1502,368,102,1043
,ECUADOR,1051,504,1116,3,1558,745,95,896
,EL SALVADOR,519,182,648,0,701,156,48,591
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,1613,64,1515,442,2119,435,204,1885
,HONDURAS,963,37,946,157,1157,162,13,999
,MEXICO,27062,5820,20588,67178,100060,9704,5290,95640
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,3550,471,3151,1342,5363,837,495,5017
,URUGUAY,1493,278,1438,378,2149,514,51,1686
,VENEZUELA,1450,0,952,0,1450,614,101,933
,OTHER LAT. AM. & CAR.,59075,965,49948,732,60772,14822,1882,47831
,Total,154549,12689,127919,124085,291323,39572,19203,270675
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,90923,4044,89137,41828,136795,6528,11368,141623
,INDIA,23459,1969,21243,53820,79248,4751,3437,77933
,INDONESIA,7034,2494,8407,5282,14810,2578,1114,13346
,"KOREA, SOUTH",54700,4406,56062,46853,105959,2555,8965,112370
,KUWAIT,15380,23,15031,225,15628,72,401,15957
,MALAYSIA,4458,1857,5096,11864,18179,1027,1479,18636
,PAKISTAN,115,79,187,1099,1293,110,9,1191
,PHILIPPINES,2882,1185,3735,4964,9031,586,289,8730
,QATAR,8701,0,4613,41,8742,68,610,9285
,SAUDI ARABIA,20760,200,15306,1698,22658,2311,1158,21507
,TAIWAN,47648,2578,49189,21692,71918,1008,3589,74500
,THAILAND,4835,274,4508,10867,15976,719,274,15528
,UNITED ARAB EMIRATES,21361,2764,20416,4687,28812,2025,1815,28602
,WEST BANK AND GAZA,6,0,5,0,6,4,0,2
,OTHER ASIA AND PACIFIC,12853,2762,12088,3192,18807,4493,898,15218
,Total,315115,24635,305023,208112,547862,28835,35406,554428
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,10,130,139,1212,1352,222,0,1130
,EGYPT,7895,55,7176,1753,9703,496,2,9210
,GHANA,2457,0,2311,0,2457,626,1,1832
,KENYA,442,296,675,672,1410,185,19,1244
,MOROCCO,533,0,510,449,982,20,0,962
,NIGERIA,10954,182,10849,2126,13262,546,38,12752
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,6056,299,5467,5345,11700,725,1053,12026
,SOUTH SUDAN,1,0,1,0,1,0,0,1
,OTHER AFRICA,6196,751,5460,1405,8352,1851,853,7358
,Total,34544,1713,32588,12962,49219,4671,1966,46515
