,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2021
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,2790,3545,6335,18127,18027,,1912,5774,947,756,0,584,,756
,CANADA,10747,39540,50287,57383,29811,,31634,21566,2944,58990,789,13547,,58754
,FRANCE,788,29778,30566,101324,75520,,10407,39702,7985,125439,0,67460,,125439
,GERMANY,23864,109084,132948,137577,196157,,19804,39814,7345,70087,0,45961,,70087
,ITALY,1511,13157,14668,57680,-4031,,2744,27299,7207,6176,0,1415,,6176
,JAPAN,6931,69236,76167,111347,227916,,13977,83716,18905,175016,93,110928,,175016
,LUXEMBOURG,92735,53041,145776,120780,-108415,,3219,11439,461,14175,10,1758,,14109
,NETHERLANDS,36107,14515,50622,75065,-37368,,7236,16830,1567,5479,0,2104,,5464
,SWEDEN,46,724,770,17099,182,,2396,6914,582,4653,0,3857,,4653
,SWITZERLAND,16990,3262,20252,50223,21725,,753,10823,519,4798,0,1351,,4798
,UNITED KINGDOM,1246548,328624,1575172,368614,93252,,22250,69029,16862,106296,281,60984,,106274
,Total,1439057,664506,2103563,1115219,512776,,116332,332906,65324,571865,1173,309949,,571526
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,10733,65079,75812,103217,53143,,14456,27844,3172,16409,2,12832,,16404
,AUSTRIA,93,358,451,7932,-338,,3290,3451,616,462,0,231,,462
,CYPRUS,0,0,0,5304,-1,,0,1169,29,501,0,43,,501
,DENMARK,25,368,393,12404,178,,561,3442,266,1731,0,351,,1731
,FINLAND,0,198,198,7221,-81,,2671,3452,416,629,0,543,,629
,GREECE,32,1178,1210,5247,-965,,0,1560,165,917,0,345,,917
,IRELAND,22994,32707,55701,147557,36122,,12682,16910,957,28028,0,3537,,27839
,ISRAEL,1251,2666,3917,7916,-1103,,688,5586,294,1875,0,948,,1875
,NEW ZEALAND,41,1122,1163,4082,1146,,544,1234,96,345,0,49,,345
,NORWAY,18,405,423,7231,-307,,2049,2949,257,9832,0,4911,,9832
,PORTUGAL,2,142,144,4269,-118,,14,2436,749,94,0,6,,94
,SLOVAKIA,200,360,560,1512,-157,,0,101,2,862,0,55,,862
,SPAIN,536,2614,3150,32995,-968,,2393,18229,4603,3796,0,3639,,3796
,OTHER NON G-10 DEV.,1,1,2,7190,4,,13,320,4,20447,0,10584,,20447
,Total,35926,107198,143124,354077,86555,,39361,88683,11626,85928,2,38074,,85734
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,201,398,599,714,43,,38,14,3,90,0,90,,90
,CZECH REPUBLIC,1102,1523,2625,3324,1282,,411,742,131,5104,0,2859,,5104
,HUNGARY,730,1133,1863,3441,135,,550,754,150,64,0,58,,64
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,3076,8775,11851,14048,2343,,4478,2976,697,823,0,185,,823
,ROMANIA,516,1912,2428,2837,-318,,1161,534,256,66,0,27,,66
,RUSSIA,2403,5858,8261,11805,583,,1478,4093,527,3749,0,1898,,3749
,TURKEY,921,633,1554,4290,404,,404,3413,364,1795,0,1795,,1795
,OTHER E. EUROPE,303,859,1162,4878,-45,,271,916,200,776,0,93,,776
,Total,9252,21091,30343,45337,4427,,8791,13442,2328,12467,0,7005,,12467
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,3,0,3,247,0,,0,0,0,239,2,3,,239
,ARGENTINA,664,3110,3774,3314,2515,,152,939,70,1237,9,1237,,1228
,BRAZIL,747,18701,19448,23402,22799,,7132,30956,2460,16749,0,8272,,16749
,CHILE,20,175,195,1255,2672,,355,1456,321,49,0,0,,49
,COLOMBIA,5,3116,3121,3161,106,,1162,1379,72,291,0,291,,291
,COSTA RICA,359,513,872,924,393,,185,82,11,0,0,0,,0
,DOMINICAN REPUBLIC,96,253,349,355,-5,,115,89,27,0,0,0,,0
