,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2021
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,5955,658,403,7016,6636,346,5441,8701,201,14343,5163,0,2603,58,77,2738,,2640,14
,CANADA,44278,12445,4261,60984,39109,1553,20878,26189,351,47418,20794,794,57762,9844,1550,69156,,58863,1498
,FRANCE,37422,636,5961,44019,34802,60,22389,54287,3115,79791,19476,0,119277,4541,4416,128234,,119426,254
,GERMANY,42562,3111,4445,50118,18306,490,34587,185203,6542,226332,27726,0,56960,8576,12298,77834,,60284,1571
,ITALY,10203,401,1902,12506,9853,78,17522,909,11028,29459,17277,0,6144,1782,1005,8931,,6399,297
,JAPAN,85255,36344,3377,124976,63763,31813,28012,136993,2583,167588,27847,0,12419,92720,4656,109795,,11770,634
,LUXEMBOURG,1527,306,51,1884,2911,147,519,14650,32,15201,577,0,63913,2128,6057,72098,,64731,1373
,NETHERLANDS,11381,51,4259,15691,7513,3,4821,11811,748,17380,4242,34,12935,358,1102,14395,,13783,34
,SWEDEN,9584,20,145,9749,9461,0,2896,791,100,3787,2824,0,4981,11,387,5379,,5660,3
,SWITZERLAND,52793,270,1343,54406,5569,131,5174,28683,55,33912,757,11,8921,5104,761,14786,,6470,4915
,UNITED KINGDOM,42607,31884,7957,82448,65235,33960,6757,215880,14631,237268,4877,10461,47137,141384,20622,209143,,46882,34177
,Total,343567,86126,34104,463797,263158,68581,148996,684097,39386,872479,131560,11300,393052,266506,52931,712489,,396908,44770
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,10887,8280,1762,20929,10912,187,2070,55580,290,57940,2065,582,11534,25278,2131,38943,,11436,1170
,AUSTRIA,1238,1,144,1383,1187,0,5313,2,121,5436,5270,0,288,3,75,366,,228,1
,CYPRUS,31,0,7,38,31,0,58,0,0,58,58,0,2507,0,153,2660,,2113,0
,DENMARK,2703,6,593,3302,1782,0,1672,399,114,2185,892,2,1174,7,891,2072,,1219,1
,FINLAND,1782,21,144,1947,1657,0,3484,3,119,3606,3238,0,1294,2,155,1451,,1295,0
,GREECE,1281,0,612,1893,1289,0,459,11,505,975,459,0,147,56,0,203,,147,0
,IRELAND,1399,1003,80,2482,5085,397,1780,12021,1,13802,1795,67,75991,5361,3093,84445,,87682,2364
,ISRAEL,1875,30,289,2194,1887,7,3368,2471,228,6067,3367,16,2376,31,105,2512,,2502,0
,NEW ZEALAND,1043,530,56,1629,1281,1,752,1357,207,2316,751,0,823,7,160,990,,916,0
,NORWAY,3641,2,70,3713,3612,1,10771,50,51,10872,9911,0,1260,6,62,1328,,1251,2
,PORTUGAL,869,3,12,884,859,0,1450,2,35,1487,1442,0,98,5,4,107,,96,5
,SLOVAKIA,94,5,0,99,92,0,851,57,3,911,851,0,9,12,0,21,,9,0
,SPAIN,4024,285,2353,6662,3732,1,14363,446,478,15287,14137,0,5441,144,177,5762,,5469,0
,OTHER NON G-10 DEV.,216,0,39,255,326,0,36101,0,34,36135,36101,0,697,0,7,704,,875,0
,Total,31083,10166,6161,47410,33732,594,82492,72399,2186,157077,80337,667,103639,30912,7013,141564,,115238,3543
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,95,1,2,98,105,0,7,514,0,521,7,236,2,0,0,2,,2,0
,CZECH REPUBLIC,2988,3,45,3036,3057,0,373,3237,79,3689,373,0,95,31,1,127,,95,0
,HUNGARY,216,30,38,284,398,8,601,1023,3,1627,599,1,106,23,3,132,,106,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,879,1052,52,1983,870,166,706,6777,0,7483,697,435,1041,479,662,2182,,1043,12
,ROMANIA,22,30,9,61,75,0,413,1623,4,2040,413,160,74,58,0,132,,74,2
,RUSSIA,1083,874,169,2126,1058,368,2147,2979,0,5126,2145,2,307,2200,18,2525,,308,660
,TURKEY,5188,60,379,5627,4762,36,955,1082,17,2054,934,354,459,95,4,558,,694,50
,OTHER E. EUROPE,269,4,3,276,291,1,1543,801,0,2344,1678,0,157,0,0,157,,7,0
,Total,10740,2054,697,13491,10616,579,6745,18036,103,24884,6846,1188,2241,2886,688,5815,,2329,724
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,22,0,0,22,77,0,0,0,1,1,0,0,334,0,36,370,,1172,0
,ARGENTINA,349,223,0,572,416,24,232,4175,9,4416,225,376,38,61,0,99,,39,0
,BRAZIL,10302,6005,228,16535,5200,240,12584,27553,10,40147,12395,882,2978,3464,581,7023,,2402,0
,CHILE,3823,20,230,4073,3710,3,304,767,0,1071,301,0,958,2028,234,3220,,1015,0
,COLOMBIA,1517,56,71,1644,1462,3,287,1947,11,2245,277,0,242,632,178,1052,,443,0
,COSTA RICA,124,179,0,303,141,74,24,848,0,872,23,172,50,1,1,52,,41,0
,DOMINICAN REPUBLIC,251,3,0,254,431,0,83,242,1,326,95,40,23,6,0,29,,27,2
,ECUADOR,81,44,4,129,101,41,39,200,0,239,39,200,6,0,0,6,,33,0
,EL SALVADOR,169,20,0,189,202,20,45,143,0,188,45,143,0,0,0,0,,3,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,925,8,0,933,965,0,28,491,2,521,25,64,3,0,0,3,,10,0
,HONDURAS,691,1,0,692,754,0,11,178,0,189,11,35,15,0,0,15,,15,0
,MEXICO,1442,4926,578,6946,1566,566,2151,29870,605,32626,1786,282,2167,9150,415,11732,,2675,430
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,1371,13,41,1425,1418,6,388,1303,10,1701,386,273,136,29,7,172,,127,0
,URUGUAY,232,7,0,239,232,0,281,552,12,845,281,230,213,4,13,230,,231,2
,VENEZUELA,7,0,0,7,2,0,17,0,0,17,15,0,1,0,0,1,,5,0
,OTHER LAT. AM. & CAR.,163,111,12,286,255,28,64,691,1,756,130,118,34992,9,1137,36138,,43323,8
,Total,21469,11616,1164,34249,16932,1005,16538,68960,662,86160,16034,2815,42156,15384,2602,60142,,51561,442
,,,,,,,,,,,,,,,,,,,,
