,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2021
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,3930,65,3995,307,147,454,226,4675,3569,104,3673,2,,18,20
,CANADA,26686,3079,29765,22587,8287,30874,2373,63012,22362,2779,25141,7228,,47,7275
,FRANCE,26376,217,26593,2397,1465,3862,1939,32394,24612,286,24898,516,,14,530
,GERMANY,30593,832,31425,4631,899,5530,5492,42447,26400,1778,28178,30,,88,118
,ITALY,8823,301,9124,4400,1834,6234,1122,16480,7930,292,8222,305,,37,342
,JAPAN,18649,432,19081,24001,3015,27016,1776,47873,15320,373,15693,2190,,0,2190
,LUXEMBOURG,17530,43,17573,1456,26,1482,1249,20304,33554,44,33598,121,,0,121
,NETHERLANDS,22997,101,23098,148,139,287,2046,25431,24942,144,25086,39,,0,39
,SWEDEN,7439,414,7853,43,104,147,257,8257,7438,416,7854,1,,0,1
,SWITZERLAND,16885,482,17367,732,1659,2391,1761,21519,16233,551,16784,634,,1253,1887
,UNITED KINGDOM,30831,5651,36482,52185,12103,64288,10101,110871,27879,5379,33258,17374,,1067,18441
,Total,210739,11617,222356,112887,29678,142565,28342,393263,210239,12146,222385,28440,,2524,30964
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,6168,321,6489,16461,10629,27090,1169,34748,5433,370,5803,1615,,0,1615
,AUSTRIA,1502,22,1524,39,37,76,290,1890,1755,68,1823,0,,0,0
,CYPRUS,1132,129,1261,0,0,0,86,1347,1077,103,1180,0,,0,0
,DENMARK,3032,19,3051,6,0,6,668,3725,2878,19,2897,0,,0,0
,FINLAND,3218,2,3220,9,55,64,91,3375,3005,3,3008,0,,0,0
,GREECE,885,90,975,105,0,105,51,1131,952,89,1041,0,,0,0
,IRELAND,16089,85,16174,1597,25,1622,661,18457,15607,99,15706,332,,23,355
,ISRAEL,4904,423,5327,187,0,187,495,6009,4430,504,4934,130,,0,130
,NEW ZEALAND,1248,26,1274,293,106,399,67,1740,1279,27,1306,11,,0,11
,NORWAY,4188,247,4435,10,0,10,262,4707,4133,645,4778,0,,0,0
,PORTUGAL,1261,83,1344,12,0,12,721,2077,1324,96,1420,0,,0,0
,SLOVAKIA,166,2,168,113,0,113,225,506,218,2,220,6,,0,6
,SPAIN,13570,893,14463,662,231,893,3663,19019,12874,887,13761,128,,2,130
,OTHER NON G-10 DEV.,303,308,611,2,0,2,17,630,349,286,635,0,,0,0
,Total,57666,2650,60316,19496,11083,30579,8466,99361,55314,3198,58512,2222,,25,2247
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,72,7,79,91,0,91,26,196,91,7,98,40,,0,40
,CZECH REPUBLIC,757,12,769,500,0,500,78,1347,781,5,786,321,,0,321
,HUNGARY,296,11,307,235,0,235,80,622,304,11,315,257,,0,257
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,1085,33,1118,2111,1230,3341,914,5373,1082,33,1115,514,,13,527
,ROMANIA,112,12,124,251,0,251,5,380,188,12,200,160,,0,160
,RUSSIA,4002,127,4129,1356,661,2017,89,6235,3801,98,3899,360,,2,362
,TURKEY,2743,112,2855,608,0,608,85,3548,2886,142,3028,328,,0,328
,OTHER E. EUROPE,217,108,325,126,0,126,104,555,186,56,242,107,,0,107
,Total,9284,422,9706,5278,1891,7169,1381,18256,9319,364,9683,2087,,15,2102
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,59,1,60,0,0,0,2,62,61,1,62,0,,0,0
,ARGENTINA,520,321,841,956,193,1149,21,2011,944,430,1374,218,,16,234
,BRAZIL,16181,2028,18209,6178,7,6185,1500,25894,18019,2134,20153,2215,,0,2215
,CHILE,2077,410,2487,25,0,25,362,2874,2392,281,2673,96,,0,96
,COLOMBIA,2056,329,2385,498,0,498,65,2948,2383,231,2614,3,,0,3
,COSTA RICA,128,38,166,22,0,22,11,199,312,58,370,0,,0,0
,DOMINICAN REPUBLIC,244,148,392,43,0,43,8,443,457,178,635,4,,0,4
,ECUADOR,119,185,304,222,0,222,1,527,638,240,878,263,,0,263
,EL SALVADOR,150,46,196,18,0,18,0,214,188,81,269,19,,0,19
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,326,98,424,6,0,6,8,438,444,169,613,0,,0,0
,HONDURAS,57,38,95,8,0,8,2,105,116,67,183,2,,0,2
,MEXICO,14201,4249,18450,13169,14315,27484,942,46876,15948,5087,21035,4445,,97,4542
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,1159,312,1471,306,0,306,58,1835,1133,486,1619,192,,0,192
,URUGUAY,245,86,331,66,0,66,21,418,612,137,749,46,,0,46
,VENEZUELA,24,884,908,0,0,0,0,908,171,1257,1428,0,,0,0
