,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2021
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,1827,8569,346,8223,12,10408,,871,2,8,4,4,,0,11
,CANADA,55679,22692,3297,19395,814,79185,,35547,4570,484,890,54,,471,64
,FRANCE,18849,1626,31,1595,787,21262,,694,576,53,114,2,,62,234
,GERMANY,44568,24170,25,24145,371,69109,,2121,257,46,84,8,,46,34
,ITALY,2100,1713,0,1713,0,3813,,913,81,12,11,1,,0,15
,JAPAN,32330,18557,3768,14789,110,50997,,8137,162,60,54,60,,54,76
,LUXEMBOURG,8517,6898,111,6787,207,15622,,3235,48,7,13,0,,0,18
,NETHERLANDS,7203,4513,33,4480,162,11878,,2551,163,53,96,7,,49,25
,SWEDEN,5092,153,0,153,0,5245,,1746,71,4,4,0,,0,0
,SWITZERLAND,56447,314,0,314,327,57088,,601,169,9,18,2,,11,24
,UNITED KINGDOM,69981,72019,12884,59135,2837,144837,,51309,1260,86,843,19,,760,230
,Total,302593,161224,20495,140729,5627,469444,,107725,7359,822,2131,157,,1453,731
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,7266,10079,66,10013,252,17597,,6701,195,4,0,4,,0,83
,AUSTRIA,1597,79,0,79,0,1676,,31,2,2,2,0,,0,5
,CYPRUS,12,0,0,0,0,12,,0,0,0,0,0,,0,2
,DENMARK,946,5,0,5,20,971,,183,3,4,4,0,,0,0
,FINLAND,1741,65,0,65,0,1806,,17,1,4,4,0,,0,12
,GREECE,24,0,0,0,0,24,,0,0,0,0,0,,0,0
,IRELAND,10323,8415,61,8354,352,19090,,3419,28,79,102,8,,29,61
,ISRAEL,2717,1,0,1,1,2719,,694,83,3,5,0,,2,56
,NEW ZEALAND,574,283,0,283,24,881,,470,0,0,0,0,,0,0
,NORWAY,2849,18,2,16,18,2885,,93,0,5,4,1,,0,0
,PORTUGAL,207,8,0,8,0,215,,12,11,0,0,0,,0,10
,SLOVAKIA,7,0,0,0,0,7,,8,0,0,0,0,,0,0
,SPAIN,2756,523,13,510,283,3562,,196,316,9,15,2,,5,101
,OTHER NON G-10 DEV.,286,0,0,0,2,288,,0,6,0,0,0,,0,0
,Total,31305,19476,142,19334,952,51733,,11824,645,110,136,15,,36,330
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,4,0,0,0,0,4,,33,0,0,0,0,,0,0
,CZECH REPUBLIC,70,0,0,0,0,70,,34,0,0,0,0,,0,0
,HUNGARY,38,25,5,20,31,94,,47,0,0,0,0,,0,0
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,214,103,2,101,0,317,,25,0,0,0,0,,0,0
,ROMANIA,26,0,0,0,0,26,,35,1,0,0,0,,0,0
,RUSSIA,446,32,0,32,0,478,,277,12,59,59,59,,59,12
,TURKEY,150,0,0,0,0,150,,88,3,7,7,7,,7,20
,OTHER E. EUROPE,36,0,0,0,0,36,,102,5,0,0,0,,0,0
,Total,984,160,7,153,31,1175,,641,21,66,66,66,,66,32
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,286,0,0,0,1,287,,60,7,0,0,0,,0,40
,ARGENTINA,375,838,211,627,3,1216,,303,27,0,0,0,,0,0
,BRAZIL,4510,730,238,492,12,5252,,955,96,523,688,523,,688,983
,CHILE,1137,16,2,14,42,1195,,73,22,7,11,7,,11,395
,COLOMBIA,768,0,0,0,9,777,,41,6,61,66,61,,66,32
,COSTA RICA,83,0,0,0,0,83,,1,9,0,0,0,,0,12
,DOMINICAN REPUBLIC,90,0,0,0,0,90,,3,1,0,0,0,,0,0
,ECUADOR,228,3,0,3,0,231,,9,48,0,0,0,,0,56
,EL SALVADOR,72,0,0,0,0,72,,4,1,0,0,0,,0,13
,FRENCH GUIANA,0,0,0,0,0,0,,1,0,0,0,0,,0,0
,GUATEMALA,227,0,0,0,0,227,,6,0,0,0,0,,0,67
,HONDURAS,52,0,0,0,1,53,,2,1,0,0,0,,0,0
,MEXICO,3761,3653,92,3561,98,7512,,1902,229,752,722,751,,721,42
,MONTSERRAT,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,PERU,648,0,0,0,0,648,,55,2,33,30,33,,30,17
