,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2021
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,1710,346,1352,8223,10279,240,357,10396
,CANADA,53448,3305,37769,19410,76163,3066,5281,78371
,FRANCE,16142,0,11051,1588,17730,818,3565,20475
,GERMANY,18924,1401,9710,22778,43103,3191,28830,68738
,ITALY,1740,0,572,1727,3467,34,383,3813
,JAPAN,21139,3757,21483,13687,38583,1532,13839,50887
,LUXEMBOURG,7709,175,4245,6760,14644,1381,2152,15415
,NETHERLANDS,6772,36,1927,4486,11294,1152,1579,11716
,SWEDEN,4351,2,2824,151,4504,165,907,5245
,SWITZERLAND,3374,12,2433,303,3689,173,57715,56761
,UNITED KINGDOM,91784,12962,81398,59516,164262,36851,14658,142000
,Total,227093,21996,174764,138629,387718,48603,129266,463817
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,7260,93,3999,10283,17636,1147,889,17345
,AUSTRIA,1591,0,588,89,1680,41,37,1676
,CYPRUS,12,0,5,0,12,0,0,12
,DENMARK,1066,0,564,5,1071,521,403,951
,FINLAND,1570,0,538,65,1635,54,224,1806
,GREECE,30,0,25,0,30,20,14,24
,IRELAND,21049,129,18229,8077,29255,12396,1880,18738
,ISRAEL,2511,0,1749,1,2512,101,308,2718
,NEW ZEALAND,826,1,499,299,1126,287,20,857
,NORWAY,2634,3,903,34,2671,651,847,2867
,PORTUGAL,252,5,89,3,260,52,7,215
,SLOVAKIA,8,0,6,0,8,3,2,7
,SPAIN,2542,14,1252,509,3065,246,461,3279
,OTHER NON G-10 DEV.,313,0,77,0,313,38,11,286
,Total,41664,245,28523,19365,61274,15557,5103,50781
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,8,0,5,0,8,4,0,4
,CZECH REPUBLIC,122,0,119,0,122,60,8,70
,HUNGARY,158,5,132,21,184,125,4,63
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,232,1,219,159,392,113,38,317
,ROMANIA,46,0,45,0,46,32,12,26
,RUSSIA,468,0,244,32,500,90,69,478
,TURKEY,212,0,74,0,212,89,31,150
,OTHER E. EUROPE,74,0,62,0,74,45,7,36
,Total,1320,6,900,212,1538,558,169,1144
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,304,0,302,0,304,56,38,286
,ARGENTINA,597,211,314,655,1463,410,170,1213
,BRAZIL,4474,265,3293,491,5230,1208,1243,5240
,CHILE,1476,3,880,14,1493,429,89,1153
,COLOMBIA,836,0,486,0,836,235,173,768
,COSTA RICA,196,0,156,0,196,141,32,83
,DOMINICAN REPUBLIC,445,0,207,0,445,172,7,90
,ECUADOR,397,0,200,3,400,233,75,231
,EL SALVADOR,146,0,127,0,146,74,2,72
,FRENCH GUIANA,0,0,0,0,0,0,0,0
