,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2021
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,2657,2788,5445,1056,17429,,281,33,3,7,0,0,,7
,CANADA,2950,5041,7991,7019,8902,,22743,1446,218,12076,789,1292,,11841
,FRANCE,11,361,372,506,866,,5253,209,29,5884,0,3667,,5884
,GERMANY,860,4722,5582,6159,17749,,10172,286,36,19511,0,1198,,19511
,ITALY,2,761,763,2107,890,,1459,230,14,0,0,0,,0
,JAPAN,40,5403,5443,5582,11293,,6918,676,44,13051,0,3926,,13051
,LUXEMBOURG,13055,7228,20283,20425,-11125,,376,324,1,960,1,66,,894
,NETHERLANDS,2315,2333,4648,6820,957,,4433,374,24,46,0,15,,31
,SWEDEN,7,55,62,2193,79,,2095,86,45,1,0,0,,1
,SWITZERLAND,12,28,40,442,298,,743,596,114,446,0,3,,446
,UNITED KINGDOM,82645,56687,139332,60750,-35655,,9663,973,136,30589,279,4574,,30567
,Total,104554,85407,189961,113059,11683,,64136,5233,664,82571,1069,14741,,82233
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,5760,6706,12466,12579,-84,,4530,277,42,18,2,7,,13
,AUSTRIA,0,57,57,250,28,,1365,1,0,0,0,0,,0
,CYPRUS,0,0,0,23,0,,0,0,0,0,0,0,,0
,DENMARK,10,3,13,2836,3,,561,21,4,0,0,0,,0
,FINLAND,0,2,2,651,53,,1387,29,20,2,0,0,,2
,GREECE,0,0,0,74,1,,0,11,0,0,0,0,,0
,IRELAND,6858,9263,16121,35175,-7782,,533,516,52,3334,0,201,,3145
,ISRAEL,0,13,13,171,-3,,306,66,0,0,0,0,,0
,NEW ZEALAND,1,33,34,826,244,,191,26,0,3,0,0,,3
,NORWAY,17,120,137,1387,-70,,2003,38,17,138,0,58,,138
,PORTUGAL,0,0,0,126,0,,0,1,0,0,0,0,,0
,SLOVAKIA,0,0,0,0,0,,0,3,0,0,0,0,,0
,SPAIN,70,237,307,585,688,,1165,147,53,4,0,0,,4
,OTHER NON G-10 DEV.,0,0,0,78,0,,13,0,0,0,0,0,,0
,Total,12716,16434,29150,54761,-6922,,12054,1136,188,3499,2,266,,3305
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,0,0,0,76,0,,0,0,0,0,0,0,,0
,CZECH REPUBLIC,1,0,1,14,0,,0,0,0,0,0,0,,0
,HUNGARY,15,0,15,7,261,,0,0,0,0,0,0,,0
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,0,107,107,128,63,,3,0,0,0,0,0,,0
,ROMANIA,0,0,0,1,0,,1,0,0,0,0,0,,0
,RUSSIA,0,3,3,248,51,,6,0,0,0,0,0,,0
,TURKEY,0,0,0,288,0,,15,0,0,0,0,0,,0
,OTHER E. EUROPE,0,0,0,419,0,,1,0,0,0,0,0,,0
,Total,16,110,126,1181,375,,26,0,0,0,0,0,,0
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,3,0,3,148,0,,0,0,0,206,2,0,,206
,ARGENTINA,184,408,592,599,676,,2,12,0,9,9,9,,0
,BRAZIL,0,397,397,413,31,,312,224,8,0,0,0,,0
,CHILE,4,4,8,17,155,,355,28,6,0,0,0,,0
,COLOMBIA,0,0,0,1,1,,47,17,2,0,0,0,,0
,COSTA RICA,0,0,0,0,0,,0,2,0,0,0,0,,0
,DOMINICAN REPUBLIC,0,0,0,0,12,,0,10,2,0,0,0,,0
,ECUADOR,0,0,0,3,69,,0,0,0,0,0,0,,0
