,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2021
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,1121,645,0,1766,1141,346,249,7816,12,8077,71,0,61,12,0,73,,101,0
,CANADA,18215,6276,305,24796,16900,856,11976,1786,16,13778,11976,772,13117,1000,155,14272,,13419,73
,FRANCE,12317,15,383,12715,10492,0,2797,560,1,3358,1973,0,2352,12,403,2767,,2196,0
,GERMANY,31088,59,363,31510,7138,12,8578,21348,2,29928,7178,0,1166,1602,2,2770,,883,1383
,ITALY,516,86,0,602,238,0,1404,239,0,1643,1404,0,33,1,0,34,,33,0
,JAPAN,19650,4935,52,24637,9855,3754,5903,8213,1,14117,5903,0,4984,228,48,5260,,4343,3
,LUXEMBOURG,219,135,1,355,310,47,116,6480,0,6596,107,0,5833,228,101,6162,,4338,123
,NETHERLANDS,1673,31,31,1735,1531,3,1590,4154,5,5749,1282,19,938,127,2,1067,,695,14
,SWEDEN,2100,15,0,2115,1233,0,1713,10,0,1723,1833,0,609,2,0,611,,615,2
,SWITZERLAND,47323,92,109,47524,1292,2,4381,0,0,4381,99,0,2481,222,179,2882,,764,10
,UNITED KINGDOM,37074,6379,2138,45591,60530,9137,3164,34415,0,37579,1493,8,20719,17796,611,39126,,20883,2705
,Total,171296,18668,3382,193346,110660,14157,41871,85021,37,126929,33319,799,52293,21230,1501,75024,,48270,4313
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,4822,824,85,5731,4976,35,321,3909,0,4230,316,0,419,107,128,654,,473,3
,AUSTRIA,342,1,0,343,337,0,1087,2,0,1089,1087,0,14,1,0,15,,3,0
,CYPRUS,2,0,0,2,2,0,0,0,0,0,0,0,2,0,0,2,,2,0
,DENMARK,140,0,19,159,642,0,424,0,0,424,111,0,239,0,1,240,,193,0
,FINLAND,350,3,0,353,292,0,1018,0,0,1018,862,0,343,0,0,343,,342,0
,GREECE,4,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,,0,0
,IRELAND,242,149,1,392,3980,17,232,7844,1,8077,231,0,6549,388,189,7126,,13611,105
,ISRAEL,670,0,1,671,670,0,307,1,0,308,304,0,886,0,0,886,,885,0
,NEW ZEALAND,283,19,0,302,436,1,4,6,0,10,3,0,31,0,24,55,,51,0
,NORWAY,887,2,7,896,1309,1,1065,2,0,1067,495,0,613,4,11,628,,617,2
,PORTUGAL,1,3,0,4,4,0,151,0,0,151,151,0,6,5,0,11,,5,5
,SLOVAKIA,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SPAIN,845,215,279,1339,465,0,1067,56,0,1123,1067,0,245,0,0,245,,239,0
,OTHER NON G-10 DEV.,3,0,0,3,3,0,0,0,0,0,0,0,101,0,2,103,,108,0
,Total,8593,1216,392,10201,13119,54,5676,11820,1,17497,4627,0,9448,505,355,10308,,16529,115
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,0,0
,CZECH REPUBLIC,59,0,0,59,113,0,0,0,0,0,0,0,0,0,0,0,,0,0
,HUNGARY,31,23,0,54,120,5,0,0,0,0,0,0,0,0,0,0,,0,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,183,54,0,237,168,0,3,2,0,5,3,0,1,8,0,9,,1,1
,ROMANIA,10,0,0,10,29,0,1,0,0,1,1,0,0,0,0,0,,0,0
,RUSSIA,136,6,0,142,83,0,6,2,0,8,6,0,226,0,0,226,,226,0
,TURKEY,39,0,0,39,40,0,8,0,0,8,0,0,5,0,0,5,,1,0
,OTHER E. EUROPE,20,0,0,20,32,0,1,0,0,1,1,0,3,0,0,3,,0,0
,Total,479,83,0,562,587,5,19,4,0,23,11,0,235,8,0,243,,228,1
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,22,0,0,22,77,0,0,0,1,1,0,0,263,0,0,263,,225,0
,ARGENTINA,4,151,0,155,77,14,7,56,0,63,0,2,3,1,0,4,,1,0
,BRAZIL,2261,604,0,2865,2143,238,216,126,0,342,173,0,358,0,0,358,,240,0
,CHILE,487,8,4,499,441,3,77,2,0,79,76,0,118,0,0,118,,145,0
,COLOMBIA,330,0,6,336,332,0,16,0,0,16,10,0,14,0,0,14,,14,0
,COSTA RICA,24,0,0,24,46,0,2,0,0,2,1,0,0,0,0,0,,0,0
,DOMINICAN REPUBLIC,36,0,0,36,216,0,8,0,0,8,8,0,0,0,0,0,,0,0
,ECUADOR,31,3,0,34,46,0,1,0,0,1,0,0,1,0,0,1,,1,0
,EL SALVADOR,59,0,0,59,92,0,0,0,0,0,0,0,0,0,0,0,,0,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,127,0,0,127,135,0,3,0,0,3,0,0,1,0,0,1,,2,0
,HONDURAS,24,0,0,24,85,0,0,0,0,0,0,0,0,0,0,0,,0,0
,MEXICO,280,299,0,579,232,0,494,775,1,1270,490,1,71,147,6,224,,110,0
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,69,0,0,69,62,0,68,0,0,68,67,0,19,0,0,19,,19,0
,URUGUAY,1,0,0,1,1,0,18,0,0,18,18,0,3,0,11,14,,4,0
,VENEZUELA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,,0,0
,OTHER LAT. AM. & CAR.,20,5,0,25,83,5,9,0,0,9,75,0,284,0,0,284,,364,0
,Total,3775,1070,10,4855,4069,260,919,959,2,1880,918,3,1136,148,17,1301,,1125,0
,,,,,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,,,,,
,CHINA-MAINLAND,4828,596,12,5436,2060,253,528,342,16,886,522,43,88,393,1,482,,62,18
,INDIA,93,491,0,584,1179,7,26,694,0,720,14,9,6,2,0,8,,7,0
,INDONESIA,234,0,0,234,510,0,15,3,1,19,15,1,1,0,0,1,,1,0
