,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2021
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,392,4,396,25,71,96,0,492,383,14,397,0,,0,0
,CANADA,9896,2475,12371,6059,7571,13630,337,26338,8757,2396,11153,1557,,47,1604
,FRANCE,1290,93,1383,469,570,1039,1,2423,1407,74,1481,0,,0,0
,GERMANY,3155,581,3736,601,560,1161,4,4901,3142,583,3725,6,,0,6
,ITALY,113,34,147,528,859,1387,0,1534,40,25,65,0,,0,0
,JAPAN,1561,232,1793,2167,3014,5181,9,6983,816,222,1038,0,,0,0
,LUXEMBOURG,2313,36,2349,55,0,55,105,2509,2918,36,2954,5,,0,5
,NETHERLANDS,2992,10,3002,80,121,201,124,3327,3245,19,3264,0,,0,0
,SWEDEN,318,352,670,22,104,126,0,796,322,348,670,0,,0,0
,SWITZERLAND,2063,199,2262,0,0,0,39,2301,951,268,1219,0,,0,0
,UNITED KINGDOM,7849,1175,9024,5476,7953,13429,88,22541,7648,1230,8878,1111,,1,1112
,Total,31942,5191,37133,15482,20823,36305,707,74145,29629,5215,34844,2679,,48,2727
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,1603,101,1704,3435,1804,5239,39,6982,1393,102,1495,55,,0,55
,AUSTRIA,149,5,154,38,37,75,0,229,146,18,164,0,,0,0
,CYPRUS,0,8,8,0,0,0,0,8,0,8,8,0,,0,0
,DENMARK,129,14,143,5,0,5,0,148,107,13,120,0,,0,0
,FINLAND,29,1,30,7,55,62,0,92,73,1,74,0,,0,0
,GREECE,14,6,20,0,0,0,0,20,21,6,27,0,,0,0
,IRELAND,3278,22,3300,34,0,34,161,3495,3205,22,3227,7,,0,7
,ISRAEL,625,229,854,0,0,0,0,854,419,233,652,0,,0,0
,NEW ZEALAND,248,8,256,152,106,258,0,514,327,9,336,0,,0,0
,NORWAY,229,55,284,10,0,10,0,294,161,52,213,0,,0,0
,PORTUGAL,15,34,49,0,0,0,0,49,45,47,92,0,,0,0
,SLOVAKIA,3,2,5,0,0,0,0,5,6,2,8,0,,0,0
,SPAIN,237,362,599,128,124,252,4,855,372,399,771,12,,2,14
,OTHER NON G-10 DEV.,119,63,182,0,0,0,0,182,140,62,202,0,,0,0
,Total,6678,910,7588,3809,2126,5935,204,13727,6415,974,7389,74,,2,76
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,0,3,3,0,0,0,0,3,3,3,6,0,,0,0
,CZECH REPUBLIC,2,9,11,0,0,0,0,11,7,2,9,0,,0,0
,HUNGARY,0,7,7,2,0,2,31,40,31,7,38,0,,0,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,24,3,27,39,0,39,0,66,57,3,60,0,,0,0
,ROMANIA,12,3,15,0,0,0,0,15,13,3,16,0,,0,0
,RUSSIA,66,12,78,24,0,24,0,102,144,9,153,0,,0,0
,TURKEY,38,60,98,0,0,0,0,98,116,55,171,0,,0,0
,OTHER E. EUROPE,5,7,12,0,0,0,0,12,34,7,41,0,,0,0
,Total,147,104,251,65,0,65,31,347,405,89,494,0,,0,0
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,1,0,1,0,0,0,0,1,2,0,2,0,,0,0
,ARGENTINA,115,246,361,438,192,630,3,994,298,221,519,179,,16,195
,BRAZIL,690,985,1675,0,0,0,12,1687,805,1113,1918,27,,0,27
,CHILE,374,81,455,6,0,6,38,499,700,114,814,0,,0,0
,COLOMBIA,164,244,408,0,0,0,3,411,350,130,480,0,,0,0
