,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2021
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,16167,1302,30,1272,895,18364,,4607,225,12839,14260,4954,,6376,168
,CANADA,97004,56660,6867,49793,7722,161386,,53790,12302,23366,25339,9658,,11630,399
,FRANCE,186832,61700,835,60865,14643,263175,,246581,5111,199354,211408,70402,,82455,392
,GERMANY,120966,178250,929,177321,28406,327622,,71007,4134,151294,160212,53932,,62849,910
,ITALY,40893,7613,718,6895,15057,63563,,5908,1405,148092,154572,37176,,43656,229
,JAPAN,112437,274516,30513,244003,12282,399235,,47391,7265,76299,78884,30813,,33397,193
,LUXEMBOURG,75015,11668,1510,10158,7182,93865,,33117,3361,23127,25555,9910,,12339,792
,NETHERLANDS,45032,7994,71,7923,7993,61019,,32921,3950,108069,115508,39158,,46598,675
,SWEDEN,20222,816,1,815,889,21927,,7899,302,22690,24293,8775,,10379,24
,SWITZERLAND,27808,36134,6847,29287,3593,67535,,18345,5848,52076,54179,20393,,22545,1330
,UNITED KINGDOM,63002,381417,81268,300149,50474,494893,,98548,12070,251092,263538,89894,,102306,1454
,Total,805378,1018070,129589,888481,149136,1972584,,620114,55973,1068298,1127748,375065,,434530,6566
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,23714,106149,3207,102942,5100,134963,,30606,2843,22834,22503,11941,,11613,99
,AUSTRIA,6766,3,1,2,630,7399,,1518,67,5432,6175,2193,,2937,12
,CYPRUS,3845,0,0,0,246,4091,,115,150,4,4,0,,0,29
,DENMARK,7654,413,3,410,2246,10313,,4039,99,12927,14005,4877,,5955,99
,FINLAND,8039,25,0,25,509,8573,,2233,321,11823,12984,4399,,5560,27
,GREECE,2838,172,0,172,1168,4178,,43,481,5998,6495,2168,,2665,0
,IRELAND,85021,11592,2893,8699,3483,100096,,22905,4907,8936,8875,4559,,4496,323
,ISRAEL,10229,2718,146,2572,1116,14063,,1467,494,1934,1920,1156,,1142,50
,NEW ZEALAND,3318,2010,11,1999,466,5794,,614,65,223,239,153,,169,3
,NORWAY,17258,50,0,50,427,17735,,3965,218,8841,9602,3008,,3768,43
,PORTUGAL,3554,14,0,14,772,4340,,787,32,5987,5091,3477,,2579,3
,SLOVAKIA,1115,187,6,181,228,1530,,64,51,87,139,62,,114,3
,SPAIN,35535,1245,177,1068,6388,43168,,13185,1582,58158,61673,20868,,24385,447
,OTHER NON G-10 DEV.,37339,2,0,2,95,37436,,612,60,355,372,170,,186,0
,Total,246225,124580,6444,118136,22874,393679,,82153,11370,143539,150077,59031,,65569,1138
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,179,606,247,359,28,813,,16,115,61,26,61,,26,3
,CZECH REPUBLIC,4155,3771,278,3493,203,8129,,435,427,2,13,2,,13,6
,HUNGARY,1192,1286,119,1167,93,2571,,453,267,370,358,207,,194,74
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,3530,11546,948,10598,1628,16704,,3508,557,368,496,186,,315,6
,ROMANIA,607,1962,255,1707,18,2587,,72,121,238,275,121,,157,12
