,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2021
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,16402,34,13270,1263,17699,1394,1162,17469
,CANADA,90459,7815,82624,51097,149371,7817,12110,153664
,FRANCE,182460,844,168627,60876,244180,2912,7256,248532
,GERMANY,115570,778,93308,177157,293505,8780,14491,299216
,ITALY,40011,717,35305,7009,47737,722,1491,48506
,JAPAN,97934,30880,104963,243823,372637,2492,16811,386953
,LUXEMBOURG,94108,1466,68893,10042,105616,22983,4054,86683
,NETHERLANDS,43852,74,31305,7924,51850,7649,8824,53026
,SWEDEN,21448,2,18830,815,22265,2796,1570,21038
,SWITZERLAND,26206,6932,28082,29293,62431,4023,5532,63942
,UNITED KINGDOM,58468,84077,97164,302431,444976,24889,24375,444419
,Total,786918,133619,742371,891730,1812267,86457,97676,1823448
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,22956,3461,18634,105377,131794,4659,2730,129863
,AUSTRIA,6917,1,4667,3,6921,662,508,6769
,CYPRUS,3370,0,3042,0,3370,98,574,3845
,DENMARK,5724,3,5293,415,6142,265,2194,8067
,FINLAND,7628,0,6157,24,7652,60,470,8064
,GREECE,2906,0,1969,230,3136,150,25,3010
,IRELAND,89219,3054,60927,8834,101107,7971,3473,96613
,ISRAEL,10179,153,7771,2599,12931,368,386,12947
,NEW ZEALAND,3428,11,2805,2034,5473,257,110,5328
,NORWAY,16918,0,15669,51,16969,599,938,17308
