,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2021
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,133,757,890,17071,598,,1631,5741,944,749,0,584,,749
,CANADA,7797,34499,42296,50364,20909,,8891,20120,2726,46914,0,12255,,46913
,FRANCE,777,29417,30194,100818,74654,,5154,39493,7956,119555,0,63793,,119555
,GERMANY,23004,104362,127366,131418,178408,,9632,39528,7309,50576,0,44763,,50576
,ITALY,1509,12396,13905,55573,-4921,,1285,27069,7193,6176,0,1415,,6176
,JAPAN,6891,63833,70724,105765,216623,,7059,83040,18861,161965,93,107002,,161965
,LUXEMBOURG,79680,45813,125493,100355,-97290,,2843,11115,460,13215,9,1692,,13215
,NETHERLANDS,33792,12182,45974,68245,-38325,,2803,16456,1543,5433,0,2089,,5433
,SWEDEN,39,669,708,14906,103,,301,6828,537,4652,0,3857,,4652
,SWITZERLAND,16978,3234,20212,49781,21427,,10,10227,405,4352,0,1348,,4352
,UNITED KINGDOM,1163903,271937,1435840,307864,128907,,12587,68056,16726,75707,2,56410,,75707
,Total,1334503,579099,1913602,1002160,501093,,52196,327673,64660,489294,104,295208,,489293
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,4973,58373,63346,90638,53227,,9926,27567,3130,16391,0,12825,,16391
,AUSTRIA,93,301,394,7682,-366,,1925,3450,616,462,0,231,,462
,CYPRUS,0,0,0,5281,-1,,0,1169,29,501,0,43,,501
,DENMARK,15,365,380,9568,175,,0,3421,262,1731,0,351,,1731
,FINLAND,0,196,196,6570,-134,,1284,3423,396,627,0,543,,627
,GREECE,32,1178,1210,5173,-966,,0,1549,165,917,0,345,,917
,IRELAND,16136,23444,39580,112382,43904,,12149,16394,905,24694,0,3336,,24694
,ISRAEL,1251,2653,3904,7745,-1100,,382,5520,294,1875,0,948,,1875
,NEW ZEALAND,40,1089,1129,3256,902,,353,1208,96,342,0,49,,342
,NORWAY,1,285,286,5844,-237,,46,2911,240,9694,0,4853,,9694
,PORTUGAL,2,142,144,4143,-118,,14,2435,749,94,0,6,,94
,SLOVAKIA,200,360,560,1512,-157,,0,98,2,862,0,55,,862
,SPAIN,466,2377,2843,32410,-1656,,1228,18082,4550,3792,0,3639,,3792
,OTHER NON G-10 DEV.,1,1,2,7112,4,,0,320,4,20447,0,10584,,20447
,Total,23210,90764,113974,299316,93477,,27307,87547,11438,82429,0,37808,,82429
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,201,398,599,638,43,,38,14,3,90,0,90,,90
,CZECH REPUBLIC,1101,1523,2624,3310,1282,,411,742,131,5104,0,2859,,5104
,HUNGARY,715,1133,1848,3434,-126,,550,754,150,64,0,58,,64
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,3076,8668,11744,13920,2280,,4475,2976,697,823,0,185,,823
,ROMANIA,516,1912,2428,2836,-318,,1160,534,256,66,0,27,,66
,RUSSIA,2403,5855,8258,11557,532,,1472,4093,527,3749,0,1898,,3749
,TURKEY,921,633,1554,4002,404,,389,3413,364,1795,0,1795,,1795
,OTHER E. EUROPE,303,859,1162,4459,-45,,270,916,200,776,0,93,,776
