,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2021
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,3538,61,3599,282,76,358,226,4183,3186,90,3276,2,,18,20
,CANADA,16790,604,17394,16528,716,17244,2036,36674,13605,383,13988,5671,,0,5671
,FRANCE,25086,124,25210,1928,895,2823,1938,29971,23205,212,23417,516,,14,530
,GERMANY,27438,251,27689,4030,339,4369,5488,37546,23258,1195,24453,24,,88,112
,ITALY,8710,267,8977,3872,975,4847,1122,14946,7890,267,8157,305,,37,342
,JAPAN,17088,200,17288,21834,1,21835,1767,40890,14504,151,14655,2190,,0,2190
,LUXEMBOURG,15217,7,15224,1401,26,1427,1144,17795,30636,8,30644,116,,0,116
,NETHERLANDS,20005,91,20096,68,18,86,1922,22104,21697,125,21822,39,,0,39
,SWEDEN,7121,62,7183,21,0,21,257,7461,7116,68,7184,1,,0,1
,SWITZERLAND,14822,283,15105,732,1659,2391,1722,19218,15282,283,15565,634,,1253,1887
,UNITED KINGDOM,22982,4476,27458,46709,4150,50859,10013,88330,20231,4149,24380,16263,,1066,17329
,Total,178797,6426,185223,97405,8855,106260,27635,319118,180610,6931,187541,25761,,2476,28237
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,4565,220,4785,13026,8825,21851,1130,27766,4040,268,4308,1560,,0,1560
,AUSTRIA,1353,17,1370,1,0,1,290,1661,1609,50,1659,0,,0,0
,CYPRUS,1132,121,1253,0,0,0,86,1339,1077,95,1172,0,,0,0
,DENMARK,2903,5,2908,1,0,1,668,3577,2771,6,2777,0,,0,0
,FINLAND,3189,1,3190,2,0,2,91,3283,2932,2,2934,0,,0,0
,GREECE,871,84,955,105,0,105,51,1111,931,83,1014,0,,0,0
,IRELAND,12811,63,12874,1563,25,1588,500,14962,12402,77,12479,325,,23,348
,ISRAEL,4279,194,4473,187,0,187,495,5155,4011,271,4282,130,,0,130
,NEW ZEALAND,1000,18,1018,141,0,141,67,1226,952,18,970,11,,0,11
,NORWAY,3959,192,4151,0,0,0,262,4413,3972,593,4565,0,,0,0
,PORTUGAL,1246,49,1295,12,0,12,721,2028,1279,49,1328,0,,0,0
,SLOVAKIA,163,0,163,113,0,113,225,501,212,0,212,6,,0,6
,SPAIN,13333,531,13864,534,107,641,3659,18164,12502,488,12990,116,,0,116
,OTHER NON G-10 DEV.,184,245,429,2,0,2,17,448,209,224,433,0,,0,0
,Total,50988,1740,52728,15687,8957,24644,8262,85634,48899,2224,51123,2148,,23,2171
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,72,4,76,91,0,91,26,193,88,4,92,40,,0,40
,CZECH REPUBLIC,755,3,758,500,0,500,78,1336,774,3,777,321,,0,321
,HUNGARY,296,4,300,233,0,233,49,582,273,4,277,257,,0,257
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
