,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2022
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,2277,4250,6527,21301,18159,,1658,5893,1246,3655,0,356,,3655
,CANADA,10810,42772,53582,61374,30220,,28346,27982,5331,50384,927,16235,,50148
,FRANCE,724,59491,60215,127807,78168,,10303,38499,11987,158043,6,76975,,158003
,GERMANY,36884,143010,179894,147733,284036,,21104,48758,12137,68897,0,31367,,68897
,ITALY,1617,12739,14356,60775,-4889,,2413,28422,11750,5653,0,1625,,5653
,JAPAN,6641,95537,102178,147643,309468,,12735,111568,24221,221555,2,136310,,221555
,LUXEMBOURG,97704,50828,148532,117211,-113600,,3278,12232,583,11630,0,1650,,11543
,NETHERLANDS,31571,15003,46574,86461,-35726,,6195,18676,3022,6372,0,2212,,6349
,SWEDEN,36,745,781,22430,-76,,2079,11817,668,4150,0,3227,,4150
,SWITZERLAND,15153,3503,18656,57461,23272,,1109,11186,575,7176,9,2843,,7176
,UNITED KINGDOM,1327969,340858,1668827,407513,-206,,22400,78684,19093,112045,285,67570,,112014
,Total,1531386,768736,2300122,1257709,588826,,111620,393717,90613,649560,1229,340370,,649143
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,10859,69207,80066,106327,51101,,14671,28220,3352,20159,0,13451,,20149
,AUSTRIA,158,481,639,7850,-530,,3413,4470,1046,670,0,289,,670
,CYPRUS,0,0,0,5512,0,,0,279,53,1,0,0,,1
,DENMARK,26,362,388,14755,166,,571,4632,251,5878,0,3734,,5878
,FINLAND,0,281,281,10065,-186,,2615,6613,599,5442,0,2566,,5442
,GREECE,99,1037,1136,6184,-911,,0,1697,115,667,0,92,,667
,IRELAND,29473,37626,67099,139855,40808,,13085,17136,1874,23960,0,3624,,23784
,ISRAEL,1960,2693,4653,9140,-584,,584,5684,184,2004,0,993,,2004
,NEW ZEALAND,35,1236,1271,4222,719,,336,1386,106,238,0,124,,238
,NORWAY,2,528,530,10135,-462,,2069,3680,271,15486,0,4797,,15486
,PORTUGAL,4,155,159,3440,-133,,13,2284,679,472,0,28,,472
,SLOVAKIA,200,492,692,1790,-213,,0,169,26,798,0,87,,798
,SPAIN,582,2360,2942,33393,-827,,2297,17533,4085,1075,0,712,,1075
,OTHER NON G-10 DEV.,1,1,2,9156,3,,13,448,5,13708,0,4919,,13708
,Total,43399,116459,159858,361824,88951,,39667,94231,12646,90558,0,35416,,90372
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,183,434,617,686,-1,,27,9,1,74,0,74,,74
,CZECH REPUBLIC,1531,1702,3233,4059,715,,348,1016,343,6852,0,2400,,6852
,HUNGARY,711,1137,1848,3535,27,,534,608,161,563,0,137,,563
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,3311,8899,12210,14830,2442,,5363,2941,483,512,0,202,,512
,ROMANIA,548,1648,2196,2617,-336,,1062,364,161,61,0,27,,61
,RUSSIA,2787,5094,7881,11595,-938,,905,407,5,640,0,634,,640
,TURKEY,734,799,1533,3691,415,,353,3327,232,2094,0,2080,,2094
,OTHER E. EUROPE,455,677,1132,5458,-288,,291,721,129,1207,0,163,,1207
,Total,10260,20390,30650,46471,2036,,8883,9393,1515,12003,0,5717,,12003
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,3,0,3,276,0,,0,0,0,670,1,24,,670
,ARGENTINA,1248,2570,3818,3400,2738,,160,1442,65,1075,9,1075,,1066
,BRAZIL,116,23594,23710,30437,25632,,7163,34266,2556,13443,0,8594,,13443
,CHILE,35,155,190,2026,4552,,334,1699,237,503,0,0,,503
,COLOMBIA,2,2931,2933,2878,701,,1426,1403,103,123,0,123,,123
,COSTA RICA,381,469,850,962,321,,124,29,1,0,0,0,,0
,DOMINICAN REPUBLIC,104,231,335,374,17,,139,126,35,0,0,0,,0
,ECUADOR,542,0,542,494,111,,67,63,26,0,0,0,,0
,EL SALVADOR,206,0,206,200,46,,74,30,6,0,0,0,,0
,FRENCH GUIANA,0,0,0,0,0,,0,0,0,0,0,0,,0
,GUATEMALA,87,315,402,413,103,,248,69,8,0,0,0,,0
,HONDURAS,38,176,214,208,48,,67,16,3,0,0,0,,0
,MEXICO,7231,62662,69893,77032,19733,,19471,8563,1853,6368,0,2310,,6368
,MONTSERRAT,0,0,0,0,0,,0,0,0,0,0,0,,0
,PERU,545,1303,1848,1880,587,,734,559,109,432,0,169,,432
,URUGUAY,2909,186,3095,735,2229,,17,632,12,0,0,0,,0
,VENEZUELA,0,0,0,90,2,,0,12,0,0,0,0,,0
,OTHER LAT. AM. & CAR.,1286,623,1909,48886,504,,388,4518,153,5771,0,1046,,5771
,Total,14733,95215,109948,170291,57324,,30412,53427,5167,28385,10,13341,,28376
,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,
,CHINA-MAINLAND,6768,29906,36674,64903,11846,,8522,65725,770,5848,0,1215,,5847
,INDIA,3924,40509,44433,41807,19073,,12101,22365,1074,5915,0,5332,,5915
,INDONESIA,2278,4371,6649,9284,2053,,1743,4806,407,406,0,331,,406
,"KOREA, SOUTH",4468,26685,31153,51019,22731,,11292,27885,387,27736,0,9879,,27736
,KUWAIT,21,179,200,8318,90,,90,1055,1,15317,0,3865,,15317
,MALAYSIA,4765,7755,12520,16560,3981,,2224,2521,133,3082,0,554,,3082
,PAKISTAN,22,848,870,880,111,,473,184,5,0,0,0,,0
,PHILIPPINES,2846,4186,7032,9198,1347,,803,832,49,1596,0,1039,,1596
,QATAR,36,31,67,6639,-42,,125,1863,133,766,0,511,,766
,SAUDI ARABIA,181,526,707,32923,1514,,364,7835,294,4744,0,1115,,4744
,TAIWAN,12758,14460,27218,49286,6155,,1275,22051,78,25297,0,4392,,25297
,THAILAND,1973,7135,9108,14522,2041,,3471,4205,96,1929,0,1468,,1929
,UNITED ARAB EMIRATES,11709,3931,15640,21749,2194,,2291,2618,207,10816,0,2331,,10816
,WEST BANK AND GAZA,0,0,0,124,0,,0,0,0,0,0,0,,0
,OTHER ASIA AND PACIFIC,5527,3257,8784,19628,-1735,,879,2036,111,657,0,71,,657
,Total,57276,143779,201055,346840,71359,,45653,165981,3745,104109,0,32103,,104108
,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,
,ALGERIA,137,1015,1152,1032,257,,467,69,0,0,0,0,,0
,EGYPT,473,1309,1782,3069,345,,957,3098,91,224,0,224,,224
,GHANA,0,0,0,484,0,,0,269,63,1109,0,0,,1109
,KENYA,423,525,948,1181,46,,358,73,7,0,0,0,,0
,MOROCCO,226,532,758,745,-369,,218,118,17,0,0,0,,0
,NIGERIA,370,1429,1799,6834,645,,452,3051,48,6947,0,121,,6947
,SAINT HELENA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SOUTH AFRICA,827,6879,7706,15663,3427,,2100,6541,326,850,0,481,,850
,SOUTH SUDAN,0,0,0,1,0,,0,0,0,0,0,0,,0
,OTHER AFRICA,1245,1915,3160,9033,110,,581,1635,132,60,0,9,,60
,Total,3701,13604,17305,38042,4461,,5133,14854,684,9190,0,835,,9190
,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,
,BAHAMAS,1747,213,1960,6810,-591,,92,31,2,1962,0,2,,1960
,BAHRAIN,240,289,529,1651,-86,,24,294,41,2068,0,453,,2068
,BERMUDA,690,5,695,16156,1362,,594,9153,684,1308,0,150,,1307
,CAYMAN ISLANDS,20949,29,20978,308226,6461,,119604,42097,1825,158988,140,31482,,158806
,HONG KONG,86466,39101,125567,103535,-9676,,11177,11544,105,7196,13,2049,,7175
,LEBANON,173,110,283,1585,-132,,0,41,2,0,0,0,,0
,MAURITIUS,314,8,322,2228,5688,,0,264,11,1305,0,280,,1305
,PANAMA,1091,23,1114,2434,-350,,493,573,97,124,0,0,,124
,SINGAPORE,83253,28776,112029,110171,18398,,16380,11359,212,53846,0,11161,,53846
,OTHER BANKING CENTERS,37714,3679,41393,29101,-31541,,332,5317,219,4132,0,797,,4132
,Total,232637,72233,304870,581897,-10467,,148696,80673,3198,230929,153,46374,,230723
,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,
,AFRICAN,0,0,0,267,0,,1183,287,7,0,0,0,,0
,ASIAN,0,0,0,434,0,,5622,1209,271,0,0,0,,0
,CARIBBEAN,0,0,0,0,0,,0,0,0,0,0,0,,0
,EUROPEAN,0,0,0,20440,0,,19142,9917,4210,270,0,0,,270
,INTERNATIONAL,0,0,0,2949,0,,11425,3259,694,2483,0,1672,,2483
,LATIN AMERICAN,0,0,0,85,0,,7438,1034,71,0,0,0,,0
,MIDDLE EASTERN,0,0,0,240,0,,0,3,0,0,0,0,,0
,Total,0,0,0,24415,0,,44810,15709,5253,2753,0,1672,,2753
,,,,,,,,,,,,,,,
,UNITED STATES,0,0,0,128121,-801186,,4726737,1133462,129424,1108032,22036,956994,,1094307
,,,,,,,,,,,,,,,
,Grand Total,1893392,1230416,3123808,2955610,1304,,5161611,1961447,252245,2235519,23428,1432822,,2220975
