,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2022
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,3345,62,3407,54,140,194,328,3929,3146,128,3274,0,,4,4
,CANADA,29828,3547,33375,27874,5628,33502,2755,69632,25054,3167,28221,9590,,47,9637
,FRANCE,24831,265,25096,4376,1491,5867,2677,33640,23011,334,23345,447,,10,457
,GERMANY,22748,1005,23753,4059,1001,5060,5041,33854,18664,1559,20223,7471,,97,7568
,ITALY,7638,309,7947,3004,1753,4757,1266,13970,7081,276,7357,144,,61,205
,JAPAN,21698,463,22161,24558,2546,27104,3014,52279,18124,403,18527,1251,,0,1251
,LUXEMBOURG,17036,41,17077,1180,0,1180,1208,19465,28380,47,28427,228,,0,228
,NETHERLANDS,20714,222,20936,428,198,626,3144,24706,23750,257,24007,54,,0,54
,SWEDEN,7518,405,7923,41,101,142,419,8484,7418,414,7832,8,,0,8
,SWITZERLAND,15915,610,16525,666,1531,2197,3338,22060,14669,689,15358,714,,1265,1979
,UNITED KINGDOM,31176,5415,36591,47588,11981,59569,11147,107307,28999,5072,34071,18966,,1853,20819
,Total,202447,12344,214791,113828,26370,140198,34337,389326,198296,12346,210642,38873,,3337,42210
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,7316,372,7688,15009,2139,17148,2115,26951,5962,381,6343,2212,,0,2212
,AUSTRIA,1413,62,1475,42,42,84,88,1647,1805,77,1882,0,,0,0
,CYPRUS,660,150,810,0,0,0,9,819,559,107,666,0,,0,0
,DENMARK,2525,27,2552,12,0,12,971,3535,2391,24,2415,0,,0,0
,FINLAND,2660,7,2667,13,56,69,124,2860,2508,8,2516,0,,0,0
,GREECE,934,90,1024,163,0,163,0,1187,860,90,950,0,,0,0
,IRELAND,16139,115,16254,2032,1,2033,1062,19349,15052,116,15168,595,,0,595
,ISRAEL,4774,344,5118,255,0,255,381,5754,4406,435,4841,143,,0,143
,NEW ZEALAND,1098,36,1134,333,101,434,122,1690,1153,47,1200,10,,0,10
,NORWAY,3821,83,3904,16,0,16,470,4390,3792,85,3877,0,,0,0
,PORTUGAL,749,95,844,5,0,5,1492,2341,818,107,925,0,,0,0
,SLOVAKIA,145,2,147,117,0,117,300,564,170,2,172,2,,0,2
,SPAIN,12147,854,13001,815,173,988,5413,19402,11475,882,12357,166,,23,189
,OTHER NON G-10 DEV.,426,285,711,1,2,3,6,720,431,255,686,0,,0,0
,Total,54807,2522,57329,18813,2514,21327,12553,91209,51382,2616,53998,3128,,23,3151
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,81,9,90,104,0,104,35,229,80,9,89,38,,0,38
,CZECH REPUBLIC,608,18,626,575,0,575,157,1358,651,13,664,410,,0,410
,HUNGARY,346,8,354,264,0,264,78,696,361,8,369,284,,0,284
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,971,35,1006,2292,765,3057,968,5031,1045,32,1077,358,,11,369
,ROMANIA,86,14,100,265,0,265,11,376,200,12,212,159,,0,159
,RUSSIA,942,99,1041,1007,651,1658,137,2836,826,77,903,258,,1,259
,TURKEY,1828,127,1955,502,0,502,90,2547,2206,123,2329,277,,0,277
,OTHER E. EUROPE,520,125,645,70,0,70,125,840,539,76,615,96,,0,96
,Total,5382,435,5817,5079,1416,6495,1601,13913,5908,350,6258,1880,,12,1892
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,38,1,39,0,0,0,3,42,41,1,42,0,,0,0
,ARGENTINA,444,329,773,1259,206,1465,2,2240,980,474,1454,183,,28,211
,BRAZIL,18235,2059,20294,9450,0,9450,2281,32025,18706,2018,20724,1920,,0,1920
,CHILE,2472,370,2842,44,0,44,362,3248,2675,279,2954,8,,0,8
,COLOMBIA,2277,373,2650,491,0,491,121,3262,2717,229,2946,0,,0,0
,COSTA RICA,284,54,338,32,1,33,12,383,281,71,352,6,,0,6
,DOMINICAN REPUBLIC,248,165,413,46,0,46,3,462,511,199,710,6,,0,6
,ECUADOR,170,200,370,297,0,297,1,668,683,269,952,373,,0,373
,EL SALVADOR,137,50,187,37,0,37,0,224,180,88,268,41,,0,41
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,279,130,409,2,0,2,5,416,414,198,612,0,,0,0
