,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2022
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,356,11,367,48,80,128,2,497,273,20,293,0,,0,0
,CANADA,11398,2942,14340,6792,5131,11923,69,26332,10214,2757,12971,1757,,40,1797
,FRANCE,1216,101,1317,513,625,1138,2,2457,1163,92,1255,0,,0,0
,GERMANY,2779,663,3442,752,586,1338,0,4780,2504,667,3171,10,,0,10
,ITALY,147,53,200,631,808,1439,0,1639,51,51,102,0,,0,0
,JAPAN,1668,250,1918,1939,2546,4485,8,6411,796,240,1036,0,,0,0
,LUXEMBOURG,2458,35,2493,26,0,26,30,2549,2946,40,2986,15,,0,15
,NETHERLANDS,3005,17,3022,148,140,288,37,3347,3603,19,3622,0,,0,0
,SWEDEN,386,338,724,23,100,123,0,847,394,335,729,0,,0,0
,SWITZERLAND,1944,178,2122,1,0,1,17,2140,1062,258,1320,0,,0,0
,UNITED KINGDOM,8948,1207,10155,4071,7806,11877,191,22223,8902,1232,10134,865,,12,877
,Total,34305,5795,40100,14944,17822,32766,356,73222,31908,5711,37619,2647,,52,2699
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,2083,87,2170,3636,1945,5581,110,7861,1882,86,1968,57,,0,57
,AUSTRIA,146,6,152,42,42,84,0,236,142,20,162,0,,0,0
,CYPRUS,0,2,2,0,0,0,0,2,0,2,2,0,,0,0
,DENMARK,231,15,246,11,0,11,0,257,214,12,226,0,,0,0
,FINLAND,34,4,38,12,56,68,0,106,85,3,88,0,,0,0
,GREECE,35,3,38,0,0,0,0,38,16,3,19,0,,0,0
,IRELAND,3466,21,3487,44,0,44,58,3589,3010,18,3028,10,,0,10
,ISRAEL,442,129,571,0,0,0,4,575,395,137,532,0,,0,0
,NEW ZEALAND,246,13,259,153,101,254,0,513,300,23,323,0,,0,0
,NORWAY,303,76,379,16,0,16,0,395,253,73,326,0,,0,0
,PORTUGAL,24,40,64,0,0,0,0,64,49,53,102,0,,0,0
,SLOVAKIA,1,2,3,0,0,0,0,3,9,2,11,0,,0,0
,SPAIN,208,338,546,203,149,352,12,910,325,385,710,0,,23,23
,OTHER NON G-10 DEV.,220,63,283,0,0,0,0,283,183,64,247,0,,0,0
,Total,7439,799,8238,4117,2293,6410,184,14832,6863,881,7744,67,,23,90
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,0,3,3,0,0,0,0,3,1,3,4,0,,0,0
,CZECH REPUBLIC,5,8,13,0,0,0,0,13,27,2,29,0,,0,0
,HUNGARY,7,5,12,5,0,5,15,32,80,5,85,0,,0,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
