,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2022
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,23131,8604,691,7913,1112,32847,,9176,298,15161,15616,5252,,5710,120
,CANADA,153481,79825,13360,66465,19256,252562,,75202,14891,29648,31418,11422,,13214,440
,FRANCE,235502,32834,687,32147,20746,289082,,283820,4867,249767,252164,77344,,79738,446
,GERMANY,148786,273107,1554,271553,35690,457583,,72035,4723,186473,189372,57890,,60779,609
,ITALY,47164,6806,422,6384,6072,60042,,11283,1379,151094,154284,35292,,38481,413
,JAPAN,154741,352787,31264,321523,24020,531548,,63666,6661,70302,76739,28861,,35297,160
,LUXEMBOURG,80142,11558,2625,8933,11957,103657,,33357,5386,30173,31655,10982,,12462,770
,NETHERLANDS,48100,9574,108,9466,13636,71310,,32292,3373,138204,139991,43537,,45325,641
,SWEDEN,21271,269,16,253,1397,22937,,8592,329,27748,28371,9457,,10077,105
,SWITZERLAND,82212,34947,6891,28056,7369,124528,,17456,5188,68801,67419,22638,,21267,1216
,UNITED KINGDOM,152566,438186,106350,331836,78843,669595,,151691,11257,303777,302441,99792,,99150,1361
