,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2022
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,3733,57,3790,51,131,182,446,4418,3778,127,3905,1,,5,6
,CANADA,27397,3663,31060,26339,5758,32097,2365,65522,22712,3341,26053,9282,,47,9329
,FRANCE,23061,265,23326,3628,1256,4884,4233,32443,21166,332,21498,167,,10,177
,GERMANY,23143,972,24115,5012,995,6007,4433,34555,19545,1454,20999,164,,100,264
,ITALY,7139,355,7494,2900,1588,4488,1115,13097,6589,270,6859,135,,44,179
,JAPAN,17551,400,17951,37970,2418,40388,2825,61164,14254,342,14596,1209,,0,1209
,LUXEMBOURG,16145,9,16154,946,7,953,1765,18872,26569,15,26584,195,,2,197
,NETHERLANDS,20026,262,20288,349,194,543,3977,24808,22332,277,22609,56,,0,56
,SWEDEN,6830,385,7215,37,79,116,442,7773,6585,401,6986,9,,0,9
,SWITZERLAND,12613,735,13348,577,1398,1975,2783,18106,11757,843,12600,601,,1170,1771
,UNITED KINGDOM,32652,4698,37350,41108,11332,52440,12421,102211,29040,4803,33843,15902,,1906,17808
,Total,190290,11801,202091,118917,25156,144073,36805,382969,184327,12205,196532,27721,,3284,31005
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,6360,301,6661,14594,2023,16617,2604,25882,5423,320,5743,3516,,0,3516
,AUSTRIA,1222,25,1247,36,42,78,112,1437,1552,72,1624,0,,0,0
,CYPRUS,667,142,809,0,0,0,3,812,635,99,734,0,,0,0
,DENMARK,2326,23,2349,11,0,11,910,3270,2260,23,2283,1,,0,1
,FINLAND,3349,12,3361,14,49,63,139,3563,3088,13,3101,0,,0,0
,GREECE,945,100,1045,132,0,132,7,1184,831,100,931,0,,0,0
,IRELAND,17085,122,17207,1964,0,1964,1077,20248,15166,129,15295,804,,0,804
,ISRAEL,5057,336,5393,269,0,269,364,6026,4686,423,5109,149,,0,149
,NEW ZEALAND,1073,34,1107,322,97,419,210,1736,1030,44,1074,9,,0,9
,NORWAY,3453,76,3529,15,0,15,523,4067,3434,70,3504,0,,0,0
