,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2022
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,1679,8325,673,7652,5,10009,,635,1,7,5,4,,2,15
,CANADA,53260,19264,3635,15629,1817,74341,,25809,3651,588,889,43,,358,61
,FRANCE,30032,1546,0,1546,928,32506,,2416,448,110,204,12,,105,227
,GERMANY,49127,26929,30,26899,493,76549,,5571,258,45,51,18,,25,61
,ITALY,873,1561,0,1561,6,2440,,869,94,15,18,4,,7,7
,JAPAN,30602,14558,3513,11045,200,45360,,6964,89,10,4149,10,,4149,18
,LUXEMBOURG,9379,5815,371,5444,624,15818,,4543,93,109,153,1,,44,0
,NETHERLANDS,6520,583,54,529,89,7192,,2718,121,105,211,11,,117,37
,SWEDEN,4973,105,0,105,1,5079,,1603,72,6,8,1,,3,11
,SWITZERLAND,55639,320,0,320,194,56153,,1036,106,11,17,6,,12,5
,UNITED KINGDOM,72936,67643,11987,55656,6097,146676,,47954,1137,85,884,30,,810,374
,Total,315020,146649,20263,126386,10454,472123,,100118,6070,1091,6589,140,,5632,816
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,6889,8002,61,7941,2093,16984,,6451,179,10,10,2,,1,61
,AUSTRIA,1446,82,0,82,0,1528,,32,5,2,3,0,,1,0
,CYPRUS,17,0,0,0,1,18,,6,8,0,0,0,,0,8
