,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2022
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,1624,673,1628,7652,9949,304,359,10004
,CANADA,47401,3961,26130,15872,67234,3947,9229,72524
,FRANCE,17455,0,12963,1546,19001,549,13127,31578
,GERMANY,18479,731,7948,26262,45472,2458,33048,76056
,ITALY,783,0,186,1573,2356,37,116,2434
,JAPAN,20745,3505,21903,9945,34195,1116,12083,45160
,LUXEMBOURG,8762,478,5372,5418,14658,1913,2452,15194
,NETHERLANDS,6207,59,1787,529,6795,1414,1723,7103
,SWEDEN,3627,2,2349,103,3732,196,1543,5078
,SWITZERLAND,3947,3,3082,318,4268,449,52306,55959
,UNITED KINGDOM,99617,15293,91256,53361,168271,47849,20217,140579
,Total,228647,24705,174604,122579,375931,60232,146203,461669
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,6803,84,2810,8156,15043,822,726,14891
,AUSTRIA,1447,0,369,92,1539,51,40,1528
,CYPRUS,4,0,1,0,4,0,13,17
,DENMARK,1353,0,812,11,1364,745,451,1066
,FINLAND,1281,0,373,63,1344,46,490,1788
,GREECE,64,0,35,0,64,45,71,90
,IRELAND,10658,272,8185,3996,14926,3702,2299,13519
,ISRAEL,1823,0,1266,2,1825,82,155,1899
,NEW ZEALAND,535,0,250,292,827,169,121,777
,NORWAY,2812,12,1320,27,2851,504,1231,3576
,PORTUGAL,261,2,86,0,263,43,2,222
,SLOVAKIA,9,0,7,0,9,7,4,6
,SPAIN,1537,5,669,514,2056,153,490,2392
,OTHER NON G-10 DEV.,293,0,69,0,293,26,65,331
,Total,28880,375,16252,13153,42408,6395,6158,42102
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,10,0,7,0,10,6,0,4
,CZECH REPUBLIC,120,0,117,0,120,65,11,66
,HUNGARY,113,9,86,12,134,75,38,96
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,268,0,260,138,406,114,49,341
,ROMANIA,243,0,241,0,243,239,22,26
,RUSSIA,99,0,87,33,132,9,10,133
,TURKEY,207,0,75,0,207,90,42,154
,OTHER E. EUROPE,109,0,69,0,109,61,10,58
