,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2022
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,21452,279,18,261,1107,22838,,8541,297,15154,15611,5248,,5708,105
,CANADA,100221,60561,9725,50836,17439,178221,,49393,11240,29060,30529,11379,,12856,379
,FRANCE,205470,31288,687,30601,19818,256576,,281404,4419,249657,251960,77332,,79633,219
,GERMANY,99659,246178,1524,244654,35197,381034,,66464,4465,186428,189321,57872,,60754,548
,ITALY,46291,5245,422,4823,6066,57602,,10414,1285,151079,154266,35288,,38474,406
,JAPAN,124139,338229,27751,310478,23820,486188,,56702,6572,70292,72590,28851,,31148,142
,LUXEMBOURG,70763,5743,2254,3489,11333,87839,,28814,5293,30064,31502,10981,,12418,770
,NETHERLANDS,41580,8991,54,8937,13547,64118,,29574,3252,138099,139780,43526,,45208,604
