,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2022
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,1949,879,2090,9140,11968,371,263,11847
,CANADA,45251,4588,22367,16687,66526,4800,9583,71243
,FRANCE,16055,0,11714,1666,17721,751,13298,30266
,GERMANY,18840,18,8478,15968,34826,2612,28228,60439
,ITALY,678,0,207,1972,2650,89,104,2664
,JAPAN,22727,4006,24422,7106,33839,1363,10049,42529
,LUXEMBOURG,9026,165,5447,5902,15093,2000,2961,16052
,NETHERLANDS,5501,22,1147,4228,9751,1476,1665,9935
,SWEDEN,3110,2,1812,116,3228,290,1370,4308
,SWITZERLAND,5048,3,4030,270,5321,540,41798,46485
,UNITED KINGDOM,92170,12993,81019,50918,156081,37978,14920,133003
,Total,220355,22676,162733,113973,357004,52270,124239,428771
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,6124,88,2037,9642,15854,1035,1139,15891
,AUSTRIA,1267,0,407,100,1367,45,62,1384
,CYPRUS,11,0,7,0,11,0,10,21
,DENMARK,1127,0,538,9,1136,581,396,951
,FINLAND,1156,0,229,75,1231,51,445,1626
,GREECE,68,0,41,0,68,46,54,76
,IRELAND,10525,162,6497,4612,15299,4057,2464,13708
