,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2022
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,19646,241,6,235,793,20680,,6086,331,13546,14381,5067,,5903,79
,CANADA,81310,61095,9446,51649,9984,152389,,50826,10973,26368,26491,10697,,10821,345
,FRANCE,184797,27656,2085,25571,16973,229426,,232001,4091,217108,222836,73418,,79103,179
,GERMANY,107493,238906,1833,237073,29877,376276,,79934,3866,162679,167839,55276,,60436,734
,ITALY,42855,6627,449,6178,4980,54462,,7460,655,141004,143866,36409,,39270,310
,JAPAN,124210,323638,26778,296860,13196,461044,,60535,6793,77732,79189,29733,,31189,177
,LUXEMBOURG,73639,4540,1331,3209,6511,84690,,30859,4742,22911,24875,9699,,11665,764
,NETHERLANDS,38805,8966,56,8910,10734,58505,,31977,3131,117477,121292,41054,,44868,601
,SWEDEN,14603,831,16,815,1389,16823,,7659,282,22614,23250,8681,,9315,108
,SWITZERLAND,23108,36944,7462,29482,4540,64592,,18049,4677,58774,58385,21897,,21507,390
,UNITED KINGDOM,71182,292439,78610,213829,59896,423517,,101942,12172,269699,273337,93421,,97072,1784
,Total,781648,1001883,128072,873811,158873,1942404,,627328,51713,1129912,1155741,385352,,411149,5471
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,22378,82106,4188,77918,6741,111225,,15410,2288,18000,18720,8703,,9424,167
,AUSTRIA,7510,4,0,4,976,8490,,1172,67,5226,6266,1805,,2843,50
,CYPRUS,1757,0,0,0,85,1842,,155,155,0,0,0,,0,22
,DENMARK,8882,454,11,443,3800,13136,,4618,98,13949,14306,5002,,5359,26
,FINLAND,9533,11,0,11,3107,12651,,2417,243,13177,14025,4880,,5727,68
,GREECE,3518,164,0,164,185,3867,,30,679,5338,5582,1700,,1944,215
,IRELAND,76788,23154,4477,18677,5227,105169,,23681,10808,9323,9593,4096,,4367,278
,ISRAEL,12560,4156,266,3890,1695,18411,,982,768,1974,2064,838,,927,353
,NEW ZEALAND,4755,2014,6,2008,463,7232,,710,80,116,123,96,,104,1
,NORWAY,18685,56,2,54,976,19717,,4601,176,9362,9828,3255,,3723,21
,PORTUGAL,3332,45,0,45,1444,4821,,870,36,4261,4570,2157,,2466,28
,SLOVAKIA,1645,130,0,130,170,1945,,73,70,145,147,113,,116,3
,SPAIN,31324,1104,189,915,4424,36852,,9862,1342,59257,62259,20763,,23764,643
,OTHER NON G-10 DEV.,32747,1,0,1,2604,35352,,964,32,437,444,216,,224,0
,Total,235414,113399,9139,104260,31897,380710,,65545,16842,140565,147927,53624,,60988,1875
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,168,522,29,493,11,701,,28,223,6,4,6,,4,0
,CZECH REPUBLIC,7375,4176,319,3857,271,11822,,2357,351,443,385,294,,235,4
,HUNGARY,4939,1996,163,1833,185,7120,,405,91,375,461,187,,273,53
,KOSOVO,1,0,0,0,0,1,,0,0,0,0,0,,0,0
,POLAND,2437,11650,1553,10097,1049,15136,,3109,504,500,734,364,,599,122
,ROMANIA,760,2239,314,1925,17,3016,,52,137,241,272,114,,145,0
,RUSSIA,1622,9081,1950,7131,80,10783,,858,120,666,726,466,,527,6
,TURKEY,9017,2151,609,1542,258,11426,,345,220,21949,22097,8358,,8507,270
,OTHER E. EUROPE,2113,871,27,844,101,3085,,221,161,490,909,344,,763,0
,Total,28432,32686,4964,27722,1972,63090,,7375,1807,24670,25588,10133,,11053,455
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,191,0,0,0,35,226,,1,0,0,0,0,,0,0
,ARGENTINA,1088,4701,575,4126,31,5820,,264,64,1855,1884,819,,850,61
,BRAZIL,49698,48794,2149,46645,5965,104457,,6521,761,24437,28648,7442,,11654,4056
,CHILE,7354,5791,20,5771,882,14027,,868,171,7046,7590,2917,,3461,1666
,COLOMBIA,4676,2697,64,2633,484,7857,,511,361,12510,13374,4039,,4905,194
,COSTA RICA,443,895,239,656,35,1373,,88,94,0,4,0,,4,93
,DOMINICAN REPUBLIC,1065,374,36,338,26,1465,,74,152,0,24,0,,24,260
,ECUADOR,212,559,559,0,60,831,,73,175,10,92,10,,92,135
,EL SALVADOR,212,164,163,1,0,376,,47,41,0,4,0,,4,66
,FRENCH GUIANA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,GUATEMALA,823,333,35,298,7,1163,,142,210,20,22,0,,2,338
,HONDURAS,518,335,49,286,1,854,,23,239,0,18,0,,18,131
,MEXICO,22030,75050,6454,68596,4635,101715,,26827,1579,30272,32015,11562,,13317,1101
,MONTSERRAT,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,PERU,2634,1513,278,1235,161,4308,,682,272,4962,5236,2006,,2279,391
,URUGUAY,1006,598,171,427,31,1635,,114,71,0,15,0,,15,53
,VENEZUELA,586,0,0,0,0,586,,561,2,0,0,0,,0,0
,OTHER LAT. AM. & CAR.,31363,1308,567,741,1136,33807,,1298,996,579,571,353,,345,300
,Total,123899,143112,11359,131753,13489,280500,,38094,5188,81691,89497,29148,,36970,8845
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,87655,41531,1908,39623,3262,132448,,11563,3101,32662,34083,11970,,13389,2790
,INDIA,23765,50244,1567,48677,1432,75441,,8717,3377,3818,4279,1441,,1900,4312
,INDONESIA,5850,7803,2153,5650,212,13865,,2380,200,15664,15868,6315,,6519,379
,"KOREA, SOUTH",55366,46834,3617,43217,7409,109609,,12855,1262,27540,34813,9311,,16585,3000
,KUWAIT,14835,220,1,219,104,15159,,521,217,0,5,0,,5,487
,MALAYSIA,4156,14944,4982,9962,266,19366,,567,552,9204,8849,3622,,3266,15
,PAKISTAN,133,889,29,860,14,1036,,50,282,0,7,0,,7,101
,PHILIPPINES,3337,5130,909,4221,79,8546,,310,268,7132,7393,2096,,2357,261
,QATAR,11887,11,0,11,78,11976,,1759,247,4395,4581,2559,,2746,625
,SAUDI ARABIA,19405,1809,329,1480,211,21425,,6939,182,9049,9253,4036,,4242,474
,TAIWAN,40500,20762,2990,17772,1233,62495,,13045,254,78,131,77,,130,164
,THAILAND,6762,9559,322,9237,806,17127,,178,160,1951,1865,794,,707,78
,UNITED ARAB EMIRATES,20981,6834,1119,5715,403,28218,,5934,9567,2930,2844,1659,,1572,1622
,WEST BANK AND GAZA,6,0,0,0,0,6,,1,2,0,0,0,,0,5
,OTHER ASIA AND PACIFIC,6986,5743,2246,3497,150,12879,,1688,652,1356,1484,937,,1068,1748
,Total,301624,212313,22172,190141,15659,529596,,66507,20323,115779,125455,44817,,54493,16061
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,8,1065,120,945,0,1073,,13,224,0,0,0,,0,4
,EGYPT,1875,2223,141,2082,8,4106,,153,47,1291,1203,729,,640,158
,GHANA,1152,0,0,0,0,1152,,12,10,52,53,52,,53,38
,KENYA,342,878,245,633,1,1221,,15,123,0,18,0,,18,57
,MOROCCO,418,501,36,465,20,939,,225,75,21,56,21,,56,147
,NIGERIA,10777,2673,242,2431,223,13673,,315,297,60,665,60,,665,439
,SAINT HELENA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,SOUTH AFRICA,4656,9647,284,9363,233,14536,,3073,242,22787,23638,8529,,9382,314
,SOUTH SUDAN,1,0,0,0,0,1,,1,0,0,0,0,,0,0
,OTHER AFRICA,4758,2264,671,1593,290,7312,,1093,436,1910,2595,560,,1247,304
,Total,23987,19251,1739,17512,775,44013,,4900,1454,26121,28228,9951,,12061,1461
,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,
,BAHAMAS,4266,192,73,119,43,4501,,71,857,0,0,0,,0,38
,BAHRAIN,2269,311,0,311,14,2594,,296,36,523,518,422,,417,17
,BERMUDA,18080,9,6,3,1437,19526,,10526,5273,1301,1467,718,,886,125
,CAYMAN ISLANDS,472929,848,693,155,10283,484060,,81287,105117,9968,9981,6365,,6376,87
,HONG KONG,30759,52015,10527,41488,1811,84585,,15664,747,5164,5511,1845,,2194,287
,LEBANON,99,139,19,120,0,238,,21,45,86,104,76,,93,5
,MAURITIUS,3162,157,137,20,123,3442,,147,59,10,24,10,,24,18
,PANAMA,3873,669,656,13,483,5025,,631,606,3131,3570,1103,,1542,347
,SINGAPORE,48372,60042,16023,44019,3419,111833,,19078,1288,3840,4237,1176,,1573,835
,OTHER BANKING CENTERS,27558,983,690,293,1820,30361,,9592,1493,4538,4657,1676,,1738,769
,Total,611367,115365,28824,86541,19433,746165,,137313,115521,28561,30069,13391,,14843,2528
,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,
,AFRICAN,554,0,0,0,701,1255,,102,0,0,0,0,,0,48
,ASIAN,3793,0,0,0,5244,9037,,130,0,0,0,0,,0,209
,CARIBBEAN,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,EUROPEAN,17756,0,0,0,7879,25635,,235,55,341,65,308,,32,245
,INTERNATIONAL,10514,0,0,0,12619,23133,,571,398,16,525,16,,525,670
,LATIN AMERICAN,3806,0,0,0,3515,7321,,17,23,0,0,0,,0,4
,MIDDLE EASTERN,36,0,0,0,7,43,,0,1,0,0,0,,0,0
,Total,36459,0,0,0,29965,66424,,1055,477,357,590,324,,557,1176
,,,,,,,,,,,,,,,,
,UNITED STATES,201899,9317259,37751,9279508,153867,9673025,,3981050,430848,785520,840756,360455,,415264,13822
,,,,,,,,,,,,,,,,
,Grand Total,2344729,10955268,244020,10711248,425930,13725927,,4929167,644173,2333176,2443851,907195,,1017378,51694
