,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2023
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,25409,9544,665,8879,922,35875,,6368,343,18147,19028,6234,,7114,160
,CANADA,145384,79879,14683,65196,7247,232510,,74139,15134,31657,32550,13533,,14435,447
,FRANCE,255645,34544,2628,31916,18000,308189,,325988,4886,289648,297292,91935,,99535,545
,GERMANY,164976,277945,1822,276123,32641,475562,,75123,3821,220254,229042,69572,,78360,769
,ITALY,62578,8437,559,7878,5140,76155,,9335,784,170748,174187,43952,,47391,450
,JAPAN,139622,386240,30924,355316,13357,539219,,66813,6678,86311,91086,32831,,37606,295
,LUXEMBOURG,82958,10480,1472,9008,6351,99789,,36586,3919,31581,33604,12261,,14276,1159
,NETHERLANDS,51959,9700,240,9460,9992,71651,,34388,3245,157862,163471,51718,,57328,654
,SWEDEN,24003,649,10,639,1010,25662,,9561,417,31840,33044,11230,,12433,110
,SWITZERLAND,77948,34912,7169,27743,5199,118059,,19903,4882,80941,82517,27648,,29224,492
,UNITED KINGDOM,160875,394749,94948,299801,50748,606372,,164632,16344,365082,378662,124149,,137712,1841
,Total,1191357,1247079,155120,1091959,150607,2589043,,822836,60453,1484071,1534483,485063,,535414,6922
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,31948,83489,3955,79534,6002,121439,,22907,2409,19037,19574,9781,,10318,196
,AUSTRIA,11202,88,0,88,716,12006,,1237,68,7307,8514,2235,,3441,31
,CYPRUS,1843,0,0,0,38,1881,,250,138,0,0,0,,0,67
,DENMARK,12835,475,7,468,3118,16428,,5194,150,19353,20137,6388,,7169,21
,FINLAND,13548,83,0,83,2494,16125,,2741,245,18082,19222,6147,,7287,69
,GREECE,4828,98,0,98,222,5148,,239,922,5490,5646,1661,,1818,268
,IRELAND,95336,31510,3451,28059,3999,130845,,30161,5355,13055,13590,5011,,5547,377
,ISRAEL,18002,3966,204,3762,1156,23124,,1986,830,1815,1969,838,,991,379
,NEW ZEALAND,3789,2203,3,2200,305,6297,,1232,98,116,127,106,,117,0
,NORWAY,23479,85,5,80,739,24303,,5902,195,13877,14405,4127,,4657,17
,PORTUGAL,4335,50,0,50,1036,5421,,1010,37,4897,5088,2264,,2454,33
,SLOVAKIA,1678,119,0,119,167,1964,,387,77,170,147,138,,116,4
,SPAIN,52229,1875,161,1714,4706,58810,,9976,1791,78294,81150,24687,,27515,777
,OTHER NON G-10 DEV.,33000,2,0,2,369,33371,,954,42,4,18,4,,18,0
,Total,308052,124043,7786,116257,25067,457162,,84176,12357,181497,189587,63387,,71448,2239
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,296,372,17,355,40,708,,31,292,7,4,7,,4,0
,CZECH REPUBLIC,8780,3750,471,3279,349,12879,,2373,378,1207,1195,576,,563,5
,HUNGARY,5211,1836,171,1665,162,7209,,852,127,470,553,218,,300,259
,KOSOVO,1,0,0,0,0,1,,0,0,0,0,0,,0,0
,POLAND,3399,11923,1477,10446,980,16302,,4446,549,557,954,347,,744,113
,ROMANIA,944,2263,344,1919,12,3219,,87,143,402,423,229,,251,0
,RUSSIA,2301,7581,1783,5798,24,9906,,641,100,316,400,213,,299,6
,TURKEY,8997,2324,613,1711,223,11544,,545,218,24137,24657,8783,,9304,259
,OTHER E. EUROPE,4093,1185,35,1150,121,5399,,551,162,263,703,192,,632,0
,Total,34022,31234,4911,26323,1911,67167,,9526,1969,27359,28889,10565,,12097,642
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,165,0,0,0,37,202,,19,3,0,0,0,,0,2
,ARGENTINA,1562,5561,809,4752,4,7127,,693,78,1895,1977,758,,838,56
,BRAZIL,59108,49410,7675,41735,4289,112807,,6271,969,26869,31692,8097,,12918,5387
,CHILE,10150,6201,12,6189,905,17256,,1020,324,8830,9529,3048,,3745,2261
,COLOMBIA,5206,3334,0,3334,394,8934,,545,303,13509,14791,4229,,5511,233
,COSTA RICA,445,1033,218,815,33,1511,,98,104,0,5,0,,5,70
,DOMINICAN REPUBLIC,1783,374,37,337,6,2163,,58,143,122,194,84,,157,368
,ECUADOR,479,628,625,3,34,1141,,69,228,10,66,10,,66,198
,EL SALVADOR,315,169,169,0,0,484,,43,44,0,5,0,,5,25
,FRENCH GUIANA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,GUATEMALA,1384,343,50,293,4,1731,,159,314,20,23,0,,3,393
,HONDURAS,550,272,34,238,0,822,,29,258,0,19,0,,19,148
,MEXICO,26879,82844,6550,76294,4611,114334,,31717,1853,32094,34312,11873,,14098,1139
,MONTSERRAT,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,PERU,4550,1846,236,1610,236,6632,,392,330,5894,6426,2376,,2907,831
,URUGUAY,1386,948,181,767,38,2372,,110,96,0,20,0,,20,53
,VENEZUELA,916,0,0,0,0,916,,604,7,0,0,0,,0,4
,OTHER LAT. AM. & CAR.,33695,1623,862,761,1289,36607,,2635,1515,643,579,290,,223,554
,Total,148573,154586,17458,137128,11880,315039,,44462,6569,89886,99638,30765,,40515,11722
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,108791,40641,2712,37929,1819,151251,,11165,3227,35272,36308,13775,,14148,4315
,INDIA,23769,54041,1620,52421,933,78743,,5906,3064,2987,3442,1471,,1776,3813
,INDONESIA,6394,8315,2309,6006,100,14809,,2473,230,17123,17039,6783,,6698,394
,"KOREA, SOUTH",69844,46738,3940,42798,6218,122800,,12337,2054,27390,34906,10526,,17090,5174
,KUWAIT,16087,326,1,325,38,16451,,428,264,0,7,0,,7,682
,MALAYSIA,4009,13421,2980,10441,218,17648,,278,504,9509,9172,4137,,3801,71
,PAKISTAN,152,724,32,692,6,882,,39,80,0,9,0,,9,3
,PHILIPPINES,3255,5531,1058,4473,52,8838,,301,251,7745,7959,2355,,2569,276
,QATAR,10999,10,0,10,38,11047,,540,216,4734,4840,2525,,2630,549
,SAUDI ARABIA,19411,1619,419,1200,186,21216,,7010,272,11020,11971,4067,,5010,964
,TAIWAN,47715,22814,2665,20149,698,71227,,14247,364,59,79,59,,79,149
,THAILAND,5317,10278,308,9970,633,16228,,467,183,1953,1862,993,,901,86
,UNITED ARAB EMIRATES,19632,7097,1152,5945,207,26936,,6538,12772,3148,3194,1507,,1553,2082
,WEST BANK AND GAZA,43,0,0,0,0,43,,1,2,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,8107,4858,1832,3026,163,13128,,1561,642,1822,1915,1114,,1209,1697
,Total,343525,216413,21028,195385,11309,571247,,63291,24125,122762,132703,49312,,57480,20255
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,3,1001,93,908,0,1004,,20,255,0,0,0,,0,6
,EGYPT,1803,2081,143,1938,1,3885,,182,47,2211,1856,1173,,817,125
,GHANA,1217,0,0,0,0,1217,,11,7,3,22,3,,22,11
,KENYA,347,828,218,610,3,1178,,26,97,0,18,0,,18,76
,MOROCCO,377,655,9,646,16,1048,,170,49,54,65,54,,65,73
,NIGERIA,11210,3075,273,2802,368,14653,,348,288,72,785,72,,785,435
,SAINT HELENA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,SOUTH AFRICA,5081,9236,230,9006,287,14604,,3689,125,26269,27386,9146,,10263,199
,SOUTH SUDAN,1,0,0,0,0,1,,1,0,0,0,0,,0,0
,OTHER AFRICA,4576,2345,602,1743,101,7022,,1423,309,1576,2315,402,,1140,373
,Total,24615,19221,1568,17653,776,44612,,5870,1177,30185,32447,10850,,13110,1298
,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,
,BAHAMAS,5106,20,11,9,69,5195,,105,229,0,0,0,,0,50
,BAHRAIN,2232,206,24,182,17,2455,,320,14,653,660,475,,484,35
,BERMUDA,29062,34,8,26,1431,30527,,14910,6489,1749,2419,935,,1604,126
,CAYMAN ISLANDS,616575,953,721,232,11218,628746,,144173,92590,8856,7788,6426,,5357,200
,HONG KONG,36946,49937,11077,38860,1248,88131,,21708,1402,5145,5462,2528,,2833,621
,LEBANON,255,47,16,31,0,302,,39,54,268,529,268,,529,110
,MAURITIUS,3059,163,144,19,123,3345,,309,55,10,14,10,,14,45
,PANAMA,4228,713,697,16,524,5465,,626,712,3618,4132,1179,,1695,323
,SINGAPORE,63216,62225,15415,46810,2031,127472,,24166,1499,3298,3774,1517,,1981,940
,OTHER BANKING CENTERS,34697,1062,725,337,1694,37453,,10890,2529,5155,5733,1660,,2176,902
,Total,795376,115360,28838,86522,18355,929091,,217246,105573,28752,30511,14998,,16673,3352
,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,
,AFRICAN,2026,0,0,0,492,2518,,54,18,0,0,0,,0,18
,ASIAN,6316,0,0,0,4616,10932,,64,16,0,50,0,,50,220
,CARIBBEAN,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,EUROPEAN,31754,0,0,0,6435,38189,,239,51,483,158,357,,33,301
,INTERNATIONAL,20307,0,0,0,10914,31221,,349,400,38,523,38,,523,640
,LATIN AMERICAN,8485,0,0,0,3064,11549,,19,25,0,0,0,,0,14
,MIDDLE EASTERN,326,0,0,0,1,327,,0,1,0,0,0,,0,0
,Total,69214,0,0,0,25522,94736,,725,511,521,731,395,,606,1193
,,,,,,,,,,,,,,,,
,UNITED STATES,301090,16602389,55245,16547144,145549,17049028,,7014990,522933,952284,1028712,458801,,533148,16807
,,,,,,,,,,,,,,,,
,Grand Total,3215824,18510325,291954,18218371,390976,22117125,,8263122,735667,2917317,3077701,1124136,,1280491,64430
