,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2023
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,25376,668,22123,8869,34913,1161,1210,34953
,CANADA,129203,50452,100221,66967,246622,13488,27786,225263
,FRANCE,224287,2935,199426,31993,259215,4107,35384,290189
,GERMANY,112783,8005,90654,275301,396089,10467,63374,442921
,ITALY,61413,819,52976,8305,70537,926,1738,71015
,JAPAN,118100,31056,126430,354211,503367,2150,24649,525862
,LUXEMBOURG,101898,1915,69842,8985,112798,25412,6057,93438
,NETHERLANDS,53631,2887,35558,9490,66008,10189,8474,61659
,SWEDEN,23414,10,19682,637,24061,2255,2846,24652
,SWITZERLAND,36836,7352,39345,27743,71931,3256,44327,112860
,UNITED KINGDOM,202620,99161,227770,301477,603258,87103,41567,555624
,Total,1089561,205260,984027,1093978,2388799,160514,257412,2438436
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,29013,5165,21110,81645,115823,5845,6708,115437
,AUSTRIA,11152,530,8259,99,11781,655,693,11290
,CYPRUS,1534,0,958,0,1534,153,461,1843
,DENMARK,12228,8,10932,468,12704,981,1585,13310
,FINLAND,11646,378,9737,83,12107,242,2143,13631
,GREECE,4817,0,4384,153,4970,113,68,4926
,IRELAND,99827,3857,67512,28303,131987,12145,7009,126846
,ISRAEL,17879,151,15894,3788,21818,504,659,21968
,NEW ZEALAND,3923,3,3215,2269,6195,390,182,5992
,NORWAY,22235,6,19683,89,22330,713,1950,23564
,PORTUGAL,4373,2,3812,61,4436,136,85,4385
,SLOVAKIA,1702,0,1545,130,1832,50,15,1797
,SPAIN,50450,163,40530,1719,52332,922,2693,54104
,OTHER NON G-10 DEV.,33393,0,32835,4,33397,750,357,33002
,Total,304172,10263,240406,118811,433246,23599,24608,432095
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,314,52,280,357,723,65,10,668
,CZECH REPUBLIC,8833,561,8591,3296,12690,328,170,12530
,HUNGARY,5426,244,5361,1675,7345,372,70,7047
,KOSOVO,1,0,0,0,1,0,0,1
,POLAND,3413,1651,3882,10868,15932,2295,1685,15322
,ROMANIA,1073,473,1349,1992,3538,389,56,3207
,RUSSIA,2336,1788,3864,5802,9926,52,6,9882
,TURKEY,10261,4276,8632,1759,16296,2052,737,11321
,OTHER E. EUROPE,4228,88,3729,1217,5533,486,274,5278
,Total,35885,9133,35688,26966,71984,6039,3008,65256
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,178,0,175,0,178,13,0,165
,ARGENTINA,2257,6153,2403,4973,13383,1123,204,7123
,BRAZIL,52931,13283,49197,42725,108939,5674,10582,108518
,CHILE,10493,1450,8988,6190,18133,892,549,16351
,COLOMBIA,5798,146,3737,3608,9552,1541,677,8540
,COSTA RICA,576,338,699,817,1731,185,46,1478
,DOMINICAN REPUBLIC,2042,373,1746,350,2765,443,175,2157
,ECUADOR,1055,693,1376,3,1751,708,74,1107
,EL SALVADOR,441,173,544,0,614,165,36,484
,FRENCH GUIANA,1,0,1,0,1,1,0,0
,GUATEMALA,1548,50,1470,294,1892,378,216,1727
,HONDURAS,636,37,598,256,929,116,10,822
,MEXICO,29896,25130,28311,77233,132259,9676,5368,109723
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,4939,297,3837,1788,7024,1392,762,6396
,URUGUAY,1679,191,1633,769,2639,440,137,2334
,VENEZUELA,1365,0,1023,0,1365,524,77,916
,OTHER LAT. AM. & CAR.,42114,1000,35839,786,43900,10481,2028,35318
,Total,157949,49314,141577,139792,347055,33752,20941,303159
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,103146,2810,99247,40184,146140,3068,6365,149432
,INDIA,22218,1826,18710,55028,79072,4132,2870,77810
,INDONESIA,6725,2647,8326,6677,16049,1751,410,14709
,"KOREA, SOUTH",61164,3902,61054,43952,109018,1763,9328,116582
,KUWAIT,16000,64,15678,277,16341,162,233,16413
,MALAYSIA,4166,3633,6716,10552,18351,1212,293,17430
,PAKISTAN,163,36,122,761,960,86,1,876
,PHILIPPINES,3178,1182,3900,4614,8974,436,247,8786
,QATAR,10273,0,5322,11,10284,114,838,11009
,SAUDI ARABIA,20003,439,15547,1209,21651,2040,1418,21030
,TAIWAN,46276,2762,48004,20484,69522,718,1728,70529
,THAILAND,5252,332,5179,10343,15927,452,119,15595
,UNITED ARAB EMIRATES,20448,1547,19350,5968,27963,2441,1209,26729
,WEST BANK AND GAZA,44,0,1,0,44,1,0,43
,OTHER ASIA AND PACIFIC,11057,2106,9034,3223,16386,4002,685,12965
,Total,330113,23286,316190,203283,556682,22378,25744,559938
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,7,93,98,1050,1150,145,0,1004
,EGYPT,2536,151,2042,1981,4668,812,28,3884
,GHANA,1350,0,1235,0,1350,133,0,1217
,KENYA,357,315,584,690,1362,118,0,1175
,MOROCCO,388,941,335,668,1997,34,0,1032
,NIGERIA,11801,350,11125,2857,15008,848,124,14285
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,4684,1265,3814,9358,15307,777,901,14317
,SOUTH SUDAN,1,0,1,0,1,0,0,1
,OTHER AFRICA,5903,706,5325,2014,8623,1960,262,6921
,Total,27027,3821,24559,18618,49466,4827,1315,43836
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,10117,11,9201,13,10141,5417,404,5126
,BAHRAIN,2615,2,1770,182,2799,400,40,2438
,BERMUDA,29392,37,17595,12,29441,4405,4058,29096
,CAYMAN ISLANDS,681339,850,457249,221,682410,82381,17503,617528
,HONG KONG,36349,13538,42869,40785,90672,10094,6408,86883
,LEBANON,272,16,235,32,320,18,0,302
,MAURITIUS,3343,186,2841,19,3548,329,3,3222
,PANAMA,6537,5632,4860,17,12186,2914,569,4941
,SINGAPORE,66389,15748,75910,47042,129179,7555,3832,125441
,OTHER BANKING CENTERS,34396,768,18555,305,35469,2863,3162,35759
,Total,870749,36788,631085,88628,996165,116376,35979,910736
,,,,,,,,,
,International & Regional Organizations,,,,,,,,
